Pitcher,InducedVertBreak,PitchCount
"Melfi, David",23.055811764705883,17
"Mollerus, Josh",22.92092882352941,17
"Williamson, Noah",22.040640381679392,262
"Allegretti, Christian",21.65557174863388,183
"Mikolajchak, Nick",21.590819200000002,50
"Miller, Jalen",21.441517554517134,642
"Lebron, David",21.32186703956344,733
"McCabe, Brandon",21.11105829787234,329
"Allegretti , Christian ",20.622219520547947,146
"Stashak, Cody",20.608220402684562,149
"Engler, Scott",20.516116766169155,402
"Plesac, Zach",20.165952671009773,307
"Santos, Ramon",19.748998461538463,39
"Zguro, Matthew",19.708279642857143,28
"Wood, Grant",19.464009047619047,21
"Firoved, Graham",19.394050714285715,28
"Scafidi, Christian",19.370878731343282,134
"Campbell, Maceo",19.31085730834753,587
"Hasler, Kent",19.119765569620252,237
"Haab, Jonathan",19.0718904576659,437
