Pitcher,InducedVertBreak,PitchCount
"Case, Brad",-2.9417990545454544,275
"Wilson, John",0.7699640625,32
"Ross, Dalton",1.1397545263157896,285
"Uelmen, Erich",1.222732086720867,369
"Williams, Peyton",2.6248619847328243,131
"Devine, Michael",3.2423100000000007,10
"Guerrieri, Taylor",3.4897964999999997,40
"Barringer, Shane",3.53473005899705,339
"Scott, Wesley",4.030891745810056,716
"Brennan, Tim",4.764165025380711,197
"Vennaro, Zach",4.781714101382488,434
"Nightingale, Seth",5.3196074285714285,35
"Emanuel, Kent",5.349469404255319,235
"Palm, Tyler",5.7706627659574465,282
"Rees, Jackson",5.841244958448753,361
"Henriquez, Jonh",5.890758253968254,63
"Stem, Craig",6.276469661016949,236
"Van Gurp, Franklin",6.50451375,72
"Suriel, Edison",6.665850035842294,279
"Valverde, Alex",6.7619989655172414,116
