GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
f01349d1-2159-4eab-9565-88c37aebcfca,1,fe0d02e0-2d29-11f0-ad64-bb9b336888cc,fb0c1b25-625a-4c4b-8dbf-c3f1e264aeee,2025-05-09,18:04:42.21,2025-05-09,23:04:42.21,2025-05-09T18:04:42.2194688-05:00,2025-05-09T23:04:42.2194688Z,LEX_LEG,STA_YAN,StrikeCalled,Undefined,NoShift,95.37152,73.77124,147.07518,36.18828,81.56797,-45.82392,144.92162,-26.73889,244.21737,-130.18235,297.30972,12.36996,247.8513,125.88975,"Terry, Curtis",663799,"Atwood, Andy",664762,"Fuentes, Brian",1000059283,"Whalen, Brady",669714,"Huntzinger, Jerry",694255,"Rock, Dylan",676423,"McCarthy, Ryan",804884,true
f01349d1-2159-4eab-9565-88c37aebcfca,2,0699e270-2d2a-11f0-ad64-bb9b336888cc,06375cbb-3b7e-4914-8c95-93154e2af69c,2025-05-09,18:04:56.59,2025-05-09,23:04:56.59,2025-05-09T18:04:56.5921280-05:00,2025-05-09T23:04:56.5921280Z,LEX_LEG,STA_YAN,BallCalled,Undefined,NoShift,95.12929,73.71004,147.05176,36.36381,82.73507,-47.22205,145.48627,-25.97978,251.18051,-118.91015,298.89181,14.96272,246.33182,124.4393,"Terry, Curtis",663799,"Atwood, Andy",664762,"Fuentes, Brian",1000059283,"Whalen, Brady",669714,"Huntzinger, Jerry",694255,"Rock, Dylan",676423,"McCarthy, Ryan",804884,true
f01349d1-2159-4eab-9565-88c37aebcfca,3,0fc720b0-2d2a-11f0-ad64-bb9b336888cc,cb8e4e6d-6a28-4683-b3ef-0467b287d037,2025-05-09,18:05:12.02,2025-05-09,23:05:12.02,2025-05-09T18:05:12.0252416-05:00,2025-05-09T23:05:12.0252416Z,LEX_LEG,STA_YAN,BallCalled,Undefined,NoShift,96.06568,74.0384,146.05841,39.83729,85.33384,-48.85655,146.49812,-23.86968,249.0829,-119.84192,299.57182,15.33424,248.71254,124.79515,"Terry, Curtis",663799,"Atwood, Andy",664762,"Fuentes, Brian",1000059283,"Whalen, Brady",669714,"Huntzinger, Jerry",694255,"Rock, Dylan",676423,"McCarthy, Ryan",804884,true
f01349d1-2159-4eab-9565-88c37aebcfca,4,1a1893a0-2d2a-11f0-ad64-bb9b336888cc,31aefa64-91e3-4455-8861-a323d0503573,2025-05-09,18:05:29.31,2025-05-09,23:05:29.31,2025-05-09T18:05:29.3194240-05:00,2025-05-09T23:05:29.3194240Z,LEX_LEG,STA_YAN,InPlay,Double,NoShift,100.85102,74.66359,146.47767,40.43969,88.59942,-50.83403,145.98217,-23.42565,252.72127,-120.81956,298.99997,16.05737,248.89256,124.93485,"Terry, Curtis",663799,"Atwood, Andy",664762,"Fuentes, Brian",1000059283,"Whalen, Brady",669714,"Huntzinger, Jerry",694255,"Rock, Dylan",676423,"McCarthy, Ryan",804884,true
f01349d1-2159-4eab-9565-88c37aebcfca,5,35e2d5a0-2d2a-11f0-ad64-bb9b336888cc,95dca35f-6ddc-48f0-abe9-a529e4f84a93,2025-05-09,18:06:16.08,2025-05-09,23:06:16.08,2025-05-09T18:06:16.0823296-05:00,2025-05-09T23:06:16.0823296Z,LEX_LEG,STA_YAN,BallCalled,Undefined,NoShift,95.68701,72.54725,141.91877,42.80824,86.78018,-51.41004,131.24412,-6.43122,243.13458,-120.73994,297.85496,14.10337,246.42962,121.12428,"Terry, Curtis",663799,"Atwood, Andy",664762,"Fuentes, Brian",1000059283,"Whalen, Brady",669714,"Huntzinger, Jerry",694255,"Rock, Dylan",676423,"McCarthy, Ryan",804884,true
f01349d1-2159-4eab-9565-88c37aebcfca,6,44593a20-2d2a-11f0-ad64-bb9b336888cc,223eb62b-53d3-46f2-a33a-caff37665700,2025-05-09,18:06:40.20,2025-05-09,23:06:40.20,2025-05-09T18:06:40.2075648-05:00,2025-05-09T23:06:40.2075648Z,LEX_LEG,STA_YAN,StrikeSwinging,Undefined,NoShift,95.84067,72.81881,143.99227,43.73264,88.69404,-53.1142,144.92516,-25.2246,242.56918,-118.10582,294.32893,15.16326,242.1794,121.034,"Terry, Curtis",663799,"Atwood, Andy",664762,"Fuentes, Brian",1000059283,"Whalen, Brady",669714,"Huntzinger, Jerry",694255,"Rock, Dylan",676423,"McCarthy, Ryan",804884,true
f01349d1-2159-4eab-9565-88c37aebcfca,7,514e07b0-2d2a-11f0-ad64-bb9b336888cc,b9ddea5a-aa5f-4772-b303-f09ec678f6ee,2025-05-09,18:07:01.97,2025-05-09,23:07:01.97,2025-05-09T18:07:01.9725312-05:00,2025-05-09T23:07:01.9725312Z,LEX_LEG,STA_YAN,InPlay,Out,NoShift,98.85046,77.26228,144.07191,43.6559,90.90393,-55.82738,149.73017,-17.78484,243.0605,-116.68942,294.25346,15.77598,243.42656,123.61881,"Terry, Curtis",663799,"Atwood, Andy",664762,"Fuentes, Brian",1000059283,"Whalen, Brady",669714,"Huntzinger, Jerry",694255,"Rock, Dylan",676423,"McCarthy, Ryan",804884,true
f01349d1-2159-4eab-9565-88c37aebcfca,8,6be0b410-2d2a-11f0-ad64-bb9b336888cc,26bbfd07-4ef3-4b09-b66c-3af0ab1f73ad,2025-05-09,18:07:46.52,2025-05-09,23:07:46.52,2025-05-09T18:07:46.5295360-05:00,2025-05-09T23:07:46.5295360Z,LEX_LEG,STA_YAN,StrikeSwinging,Undefined,NoShift,99.48017,72.14068,147.95177,36.03447,95.25222,-58.06682,146.39151,-28.97193,244.24625,-127.81099,309.03384,12.29259,240.16167,124.60232,"Terry, Curtis",663799,"Atwood, Andy",664762,"Fuentes, Brian",1000059283,"Whalen, Brady",669714,"Huntzinger, Jerry",694255,"Rock, Dylan",676423,"McCarthy, Ryan",804884,true
f01349d1-2159-4eab-9565-88c37aebcfca,9,75f34940-2d2a-11f0-ad64-bb9b336888cc,afbaedd1-774d-4d59-ad89-7b0b99bedc9f,2025-05-09,18:08:03.40,2025-05-09,23:08:03.40,2025-05-09T18:08:03.4042880-05:00,2025-05-09T23:08:03.4042880Z,LEX_LEG,STA_YAN,BallCalled,Undefined,NoShift,98.12779,74.05351,147.20941,35.45318,96.1929,-59.21628,145.22316,-27.85509,241.73307,-125.60777,309.07751,13.32054,240.19426,125.05255,"Terry, Curtis",663799,"Atwood, Andy",664762,"Fuentes, Brian",1000059283,"Whalen, Brady",669714,"Huntzinger, Jerry",694255,"Rock, Dylan",676423,"McCarthy, Ryan",804884,true
f01349d1-2159-4eab-9565-88c37aebcfca,10,81338900-2d2a-11f0-ad64-bb9b336888cc,f57b48d8-462a-41c0-b9df-6ce2c40abfea,2025-05-09,18:08:22.26,2025-05-09,23:08:22.26,2025-05-09T18:08:22.2608384-05:00,2025-05-09T23:08:22.2608384Z,LEX_LEG,STA_YAN,BallCalled,Undefined,NoShift,99.27456,74.47784,148.87305,35.46702,96.9935,-59.35227,144.85994,-27.12992,246.36746,-126.13378,306.63268,13.45548,242.45965,124.76487,"Terry, Curtis",663799,"Atwood, Andy",664762,"Fuentes, Brian",1000059283,"Whalen, Brady",669714,"Huntzinger, Jerry",694255,"Rock, Dylan",676423,"McCarthy, Ryan",804884,true
