PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-10,18:06:03.25,1,1,"Corcino, Daniel",542289,Right,HAG_FLY,"Miller, Jalen",663692,Right,YOR,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.04315,-2.176052,-3.461781,2313.401512,206.437591,1:00,6.05125,2.05578,5.57575,-19.42355,17.9169,8.19343,2.39553,-0.49863,78.94445,-5.866857,-2.003533,0.439806,,,,,,,,,,,,-5.26886,10.17473,-1.7629,50,5.85131,7.32903,-127.23721,-5.43274,-8.46767,30.89083,-15.82199,HAG_FLY,YOR,HagerstownBallpark,Independent,ATL,20250510-HagerstownBallpark-1,fcef8c40-2dea-11f0-be9e-67c8baa22eb9,85.70242,,,9.0987,,,,,,,2ad5662f-85be-42af-83ff-5ad4bbc39175,2025-05-10,22:06:03.25,2025-05-10T18:06:03.2595968-04:00,2025-05-10T22:06:03.2595968Z,,v3,6089,5435,,"DeLuca, Joe",700593,Right,HAG_FLY,020ffa82-db30-4e02-8521-3fc403c66931,54.91705,-128.42543,15.44541,6.04858,-4.82414,-7.911,-2.05108,7.65474,-4.23384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-10,18:06:15.85,1,2,"Corcino, Daniel",542289,Right,HAG_FLY,"Miller, Jalen",663692,Right,YOR,Undefined,1,Top,0,0,1,Undefined,Slider,InPlay,Undefined,GroundBall,Single,0,0,,81.62218,-0.011249,-1.36296,2528.382131,150.044001,11:00,6.0408,1.98166,5.12388,-37.40384,5.85162,-2.57146,2.91322,0.4834,74.68194,-6.836771,-1.818103,0.47336,65.82283,2.020791,-21.411703,887.269007,,,,47.65963,46.28299,-22.235862,0.503426,0.89697,3.30918,-1.85151,50,6.0108,2.92487,-118.40571,-1.35702,1.2701,23.15718,-27.48836,HAG_FLY,YOR,HagerstownBallpark,Independent,ATL,20250510-HagerstownBallpark-1,047e5cc0-2deb-11f0-be9e-67c8baa22eb9,79.62737,3.00201,,6.94024,,,,1.25075,2.84646,-0.46088,2ad5662f-85be-42af-83ff-5ad4bbc39175,2025-05-10,22:06:15.85,2025-05-10T18:06:15.8585344-04:00,2025-05-10T22:06:15.8585344Z,GroundBall,v3,6089,5435,,"DeLuca, Joe",700593,Right,HAG_FLY,7a8d832a-a1c3-4f7d-ba92-875fd16ad974,55.37388,-119.45208,11.57859,6.04406,-0.11494,-13.74418,-1.98237,2.86748,0.63505,55.785256,1.25561,89.69111,-9.06596,,,,,,,2.85409,3.20199,-17.65091,,,,,,,-0.45963,-35.25482,0.6758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-05-10,18:06:59.58,2,1,"Corcino, Daniel",542289,Right,HAG_FLY,"Costes, Marty",664753,Right,YOR,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,,86.62508,-3.001494,-4.101052,2271.062494,194.501782,12:30,6.01513,2.00423,5.57362,-21.92419,16.66776,3.93366,1.37489,-1.50498,78.03359,-7.118844,-3.401895,0.447116,,,,,,,,,,,,-3.32185,9.82343,-1.65318,50,5.74192,8.79303,-125.0439,-7.25814,-5.16921,29.25209,-16.88759,HAG_FLY,YOR,HagerstownBallpark,Independent,ATL,20250510-HagerstownBallpark-1,1e8c96e0-2deb-11f0-be9e-67c8baa22eb9,84.30133,,,8.5915,,,,,,,2ad5662f-85be-42af-83ff-5ad4bbc39175,2025-05-10,22:06:59.58,2025-05-10T18:06:59.5806208-04:00,2025-05-10T22:06:59.5806208Z,,v3,6089,5435,,"DeLuca, Joe",700593,Right,HAG_FLY,ad13355d-731b-4597-94e3-8a4900c01824,54.91946,-126.18949,14.62604,6.01322,-6.59678,-8.44379,-2.0015,8.99546,-2.5846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-10,18:07:42.96,2,2,"Corcino, Daniel",542289,Right,HAG_FLY,"Costes, Marty",664753,Right,YOR,Undefined,1,Top,0,1,0,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Sacrifice,1,1,,88.4111,-1.088154,-3.298866,2262.077043,212.374768,1:00,6.03127,1.95933,5.57923,-18.13686,18.60718,10.94969,3.5018,-0.21249,79.61662,-4.545209,-1.349538,0.436279,88.98346,17.693481,21.634221,3524.357561,98.77744,27.79106,48.40372,255.59682,251.07421,31.341881,2.853737,-6.58741,10.13808,-1.68274,50,5.92614,6.89444,-127.97756,-2.98175,-10.77226,29.85851,-15.59537,HAG_FLY,YOR,HagerstownBallpark,Independent,ATL,20250510-HagerstownBallpark-1,38625be0-2deb-11f0-be9e-67c8baa22eb9,86.39517,29.17044,,8.79448,,,,0.41099,3.39367,0.36061,2ad5662f-85be-42af-83ff-5ad4bbc39175,2025-05-10,22:07:42.96,2025-05-10T18:07:42.9627904-04:00,2025-05-10T22:07:42.9627904Z,LineDrive,v3,6089,5435,,"DeLuca, Joe",700593,Right,HAG_FLY,dc164d2b-3fb1-4652-b5ec-3fe4c3d32ea6,54.91627,-129.11949,14.92926,6.02877,-2.38531,-7.79768,-1.95429,7.30642,-5.38613,,0.41105,115.57422,-23.28246,5.51224,-1.13013,0.1607,-0.00708,-0.00255,0.00042,3.39361,39.66756,-15.95173,0.44353,0.0748,0.00158,-0.01474,0.00552,-0.00064,0.3606,45.84009,2.7537,-2.01064,0.72234,-0.19379,0.04001,-0.00534,0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-05-10,18:08:19.81,3,1,"Corcino, Daniel",542289,Right,HAG_FLY,"Tostado, Frankie",676762,Left,YOR,Undefined,1,Top,1,0,0,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.79906,-1.053021,-2.913295,2252.73066,203.654438,12:45,5.99778,2.01815,5.53744,-21.34442,16.12469,6.44583,3.23348,-0.16996,78.80648,-5.087574,-1.766081,0.440563,75.22998,-1.954298,17.583037,2912.92953,,,,36.87649,35.35239,16.333181,0.324001,-4.25209,8.9052,-1.76982,50,5.89269,6.18752,-127.07489,-3.02068,-6.81809,30.74527,-17.89482,HAG_FLY,YOR,HagerstownBallpark,Independent,ATL,20250510-HagerstownBallpark-1,4e596010-2deb-11f0-be9e-67c8baa22eb9,85.55514,3.36381,,8.99257,,,,2.67733,3.36381,0.14251,2ad5662f-85be-42af-83ff-5ad4bbc39175,2025-05-10,22:08:19.81,2025-05-10T18:08:19.8194176-04:00,2025-05-10T22:08:19.8194176Z,GroundBall,v3,6089,5435,,"DeLuca, Joe",700593,Right,HAG_FLY,9c112f7f-2058-4b5e-afab-712d273cdf12,54.95834,-128.26893,15.37264,5.99651,-2.32571,-8.94741,-2.01527,6.45231,-3.40904,14.081263,2.67934,105.03813,-12.62682,,,,,,,3.36753,-3.91553,-20.02816,,,,,,,0.14363,33.26637,-5.26346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-10,18:08:57.45,4,1,"Corcino, Daniel",542289,Right,HAG_FLY,"Lewis, Brandon",686781,Right,YOR,Undefined,1,Top,2,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.04704,-1.485836,-1.929063,2445.48016,170.533827,11:45,6.04819,2.15398,5.19526,-38.70305,3.75929,-0.41374,1.42421,0.30429,75.81448,-8.499306,-2.002446,0.469001,,,,,,,,,,,,-0.30445,2.66949,-1.97479,50,5.8811,4.02703,-119.04833,-4.48578,-0.43893,21.87626,-28.32551,HAG_FLY,YOR,HagerstownBallpark,Independent,ATL,20250510-HagerstownBallpark-1,64d21760-2deb-11f0-be9e-67c8baa22eb9,80.36758,,,6.23256,,,,,,,2ad5662f-85be-42af-83ff-5ad4bbc39175,2025-05-10,22:08:57.45,2025-05-10T18:08:57.4582272-04:00,2025-05-10T22:08:57.4582272Z,,v3,6089,5435,,"DeLuca, Joe",700593,Right,HAG_FLY,47a2df47-2303-4284-84dc-0d54d522c42e,55.30283,-120.01882,10.93813,6.05223,-3.22918,-14.16276,-2.15387,4.0465,-0.21947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-10,18:09:10.28,4,2,"Corcino, Daniel",542289,Right,HAG_FLY,"Lewis, Brandon",686781,Right,YOR,Undefined,1,Top,2,1,0,Undefined,Slider,InPlay,Undefined,FlyBall,Out,1,0,,80.97642,0.454667,-1.905244,2363.682472,167.517387,11:30,5.94306,2.00927,5.37167,-38.25191,5.14532,-0.84264,3.18192,0.15214,74.32772,-6.547359,-2.054977,0.474135,105.2805,31.558643,-11.925552,3283.346519,108.21341,66.26224,-19.74474,388.29256,387.16391,-6.382593,5.419094,-0.09776,2.82579,-1.83785,50,5.95659,3.94355,-117.53764,-0.37549,-0.13686,22.0784,-28.2172,HAG_FLY,YOR,HagerstownBallpark,Independent,ATL,20250510-HagerstownBallpark-1,6c735e70-2deb-11f0-be9e-67c8baa22eb9,79.49721,102.7445,,6.6487,,,,2.08294,3.23034,-0.15855,2ad5662f-85be-42af-83ff-5ad4bbc39175,2025-05-10,22:09:10.28,2025-05-10T18:09:10.2827008-04:00,2025-05-10T22:09:10.2827008Z,FlyBall,v3,6089,5435,,"DeLuca, Joe",700593,Right,HAG_FLY,dc27cc2d-74fe-41c9-a80a-b7ec869e9a9f,55.12719,-118.49683,11.0392,5.94628,0.85039,-14.1086,-2.0093,3.9495,-0.06843,193.657987,2.08416,128.71466,-27.74962,7.23592,-1.66893,0.34803,-0.0569,0.0058,-0.00026,3.23331,80.75126,-17.85625,0.19448,0.48728,-0.2302,0.05213,-0.00588,0.00026,-0.15908,-27.17932,9.5897,-2.61101,0.61502,-0.12694,0.02009,-0.00198,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-05-10,18:12:37.34,1,1,"Scott, Wesley",669417,Right,YOR,"Mattis, Gary",669013,Right,HAG_FLY,Undefined,1,Bottom,0,0,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.06087,1.402657,-1.256434,2570.326849,87.912275,9:00,4.73485,2.32979,4.80285,-49.03066,1.11488,-20.99123,1.97853,-0.61011,69.33821,-7.504205,-4.946154,0.509668,,,,,,,,,,,,9.84469,0.61791,-2.18552,50,4.8326,3.33046,-111.47009,0.9773,12.09418,24.44924,-31.41495,HAG_FLY,YOR,HagerstownBallpark,Independent,ATL,20250510-HagerstownBallpark-1,e7e3b5f0-2deb-11f0-be9e-67c8baa22eb9,73.95484,,,7.72266,,,,,,,2ad5662f-85be-42af-83ff-5ad4bbc39175,2025-05-10,22:12:37.34,2025-05-10T18:12:37.3424128-04:00,2025-05-10T22:12:37.3424128Z,,v3,6089,5435,,"Berglund, Michael",668842,Right,YOR,c1e3d8d0-feb7-4150-ae97-de141d6f54db,55.69317,-112.71188,12.22462,4.74244,2.57289,-15.70748,-2.33907,2.71619,6.04709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-10,18:12:50.99,1,2,"Scott, Wesley",669417,Right,YOR,"Mattis, Gary",669013,Right,HAG_FLY,Undefined,1,Bottom,0,0,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.90529,1.464376,0.218458,2592.440745,83.962661,8:45,4.68095,2.28305,5.08632,-47.54916,-0.22197,-19.1769,2.09905,0.89088,70.79287,-7.227947,-3.17466,0.495139,,,,,,,,,,,,9.59237,-0.11346,-2.28782,50,4.78244,0.36629,-114.219,1.23556,12.35859,25.88561,-32.32022,HAG_FLY,YOR,HagerstownBallpark,Independent,ATL,20250510-HagerstownBallpark-1,f002df90-2deb-11f0-be9e-67c8baa22eb9,76.12503,,,8.11243,,,,,,,2ad5662f-85be-42af-83ff-5ad4bbc39175,2025-05-10,22:12:50.99,2025-05-10T18:12:50.9948928-04:00,2025-05-10T22:12:50.9948928Z,,v3,6089,5435,,"Berglund, Michael",668842,Right,YOR,7800d35f-1903-4b65-a930-abc83ea34b9a,55.41016,-115.4386,12.9428,4.68835,2.75833,-16.16011,-2.29136,-0.21598,6.17929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-10,18:13:08.11,1,3,"Scott, Wesley",669417,Right,YOR,"Mattis, Gary",669013,Right,HAG_FLY,Undefined,1,Bottom,0,0,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.82009,0.111115,-1.03126,2671.71849,81.393226,8:45,4.8014,2.25274,5.14296,-47.03451,-1.00917,-17.92639,0.9865,-0.2122,72.08523,-8.451899,-4.207421,0.488281,,,,,,,,,,,,8.57248,-0.05327,-2.14175,50,4.77584,2.8293,-115.60984,-1.45358,11.3419,26.06109,-32.24453,HAG_FLY,YOR,HagerstownBallpark,Independent,ATL,20250510-HagerstownBallpark-1,fa3a88f0-2deb-11f0-be9e-67c8baa22eb9,77.19413,,,7.73486,,,,,,,2ad5662f-85be-42af-83ff-5ad4bbc39175,2025-05-10,22:13:08.11,2025-05-10T18:13:08.1100000-04:00,2025-05-10T22:13:08.1100000Z,,v3,6089,5435,,"Berglund, Michael",668842,Right,YOR,560e150e-53e3-4cc0-be41-8c84bee90032,55.35399,-116.81051,13.03055,4.80859,0.03198,-16.12227,-2.26006,2.30676,5.67095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.05122,,,1.574023,,,,-3.50677,5.17923,2.33368,69.15993,8.26248,-55.81321,-3.40327,50.75551,-2.95468,5.36053,25.86327,-15.25054,2.22448,-41.24424,2.77454,High,High,High,,,High,High,High
