PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-10,18:39:49.90,1,1,"Hennessey, Joey",690499,Right,SMD,"Nelson, James",663445,Right,WES_POW,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.8933,-0.438449,-2.839166,2248.780785,240.62113,2:00,5.26662,3.06803,5.62684,-21.16521,11.94922,19.13859,3.09323,2.01154,83.80023,-4.416012,0.575465,0.414171,,,,,,,,,,,,-10.70776,6.53426,-2.83912,50,5.21594,5.82262,-134.65085,-1.76767,-19.39909,32.84217,-20.33601,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,af055000-2def-11f0-9386-1921ba3db7fd,91.00691,,,9.09306,,,,,,,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:39:49.90,2025-05-10T18:39:49.9019776-04:00,2025-05-10T22:39:49.9019776Z,,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,aeba628b-8f67-4b78-b0a4-20a0ae86fe92,54.87203,-135.83397,16.42109,5.26642,-1.03508,-10.16801,-3.06147,6.52146,-9.69955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-10,18:40:05.87,1,2,"Hennessey, Joey",690499,Right,SMD,"Nelson, James",663445,Right,WES_POW,Undefined,1,Top,0,1,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.76325,-1.073408,-3.701532,2091.500833,256.39668,2:30,5.11945,2.89817,5.70098,-33.07998,3.00705,7.38374,1.36037,0.05959,80.7956,-7.162978,-2.383424,0.432361,,,,,,,,,,,,-4.89587,2.18599,-2.5921,50,5.00859,8.00494,-128.58532,-3.60079,-8.1288,28.73256,-28.5446,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,b892d6b0-2def-11f0-9386-1921ba3db7fd,87.17809,,,7.96765,,,,,,,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:40:05.87,2025-05-10T18:40:05.8723840-04:00,2025-05-10T22:40:05.8723840Z,,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,d51338c2-0a2a-4456-8c63-9191a117cf27,54.79725,-129.65284,14.36628,5.12267,-2.54025,-14.2723,-2.89512,8.30696,-4.0644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-10,18:40:28.80,1,3,"Hennessey, Joey",690499,Right,SMD,"Nelson, James",663445,Right,WES_POW,Undefined,1,Top,0,1,1,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.50342,0.019571,-3.772853,2176.989291,195.269689,12:30,5.13546,2.8364,6.00657,-29.90899,7.08957,1.57126,2.66121,-0.53314,78.88773,-5.570058,-3.49124,0.437788,82.80491,62.25498,69.548321,5438.169259,-0.64281,122.79676,109.99795,163.67987,70.46629,93.137972,5.592855,-2.04299,4.01969,-2.54056,50,5.1208,8.2905,-126.70007,-0.9346,-3.26548,29.92095,-25.74912,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,c63cc370-2def-11f0-9386-1921ba3db7fd,86.09744,129.67039,,8.61568,,,,1.47123,2.89286,0.18777,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:40:28.80,2025-05-10T18:40:28.8050688-04:00,2025-05-10T22:40:28.8050688Z,Popup,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,061687a0-2ce8-451a-a583-fea9d92cfc78,54.48933,-127.75585,14.96048,5.13775,-0.02602,-12.87456,-2.83513,8.40573,-1.63274,202.607513,1.46061,19.84201,-15.82203,5.24348,-0.64532,-0.23033,0.11057,-0.0171,0.00093,2.86805,107.92609,-30.18075,5.48714,-1.96223,0.56635,-0.09716,0.00836,-0.00027,0.18378,53.01171,-11.81466,2.92757,-0.36407,-0.06464,0.03537,-0.00536,0.00028,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2025-05-10,18:40:54.71,1,4,"Hennessey, Joey",690499,Right,SMD,"Nelson, James",663445,Right,WES_POW,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,0,,84.88573,0.700864,-3.371978,2277.194901,14.916567,6:30,5.14752,2.76643,5.40399,-41.3677,-1.24114,-0.70736,2.35808,-0.45566,76.814,-6.867064,-3.497499,0.455919,104.42921,9.958076,-4.901296,1444.56157,109.91339,9.69993,-4.36216,174.1674,174.1674,-0.888477,1.380373,-0.72583,-0.46839,-2.46531,50,5.18107,7.27034,-122.88168,-0.00661,-1.09354,27.68531,-32.87969,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,d5af3b30-2def-11f0-9386-1921ba3db7fd,82.67358,10.34771,,8.07173,,,,1.69516,2.43034,0.43959,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:40:54.71,2025-05-10T18:40:54.7146752-04:00,2025-05-10T22:40:54.7146752Z,LineDrive,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,b2602c28-2660-41ae-b6ea-adccd8f57e9d,55.09339,-124.02392,13.84265,5.15336,1.34993,-16.43985,-2.7662,7.31546,-0.54677,294.784544,1.69516,150.30341,-22.41403,3.87915,-0.85755,0.06412,0.10251,-0.06207,0.01196,2.43032,26.48855,-23.9088,3.49609,-1.59256,1.43239,-0.98117,0.36614,-0.05604,0.43962,-12.89448,10.30394,-2.98074,2.40192,-2.8786,2.11191,-0.80375,0.12416,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-05-10,18:41:30.76,2,1,"Hennessey, Joey",690499,Right,SMD,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.29764,-0.055583,-3.848334,2226.920741,232.755981,1:45,5.36312,2.90758,5.63045,-18.77686,15.83568,19.09265,3.7464,0.90261,81.58598,-3.636,-0.447787,0.423436,,,,,,,,,,,,-10.84221,8.3817,-2.59166,50,5.3467,7.98704,-132.02847,-0.71927,-18.76431,33.22601,-17.66804,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,eb2c7b80-2def-11f0-9386-1921ba3db7fd,89.01558,,,9.71166,,,,,,,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:41:30.76,2025-05-10T18:41:30.7688448-04:00,2025-05-10T22:41:30.7688448Z,,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,9dd0706e-393a-4673-bf83-a6a3d958aad3,54.86342,-133.24677,16.61301,5.36119,-0.07144,-8.83402,-2.89714,8.67507,-9.38215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-10,18:41:49.40,2,2,"Hennessey, Joey",690499,Right,SMD,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.36898,-2.151001,-5.36373,2270.535367,239.492359,2:00,5.30646,2.83632,5.62729,-21.53643,13.08516,19.98229,1.49491,-0.51798,82.08073,-6.201163,-1.814259,0.423492,,,,,,,,,,,,-11.798,7.69355,-2.39118,50,5.10893,11.45919,-131.83842,-5.69935,-20.43365,32.20204,-18.84917,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,f64a3f20-2def-11f0-9386-1921ba3db7fd,89.00393,,,9.28826,,,,,,,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:41:49.40,2025-05-10T18:41:49.4013952-04:00,2025-05-10T22:41:49.4013952Z,,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,c6811cc6-6fd9-4d22-98f3-9f0408afd3a1,54.8685,-133.02225,16.10102,5.30572,-5.0064,-9.42458,-2.82626,12.21038,-10.21682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-10,18:42:06.84,2,3,"Hennessey, Joey",690499,Right,SMD,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,0,2,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,90.61597,-0.228199,-4.191654,2235.66915,231.742878,1:45,5.35255,3.00094,5.68125,-19.84072,15.19867,17.598,3.48587,0.55323,81.12905,-3.999079,-1.056644,0.426039,78.0627,35.018518,33.425823,2725.394924,89.90796,60.74045,63.37623,269.86357,262.04652,39.042448,4.36973,-10.39949,8.17197,-2.65896,50,5.32126,8.83212,-131.06874,-1.15781,-17.74293,32.66587,-18.23157,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,00bd43d0-2df0-11f0-9386-1921ba3db7fd,88.47172,66.67148,,9.48692,,,,3.72216,3.62859,-0.65635,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:42:06.84,2025-05-10T18:42:06.8462592-04:00,2025-05-10T22:42:06.8462592Z,FlyBall,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,4fca0ac6-cf9e-4ebd-a70c-5f56d2c89d93,54.81594,-132.26356,16.33293,5.35141,-0.49096,-9.11579,-2.99388,9.4811,-8.87147,211.080086,3.72535,78.17763,-15.55292,3.52305,-0.3389,-0.11312,0.04027,-0.00385,6E-05,3.62825,65.70423,-19.15247,1.15654,0.03666,-0.12553,0.05512,-0.01006,0.00066,-0.6541,51.5932,-4.01071,-0.37141,0.68043,-0.34567,0.09407,-0.01287,0.00069,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-05-10,18:42:48.03,3,1,"Hennessey, Joey",690499,Right,SMD,"Matijevic, JJ",1000309874,Left,WES_POW,Undefined,1,Top,1,0,0,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,88.3706,0.327237,-4.360631,2237.761983,227.377413,1:30,5.2136,2.98635,5.77788,-28.1171,8.3367,7.67918,3.17587,-0.43895,79.89362,-4.910924,-2.991579,0.434553,,,,,,,,,,,,-5.22225,4.53292,-2.63036,50,5.22398,9.41392,-127.85676,-0.22793,-8.55704,28.8555,-24.74658,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,1942e220-2df0-11f0-9386-1921ba3db7fd,86.7384,,,8.47698,,,,,,,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:42:48.03,2025-05-10T18:42:48.0390000-04:00,2025-05-10T22:42:48.0390000Z,,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,15ad626c-4d50-48b1-8556-81ef74ab0981,54.71702,-128.91693,14.42775,5.21566,0.68128,-12.37329,-2.982,9.72831,-4.27852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.37559,1.986131,0.738304,1.247827,-1.77686,2.89113,0.60355,-0.52354,5.83125,0.41049,127.27807,6.57304,0.27264,-0.34712,116.38845,-11.44546,5.84272,14.92086,-11.50112,0.42,0.44652,-0.45971,High,High,High,,,High,High,High
9,2025-05-10,18:43:35.45,3,2,"Hennessey, Joey",690499,Right,SMD,"Matijevic, JJ",1000309874,Left,WES_POW,Undefined,1,Top,1,1,0,ChangeUp,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.55311,0.201067,-1.99177,2073.688731,206.882732,1:00,5.16047,3.01493,5.89849,-28.85714,6.98028,2.93484,2.94248,1.40969,80.49221,-5.174354,-1.465257,0.430864,,,,,,,,,,,,-2.07996,3.89166,-2.85632,50,5.16034,4.34205,-128.49036,-0.53261,-3.45526,28.19402,-25.70911,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,35878440-2df0-11f0-9386-1921ba3db7fd,87.48113,,,8.0609,,,,,,,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:43:35.45,2025-05-10T18:43:35.4585088-04:00,2025-05-10T22:43:35.4585088Z,,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,07a5dfcc-1a5c-44b7-b5e7-ece6cbb47641,54.59681,-129.49509,14.09701,5.163,0.38357,-12.85456,-3.01324,4.46518,-1.72763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-10,18:43:59.84,3,3,"Hennessey, Joey",690499,Right,SMD,"Matijevic, JJ",1000309874,Left,WES_POW,Undefined,1,Top,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.21069,-0.891651,-3.508721,2330.242041,235.911808,1:45,5.40658,2.89858,5.6067,-20.79009,12.38509,16.45296,2.84013,0.99037,83.55587,-4.810906,-0.577334,0.414551,,,,,,,,,,,,-9.40898,6.91146,-2.60877,50,5.3171,7.4859,-134.84624,-2.82003,-17.00914,34.30061,-19.67983,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,440562d0-2df0-11f0-9386-1921ba3db7fd,90.92352,,,9.65482,,,,,,,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:43:59.84,2025-05-10T18:43:59.8460000-04:00,2025-05-10T22:43:59.8460000Z,,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,f002406e-2691-41c8-be91-a73b6e25f59b,54.88758,-136.0838,17.15031,5.40604,-2.10998,-9.83992,-2.88993,8.09959,-8.50457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,,,3,4,"Hennessey, Joey",690499,Right,SMD,"Matijevic, JJ",1000309874,Left,WES_POW,Undefined,1,Top,1,3,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,514f2e30-2df0-11f0-9386-1921ba3db7fd,,,,,,,,,,,e06c27d5-6c48-48ac-8759-9d346f023e37,,,,,,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2025-05-10,18:44:25.81,3,5,"Hennessey, Joey",690499,Right,SMD,"Matijevic, JJ",1000309874,Left,WES_POW,Undefined,1,Top,1,4,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,93.4941,-2.89014,-4.545505,2252.562301,241.006053,2:00,5.40557,2.83543,5.61266,-21.24371,11.63005,18.84698,0.92697,0.15458,84.54811,-6.859403,-1.191148,0.412664,,,,,,,,,,,,-10.94827,7.13028,-2.45889,50,5.1443,9.86783,-135.08063,-7.59039,-20.00519,32.46191,-19.14529,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,537fa2c0-2df0-11f0-9386-1921ba3db7fd,91.3394,,,8.94599,,,,,,,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:44:25.81,2025-05-10T18:44:25.8110000-04:00,2025-05-10T22:44:25.8110000Z,,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,a04cdcbe-f810-448c-81f6-a55e916046fa,54.88468,-136.24944,16.23096,5.40519,-6.90106,-9.57264,-2.82715,10.58812,-10.0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2025-05-10,18:44:58.99,4,1,"Hennessey, Joey",690499,Right,SMD,"Bradley, Bobby",656252,Left,WES_POW,Undefined,1,Top,1,0,0,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.78471,-0.168124,-4.662372,2247.196954,216.727437,1:15,5.1814,2.85566,5.8093,-31.08576,5.79457,3.38272,2.43406,-1.20762,79.65341,-5.925528,-4.059437,0.437088,,,,,,,,,,,,-3.13933,3.39697,-2.47463,50,5.1493,10.21222,-126.99326,-1.44601,-5.08004,28.21609,-26.6771,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,674d1030-2df0-11f0-9386-1921ba3db7fd,86.23537,,,8.13129,,,,,,,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:44:58.99,2025-05-10T18:44:58.9910000-04:00,2025-05-10T22:44:58.9910000Z,,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,fb266270-d4a0-4225-982f-51f74b5931f2,54.68645,-128.03029,14.10805,5.18443,-0.46555,-13.33855,-2.8534,10.39893,-2.54002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,2025-05-10,18:45:17.15,4,2,"Hennessey, Joey",690499,Right,SMD,"Bradley, Bobby",656252,Left,WES_POW,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,1,,88.98408,-0.822002,-3.927439,2225.10211,214.353769,1:15,5.23101,3.06007,5.78155,-26.87856,9.20859,5.39878,2.22449,-0.14983,80.23052,-5.838928,-2.963702,0.432362,109.4814,14.555767,34.937234,2796.994092,86.55479,23.70412,67.88313,283.11048,262.88056,44.278611,2.608048,-4.04984,5.32776,-2.7391,50,5.14705,8.61201,-128.77663,-2.75959,-6.69022,30.79378,-23.37277,SMD,WES_POW,RegencyFurnitureStadium,Independent,ATL,20250510-RegencyFurnitureStadium-1,72195870-2df0-11f0-9386-1921ba3db7fd,87.17789,26.60394,,8.75356,,,,2.33063,2.41458,0.0877,e06c27d5-6c48-48ac-8759-9d346f023e37,2025-05-10,22:45:17.15,2025-05-10T18:45:17.1590000-04:00,2025-05-10T22:45:17.1590000Z,LineDrive,v3,5433,525,,"McCarthy, Ryan",811735,Right,SMD,ca6024b4-b463-4ef0-9e65-d4e19f9ea3dd,54.7152,-129.89926,15.39689,5.23213,-1.9075,-11.68638,-3.05751,8.85592,-3.34511,,2.33053,127.4168,-33.32618,8.91163,-2.09887,0.38858,-0.0492,0.00264,8E-05,2.41465,40.35034,-17.65063,0.58004,0.12792,-0.04351,0.00203,0.00162,-0.00025,0.08779,88.99866,-4.43485,-1.19928,0.70187,-0.1947,0.03075,-0.00214,-0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
