GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
b443c376-7290-48c0-b053-48757c91e219,1,92a2a180-2e92-11f0-9e29-73912500a9ed,2cce48bd-e9eb-4a32-9ecc-b604a854a564,2025-05-11,14:05:40.18,2025-05-11,18:05:40.18,2025-05-11T14:05:40.1811968-04:00,2025-05-11T18:05:40.1811968Z,HAG_FLY,YOR,InPlay,Double,NoShift,98.92339,60.3332,152.81205,27.45122,73.1831,-54.98525,136.31641,-40.95727,271.6494,-134.28374,330.53918,5.95462,274.08574,128.73358,"Kwitzer, Chris",807177,"Abreu, Osvaldo",622435,"Sedio, Chad",670466,"Robinson, Errol",642021,"Lujano, Jesus",665708,"Mattis, Gary",669013,"Dotel, Welington",468535,true
b443c376-7290-48c0-b053-48757c91e219,2,b0f8be80-2e92-11f0-9e29-73912500a9ed,4ded5d81-1851-456d-9708-fc6d0e065a8d,2025-05-11,14:06:31.07,2025-05-11,18:06:31.07,2025-05-11T14:06:31.0758912-04:00,2025-05-11T18:06:31.0758912Z,HAG_FLY,YOR,InPlay,Single,NoShift,99.52445,60.29413,138.91729,11.87333,72.28352,-54.09832,136.08813,-38.7193,265.6799,-132.71943,318.54702,-1.77788,270.65248,129.70506,"Kwitzer, Chris",807177,"Abreu, Osvaldo",622435,"Sedio, Chad",670466,"Robinson, Errol",642021,"Lujano, Jesus",665708,"Mattis, Gary",669013,"Dotel, Welington",468535,true
b443c376-7290-48c0-b053-48757c91e219,3,ce929060-2e92-11f0-9e29-73912500a9ed,d533743a-3073-4853-905e-e5bfbf109fe3,2025-05-11,14:07:20.66,2025-05-11,18:07:20.66,2025-05-11T14:07:20.6668800-04:00,2025-05-11T18:07:20.6668800Z,HAG_FLY,YOR,StrikeCalled,Undefined,NoShift,65.57845,58.3528,137.11774,38.872,90.57074,-49.11121,139.64883,-20.42235,266.7665,-132.06924,317.58118,5.48248,276.01872,155.6599,"Kwitzer, Chris",807177,"Abreu, Osvaldo",622435,"Sedio, Chad",670466,"Robinson, Errol",642021,"Lujano, Jesus",665708,"Mattis, Gary",669013,"Dotel, Welington",468535,true
b443c376-7290-48c0-b053-48757c91e219,4,d9b24fd0-2e92-11f0-9e29-73912500a9ed,8c8ab960-3109-4f8f-ac63-329b1f827b02,2025-05-11,14:07:39.40,2025-05-11,18:07:39.40,2025-05-11T14:07:39.4075136-04:00,2025-05-11T18:07:39.4075136Z,HAG_FLY,YOR,FoulBallNotFieldable,Undefined,NoShift,64.35413,59.27914,138.78314,40.73883,91.86092,-49.70906,139.523,-20.57679,265.15418,-132.26702,325.47738,5.82886,266.49027,155.2361,"Kwitzer, Chris",807177,"Abreu, Osvaldo",622435,"Sedio, Chad",670466,"Robinson, Errol",642021,"Lujano, Jesus",665708,"Mattis, Gary",669013,"Dotel, Welington",468535,true
b443c376-7290-48c0-b053-48757c91e219,5,f73b58d0-2e92-11f0-9e29-73912500a9ed,2256b73b-0c44-49a4-80e4-11c40817f173,2025-05-11,14:08:28.91,2025-05-11,18:08:28.91,2025-05-11T14:08:28.9158144-04:00,2025-05-11T18:08:28.9158144Z,HAG_FLY,YOR,FoulBallNotFieldable,Undefined,NoShift,63.95757,59.07776,137.62988,40.10679,93.99795,-49.24437,142.2488,-19.27884,264.89288,-130.30224,325.95538,6.4454,266.41976,157.71689,"Kwitzer, Chris",807177,"Abreu, Osvaldo",622435,"Sedio, Chad",670466,"Robinson, Errol",642021,"Lujano, Jesus",665708,"Mattis, Gary",669013,"Dotel, Welington",468535,true
b443c376-7290-48c0-b053-48757c91e219,6,05617a70-2e93-11f0-9e29-73912500a9ed,8d33f8cb-f107-4e98-a756-c5d39001c50c,2025-05-11,14:08:52.82,2025-05-11,18:08:52.82,2025-05-11T14:08:52.8273920-04:00,2025-05-11T18:08:52.8273920Z,HAG_FLY,YOR,BallCalled,Undefined,NoShift,64.89762,60.02983,139.04822,40.07842,94.81737,-48.73773,142.67441,-20.1559,267.44824,-132.19393,329.70394,7.14943,268.99976,157.96393,"Kwitzer, Chris",807177,"Abreu, Osvaldo",622435,"Sedio, Chad",670466,"Robinson, Errol",642021,"Lujano, Jesus",665708,"Mattis, Gary",669013,"Dotel, Welington",468535,true
b443c376-7290-48c0-b053-48757c91e219,7,12b44680-2e93-11f0-9e29-73912500a9ed,c1c603c9-44dd-48f6-8f3a-92a320343e32,2025-05-11,14:09:15.05,2025-05-11,18:09:15.05,2025-05-11T14:09:15.0592000-04:00,2025-05-11T18:09:15.0592000Z,HAG_FLY,YOR,InPlay,Out,NoShift,66.68058,58.7923,137.48815,38.50861,95.7643,-49.33397,143.13863,-20.45269,269.16322,-132.98759,331.1698,7.10678,277.2648,158.1482,"Kwitzer, Chris",807177,"Abreu, Osvaldo",622435,"Sedio, Chad",670466,"Robinson, Errol",642021,"Lujano, Jesus",665708,"Mattis, Gary",669013,"Dotel, Welington",468535,true
b443c376-7290-48c0-b053-48757c91e219,8,2df11590-2e93-11f0-9e29-73912500a9ed,3dfb2401-62e2-45c2-8096-ce38a5a1ae39,2025-05-11,14:10:00.87,2025-05-11,18:10:00.87,2025-05-11T14:10:00.8783360-04:00,2025-05-11T18:10:00.8783360Z,HAG_FLY,YOR,StrikeSwinging,Undefined,NoShift,64.92938,57.25998,142.61349,30.04165,94.15854,-71.01317,136.03336,-30.361,268.16925,-132.10968,320.28443,-0.68396,282.38691,121.26268,"Kwitzer, Chris",807177,"Abreu, Osvaldo",622435,"Sedio, Chad",670466,"Robinson, Errol",642021,"Lujano, Jesus",665708,"Mattis, Gary",669013,"Dotel, Welington",468535,true
b443c376-7290-48c0-b053-48757c91e219,9,49233640-2e93-11f0-9e29-73912500a9ed,aa4f8222-d38c-4e74-ab46-226928890fef,2025-05-11,14:10:46.50,2025-05-11,18:10:46.50,2025-05-11T14:10:46.5096704-04:00,2025-05-11T18:10:46.5096704Z,HAG_FLY,YOR,FoulBallNotFieldable,Undefined,NoShift,63.87694,59.44214,140.96963,29.81694,93.84208,-71.09072,138.00744,-30.15096,267.40475,-132.73538,348.75137,-6.92109,278.10635,129.36313,"Kwitzer, Chris",807177,"Abreu, Osvaldo",622435,"Sedio, Chad",670466,"Robinson, Errol",642021,"Lujano, Jesus",665708,"Mattis, Gary",669013,"Dotel, Welington",468535,true
b443c376-7290-48c0-b053-48757c91e219,10,5c09c620-2e93-11f0-9e29-73912500a9ed,005d92b9-a0f5-47a8-ae67-5e1e1ffabe33,2025-05-11,14:11:17.97,2025-05-11,18:11:17.97,2025-05-11T14:11:17.9745792-04:00,2025-05-11T18:11:17.9745792Z,HAG_FLY,YOR,BallCalled,Undefined,NoShift,64.95065,58.0456,140.6656,30.17517,93.73404,-71.03621,136.31683,-30.51311,267.16894,-132.44118,342.77109,-6.73872,275.30884,131.04768,"Kwitzer, Chris",807177,"Abreu, Osvaldo",622435,"Sedio, Chad",670466,"Robinson, Errol",642021,"Lujano, Jesus",665708,"Mattis, Gary",669013,"Dotel, Welington",468535,true
