GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
12d51062-8677-480d-bf96-ea0991a7072c,1,bdf9bcb0-30e5-11f0-a8d5-8167b4c8d35c,eb36d457-faab-4bbc-a2f0-1d25f81099f6,2025-05-14,13:06:13.43,2025-05-14,17:06:13.43,2025-05-14T13:06:13.4367744-04:00,2025-05-14T17:06:13.4367744Z,SMD,YOR,StrikeCalled,Undefined,NoShift,99.10415,65.04492,143.76273,37.29358,75.07392,-51.3264,145.93252,-33.51007,267.7626,-116.28068,328.97836,9.12396,272.60085,143.9203,"Barrera, Brett",686941,"Chatham, Cael",1000110760,"Loftin, Jackson",699816,"Taylor, John",10923412,"De Aza, Alejandro",457477,"DiGiacomo, Giovanni",681029,"Wilson, Ethan",681159,true
12d51062-8677-480d-bf96-ea0991a7072c,2,c54569b0-30e5-11f0-a8d5-8167b4c8d35c,72795969-7258-434f-99ab-628c80416b4a,2025-05-14,13:06:25.70,2025-05-14,17:06:25.70,2025-05-14T13:06:25.7018368-04:00,2025-05-14T17:06:25.7018368Z,SMD,YOR,FoulBallNotFieldable,Undefined,NoShift,98.50618,62.228,143.37349,36.55235,76.03148,-51.4615,144.71283,-33.45677,267.62971,-116.55608,329.09941,9.09408,273.55656,144.67276,"Barrera, Brett",686941,"Chatham, Cael",1000110760,"Loftin, Jackson",699816,"Taylor, John",10923412,"De Aza, Alejandro",457477,"DiGiacomo, Giovanni",681029,"Wilson, Ethan",681159,true
12d51062-8677-480d-bf96-ea0991a7072c,3,ce3577e0-30e5-11f0-a8d5-8167b4c8d35c,08f25244-0294-463a-972b-639b3bb5cea9,2025-05-14,13:06:40.66,2025-05-14,17:06:40.66,2025-05-14T13:06:40.6600000-04:00,2025-05-14T17:06:40.6600000Z,SMD,YOR,StrikeCalled,Undefined,NoShift,98.48663,63.03333,143.01719,36.43176,91.66512,-67.79547,144.81851,-30.31407,267.74071,-117.39343,328.56818,12.34167,273.21401,143.75355,"Barrera, Brett",686941,"Chatham, Cael",1000110760,"Loftin, Jackson",699816,"Taylor, John",10923412,"De Aza, Alejandro",457477,"DiGiacomo, Giovanni",681029,"Wilson, Ethan",681159,true
12d51062-8677-480d-bf96-ea0991a7072c,4,df6b98a0-30e5-11f0-a8d5-8167b4c8d35c,39df5af7-f886-4cb8-8411-8490c0b6ccc4,2025-05-14,13:07:09.53,2025-05-14,17:07:09.53,2025-05-14T13:07:09.5309824-04:00,2025-05-14T17:07:09.5309824Z,SMD,YOR,BallCalled,Undefined,NoShift,98.29928,61.86427,141.77552,36.87845,74.9829,-52.27877,144.13676,-35.62482,268.19244,-114.37002,332.13495,17.45099,268.94493,143.68945,"Barrera, Brett",686941,"Chatham, Cael",1000110760,"Loftin, Jackson",699816,"Taylor, John",10923412,"De Aza, Alejandro",457477,"DiGiacomo, Giovanni",681029,"Wilson, Ethan",681159,true
12d51062-8677-480d-bf96-ea0991a7072c,5,e7c448d0-30e5-11f0-a8d5-8167b4c8d35c,51e589ca-dda3-4432-9325-71f2c9b9a3dd,2025-05-14,13:07:23.58,2025-05-14,17:07:23.58,2025-05-14T13:07:23.5817472-04:00,2025-05-14T17:07:23.5817472Z,SMD,YOR,StrikeCalled,Undefined,NoShift,98.0685,62.35322,142.60763,36.90262,74.72731,-51.87316,145.573,-34.00379,270.94489,-114.17247,330.76164,15.15159,267.68971,143.24919,"Barrera, Brett",686941,"Chatham, Cael",1000110760,"Loftin, Jackson",699816,"Taylor, John",10923412,"De Aza, Alejandro",457477,"DiGiacomo, Giovanni",681029,"Wilson, Ethan",681159,true
12d51062-8677-480d-bf96-ea0991a7072c,6,eff99280-30e5-11f0-a8d5-8167b4c8d35c,fa4799da-2e19-4aac-b674-000a025e452d,2025-05-14,13:07:37.32,2025-05-14,17:07:37.32,2025-05-14T13:07:37.3281792-04:00,2025-05-14T17:07:37.3281792Z,SMD,YOR,FoulBallNotFieldable,Undefined,NoShift,98.37447,62.85297,142.40452,36.91816,75.21298,-51.90403,145.8965,-32.27225,271.56924,-113.78066,329.93412,15.43426,267.32278,143.09372,"Barrera, Brett",686941,"Chatham, Cael",1000110760,"Loftin, Jackson",699816,"Taylor, John",10923412,"De Aza, Alejandro",457477,"DiGiacomo, Giovanni",681029,"Wilson, Ethan",681159,true
12d51062-8677-480d-bf96-ea0991a7072c,7,f9f5b980-30e5-11f0-a8d5-8167b4c8d35c,eecdf11a-bb51-4b04-9c25-e63621b56f9d,2025-05-14,13:07:54.17,2025-05-14,17:07:54.17,2025-05-14T13:07:54.1701120-04:00,2025-05-14T17:07:54.1701120Z,SMD,YOR,BallCalled,Undefined,NoShift,97.67243,63.16409,142.17947,37.9072,96.92711,-71.94584,143.49954,-33.2446,274.75855,-107.93161,326.8267,16.2866,269.74455,143.99649,"Barrera, Brett",686941,"Chatham, Cael",1000110760,"Loftin, Jackson",699816,"Taylor, John",10923412,"De Aza, Alejandro",457477,"DiGiacomo, Giovanni",681029,"Wilson, Ethan",681159,true
12d51062-8677-480d-bf96-ea0991a7072c,8,082e9fd0-30e6-11f0-a8d5-8167b4c8d35c,461a70f8-5b4b-4de3-871a-555e991d8575,2025-05-14,13:08:17.90,2025-05-14,17:08:17.90,2025-05-14T13:08:17.9090432-04:00,2025-05-14T17:08:17.9090432Z,SMD,YOR,BallCalled,Undefined,NoShift,98.37127,63.92376,142.60737,37.89389,97.90602,-72.82075,144.64897,-31.72863,274.99759,-111.00034,328.52933,15.46507,272.66088,143.23371,"Barrera, Brett",686941,"Chatham, Cael",1000110760,"Loftin, Jackson",699816,"Taylor, John",10923412,"De Aza, Alejandro",457477,"DiGiacomo, Giovanni",681029,"Wilson, Ethan",681159,true
12d51062-8677-480d-bf96-ea0991a7072c,9,1302b040-30e6-11f0-a8d5-8167b4c8d35c,80e3b43b-e92e-46ea-9eed-a2a883051d78,2025-05-14,13:08:36.27,2025-05-14,17:08:36.27,2025-05-14T13:08:36.2786304-04:00,2025-05-14T17:08:36.2786304Z,SMD,YOR,FoulBallNotFieldable,Undefined,NoShift,99.03166,62.40265,142.07728,38.38466,97.28735,-73.52491,146.02471,-32.01976,278.65867,-111.20504,328.58633,14.26674,269.92529,143.42191,"Barrera, Brett",686941,"Chatham, Cael",1000110760,"Loftin, Jackson",699816,"Taylor, John",10923412,"De Aza, Alejandro",457477,"DiGiacomo, Giovanni",681029,"Wilson, Ethan",681159,true
12d51062-8677-480d-bf96-ea0991a7072c,10,20ea6950-30e6-11f0-a8d5-8167b4c8d35c,d3ae308d-058c-4ea5-be63-e219ff971f04,2025-05-14,13:08:59.42,2025-05-14,17:08:59.42,2025-05-14T13:08:59.4281984-04:00,2025-05-14T17:08:59.4281984Z,SMD,YOR,FoulBallNotFieldable,Undefined,NoShift,98.28217,63.86924,142.84145,38.56765,97.11879,-73.53998,144.27045,-32.10079,276.56455,-112.22561,322.92517,15.93737,270.20228,144.00898,"Barrera, Brett",686941,"Chatham, Cael",1000110760,"Loftin, Jackson",699816,"Taylor, John",10923412,"De Aza, Alejandro",457477,"DiGiacomo, Giovanni",681029,"Wilson, Ethan",681159,true
