PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-17,18:39:20.62,1,1,"Sampson, Keyvius",572102,Right,WES_POW,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.61182,-1.819253,-3.380463,2328.297763,206.662635,1:00,6.16897,2.17212,5.26329,-17.76253,17.67733,8.2254,2.9761,-0.32192,81.63444,-5.176597,-1.925033,0.428467,,,,,,,,,,,,-5.13925,9.75445,-1.86856,50,5.9896,7.34499,-131.00422,-4.7488,-8.8151,31.03298,-15.44269,WES_POW,SMD,GoMart,Independent,ATL,20250517-GoMart-1,c6679930-336f-11f0-ab10-318807a5fe29,87.97045,,,8.97737,,,,,,,77d3ebc4-78ed-43ab-baa8-7a0e7cf60fb8,2025-05-17,22:39:20.62,2025-05-17T18:39:20.6293504-04:00,2025-05-17T22:39:20.6293504Z,,v3,525,5433,,"Hill, Tyler",700033,Right,WES_POW,03434343-1a43-4b4c-8447-399bdf9c30fa,55.23102,-132.23756,15.51649,6.16614,-4.13506,-7.72135,-2.16744,7.69533,-4.40755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-17,18:39:34.41,1,2,"Sampson, Keyvius",572102,Right,WES_POW,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.97926,-2.501089,-3.589901,2341.889287,144.274985,10:45,6.07005,2.0684,5.25824,-30.29919,9.21827,-5.59603,1.18913,-1.77521,77.86677,-8.052975,-4.579738,0.452445,,,,,,,,,,,,1.62032,5.85292,-1.73488,50,5.81846,8.04192,-124.20826,-6.52305,2.49087,28.58282,-23.1765,WES_POW,SMD,GoMart,Independent,ATL,20250517-GoMart-1,cea399a0-336f-11f0-ab10-318807a5fe29,83.30833,,,8.11249,,,,,,,77d3ebc4-78ed-43ab-baa8-7a0e7cf60fb8,2025-05-17,22:39:34.41,2025-05-17T18:39:34.4177664-04:00,2025-05-17T22:39:34.4177664Z,,v3,525,5433,,"Hill, Tyler",700033,Right,WES_POW,bcdfb222-308d-414a-853d-1e5fea28428c,55.23691,-125.40759,14.29141,6.07177,-5.55057,-11.58825,-2.07012,7.93741,1.24543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-17,18:39:45.97,1,3,"Sampson, Keyvius",572102,Right,WES_POW,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,1,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.9081,-0.538815,-2.773169,2361.629531,126.378467,10:15,6.12258,2.18842,5.05404,-31.40037,10.51253,-12.12843,2.99711,-1.43972,75.42155,-6.321062,-4.910737,0.465956,,,,,,,,,,,,5.00307,5.87134,-1.91446,50,6.0471,6.42682,-121.27993,-2.265,7.29422,28.39222,-23.61393,WES_POW,SMD,GoMart,Independent,ATL,20250517-GoMart-1,d586e7e0-336f-11f0-ab10-318807a5fe29,80.89263,,,8.48656,,,,,,,77d3ebc4-78ed-43ab-baa8-7a0e7cf60fb8,2025-05-17,22:39:45.97,2025-05-17T18:39:45.9749888-04:00,2025-05-17T22:39:45.9749888Z,,v3,525,5433,,"Hill, Tyler",700033,Right,WES_POW,7221cb0f-5afe-4b7f-8702-7ee92a704a2a,55.43884,-122.54657,14.19611,6.12465,-1.21152,-11.80697,-2.19392,6.10141,3.64711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-17,18:40:00.02,1,4,"Sampson, Keyvius",572102,Right,WES_POW,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,2,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.41973,-1.466671,-3.818269,1717.257004,237.966704,2:00,6.02768,2.18816,5.61777,-32.20376,9.73024,13.28005,1.9719,-0.27392,75.15046,-7.417199,-1.451243,0.466074,,,,,,,,,,,,-7.84036,5.78831,-1.87057,50,5.88168,7.42521,-119.34363,-4.1176,-11.24529,24.15198,-23.87198,WES_POW,SMD,GoMart,Independent,ATL,20250517-GoMart-1,de04ac40-336f-11f0-ab10-318807a5fe29,80.87227,,,7.26926,,,,,,,77d3ebc4-78ed-43ab-baa8-7a0e7cf60fb8,2025-05-17,22:40:00.02,2025-05-17T18:40:00.0267776-04:00,2025-05-17T22:40:00.0267776Z,,v3,525,5433,,"Hill, Tyler",700033,Right,WES_POW,a7d7bc05-e366-408c-aabc-e7cda218ae50,54.88003,-120.32717,12.07599,6.02956,-3.14547,-11.93599,-2.18227,7.88315,-5.62265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-17,18:40:23.08,1,5,"Sampson, Keyvius",572102,Right,WES_POW,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,2,2,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.40081,-1.743001,-2.904433,2349.096741,211.702036,1:00,6.13103,1.8218,5.46048,-15.98985,18.1104,10.35843,3.16447,-0.03591,82.47697,-4.81126,-1.063264,0.420291,92.41807,1.053892,-21.203519,2102.331472,,,,59.3205,55.74682,-22.182801,0.454729,-6.21591,10.09095,-1.57313,50,5.96698,6.29092,-133.60047,-4.56515,-10.97171,35.06312,-14.36251,WES_POW,SMD,GoMart,Independent,ATL,20250517-GoMart-1,ebb6fd70-336f-11f0-ab10-318807a5fe29,89.68174,3.13617,,9.92384,,,,0.75117,3.06293,0.06733,77d3ebc4-78ed-43ab-baa8-7a0e7cf60fb8,2025-05-17,22:40:23.08,2025-05-17T18:40:23.0867456-04:00,2025-05-17T22:40:23.0867456Z,GroundBall,v3,525,5433,,"Hill, Tyler",700033,Right,WES_POW,d1b56d27-c163-4ab1-8f49-c800c9d58124,55.03461,-134.91532,17.53156,6.12807,-4.02657,-7.18125,-1.81675,6.70236,-5.48585,57.730984,0.75846,126.13458,-15.44003,,,,,,,3.0715,2.24152,-19.82327,,,,,,,0.07074,-49.11703,-0.65892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-17,18:41:04.30,2,1,"Sampson, Keyvius",572102,Right,WES_POW,"Taylor, John",10923412,Left,SMD,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.80299,-0.419857,-2.336529,2323.656442,221.06721,1:15,6.11126,2.21615,5.25017,-18.65048,16.73454,13.42052,4.16218,1.13771,81.32443,-3.953721,0.041367,0.428135,,,,,,,,,,,,-7.41024,8.84819,-2.01181,50,6.05954,4.71394,-131.39618,-1.58355,-12.71815,32.58835,-16.9879,WES_POW,SMD,GoMart,Independent,ATL,20250517-GoMart-1,04334cf0-3370-11f0-ab10-318807a5fe29,88.03863,,,9.47856,,,,,,,77d3ebc4-78ed-43ab-baa8-7a0e7cf60fb8,2025-05-17,22:41:04.30,2025-05-17T18:41:04.3027456-04:00,2025-05-17T22:41:04.3027456Z,,v3,525,5433,,"Hill, Tyler",700033,Right,WES_POW,a350492f-c55a-4a93-9b4e-fb89bcb80b87,55.24388,-132.69037,16.29418,6.10903,-0.9089,-8.49395,-2.20905,5.21902,-6.35908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-17,18:41:21.77,2,2,"Sampson, Keyvius",572102,Right,WES_POW,"Taylor, John",10923412,Left,SMD,Undefined,1,Top,0,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.75565,-3.246422,-2.128347,2294.991668,228.213027,1:30,6.07316,2.12121,5.3603,-23.17895,13.7643,13.8382,1.09184,1.2776,79.97642,-7.562617,0.331942,0.437461,,,,,,,,,,,,-7.68315,8.38548,-1.94033,50,5.76508,4.14997,-128.33817,-8.0836,-12.57874,31.1117,-18.44546,WES_POW,SMD,GoMart,Independent,ATL,20250517-GoMart-1,0eb12710-3370-11f0-ab10-318807a5fe29,86.16189,,,8.77923,,,,,,,77d3ebc4-78ed-43ab-baa8-7a0e7cf60fb8,2025-05-17,22:41:21.77,2025-05-17T18:41:21.7781248-04:00,2025-05-17T22:41:21.7781248Z,,v3,525,5433,,"Hill, Tyler",700033,Right,WES_POW,7723a0e3-9e33-46ca-bd27-a47938d8f38d,55.13684,-129.57745,15.55585,6.07245,-7.34885,-9.22273,-2.11561,4.65103,-6.28937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-17,18:41:47.34,2,3,"Sampson, Keyvius",572102,Right,WES_POW,"Taylor, John",10923412,Left,SMD,Undefined,1,Top,0,2,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.2842,-1.712849,-3.92531,1718.166932,230.250234,1:45,5.97686,2.23375,5.58521,-29.10399,12.95749,13.88469,1.94777,-0.28053,75.10982,-7.107362,-1.453143,0.466782,,,,,,,,,,,,-8.14634,7.47182,-1.9053,50,5.81056,7.60999,-119.1327,-4.50427,-11.66872,23.59488,-21.47152,WES_POW,SMD,GoMart,Independent,ATL,20250517-GoMart-1,1df8be40-3370-11f0-ab10-318807a5fe29,80.74963,,,7.17439,,,,,,,77d3ebc4-78ed-43ab-baa8-7a0e7cf60fb8,2025-05-17,22:41:47.34,2025-05-17T18:41:47.3471488-04:00,2025-05-17T22:41:47.3471488Z,,v3,525,5433,,"Hill, Tyler",700033,Right,WES_POW,2cb818d0-963d-4c57-bcab-4b9c775d96b4,54.91264,-120.10174,11.79744,5.97744,-3.62244,-10.73576,-2.22768,8.08922,-5.83436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-17,18:42:05.52,2,4,"Sampson, Keyvius",572102,Right,WES_POW,"Taylor, John",10923412,Left,SMD,Undefined,1,Top,0,2,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.10998,-2.51314,-4.486881,2329.904975,204.371815,12:45,6.05251,1.9785,5.48626,-14.6158,20.08312,8.54237,2.47458,-1.516,82.45637,-5.308746,-2.972887,0.423964,,,,,,,,,,,,-5.63622,11.21481,-1.59042,50,5.82195,9.93449,-131.63251,-6.22282,-9.80852,30.06516,-12.65726,WES_POW,SMD,GoMart,Independent,ATL,20250517-GoMart-1,28cc5980-3370-11f0-ab10-318807a5fe29,88.90473,,,8.65361,,,,,,,77d3ebc4-78ed-43ab-baa8-7a0e7cf60fb8,2025-05-17,22:42:05.52,2025-05-17T18:42:05.5280000-04:00,2025-05-17T22:42:05.5280000Z,,v3,525,5433,,"Hill, Tyler",700033,Right,WES_POW,c3a0f36f-04d5-432a-b523-c5ed6ac1465b,55.00982,-132.77184,15.03258,6.04868,-5.74317,-6.32863,-1.97393,10.30618,-4.90426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.03104,,0.753152,,-1.15354,2.23171,1.64785,-2.19375,6.02284,0.46036,,,,-2.10992,110.1946,-8.35184,6.0294,7.42367,-11.05703,0.44113,-3.23854,1.63135,High,High,High,,,High,High,Medium
10,2025-05-17,18:42:46.51,2,5,"Sampson, Keyvius",572102,Right,WES_POW,"Taylor, John",10923412,Left,SMD,Undefined,1,Top,0,3,1,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.00428,-1.648619,-4.205004,1785.616491,237.586346,2:00,5.97503,2.19461,5.67377,-29.45368,11.87363,16.46048,1.97899,-0.36102,75.54057,-7.118519,-1.270369,0.46269,,,,,,,,,,,,-9.60583,6.93579,-1.84988,50,5.81719,8.1658,-120.13598,-4.41062,-13.9482,24.67152,-22.10289,WES_POW,SMD,GoMart,Independent,ATL,20250517-GoMart-1,41443c30-3370-11f0-ab10-318807a5fe29,81.46372,,,7.46371,,,,,,,77d3ebc4-78ed-43ab-baa8-7a0e7cf60fb8,2025-05-17,22:42:46.51,2025-05-17T18:42:46.5178112-04:00,2025-05-17T22:42:46.5178112Z,,v3,525,5433,,"Hill, Tyler",700033,Right,WES_POW,c6a7ea71-46c2-4145-bb5c-861ac52bdf22,54.82452,-121.12271,12.33576,5.97591,-3.52662,-11.05145,-2.18762,8.72366,-6.9741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
