PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-17,18:37:13.05,1,1,"Solter, Matt",668605,Right,HP,"Washington, Xane",1000026055,Right,LEX_LEG,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.49894,-0.823193,-3.722623,2137.436051,261.526819,2:45,5.97474,1.895,5.70396,-30.21805,3.85925,19.37651,2.68787,0.03619,83.64272,-6.370486,-0.261818,0.42015,78.78114,-32.686035,35.29403,,,,,5.33205,5.33205,26.495193,0.042844,-10.82843,2.45004,-1.595,50,5.88654,7.71872,-131.3895,-2.99828,-19.13416,25.01279,-27.84475,HP,LEX_LEG,HighPoint,Independent,ATL,20250517-HighPoint-1,79d4a1d0-336f-11f0-9782-5ff776a33148,89.71189,2.68163,,6.85622,,,,1.3609,2.68163,-0.03594,41dcbd49-865d-496c-a2f6-70eb0e5d7871,2025-05-17,22:37:13.05,2025-05-17T18:37:13.0542080-04:00,2025-05-17T22:37:13.0542080Z,GroundBall,v3,5431,495,,"Mirabal, Isaiah",1000242322,Right,HP,439bc37c-bb0a-4266-9e42-645182638484,54.79874,-132.29989,12.50639,5.97722,-1.98482,-13.92238,-1.88862,8.41514,-9.56708,,1.35922,79.617,,,,,,,,2.68295,-62.58998,,,,,,,,-0.03713,56.35952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
2,2025-05-17,18:37:43.08,2,1,"Solter, Matt",668605,Right,HP,"Whalen, Brady",669714,Left,LEX_LEG,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.25236,-1.51653,-5.707057,2150.513952,255.007373,2:30,5.62826,2.01704,5.76317,-27.77151,5.85528,18.21619,1.89512,-1.79435,84.27134,-6.622478,-2.465183,0.417363,,,,,,,,,,,,-10.65473,3.66725,-1.55405,50,5.48509,12.40232,-132.0687,-4.52116,-19.04533,24.94924,-25.61884,HP,LEX_LEG,HighPoint,Independent,ATL,20250517-HighPoint-1,8bbcd480-336f-11f0-9782-5ff776a33148,90.3109,,,6.98102,,,,,,,41dcbd49-865d-496c-a2f6-70eb0e5d7871,2025-05-17,22:37:43.08,2025-05-17T18:37:43.0844416-04:00,2025-05-17T22:37:43.0844416Z,,v3,5431,495,,"Mirabal, Isaiah",1000242322,Right,HP,95e6e1cd-e943-4ee8-9701-323ccb4d480d,54.73838,-132.96082,12.47462,5.63038,-3.6051,-12.80942,-2.00969,13.08333,-9.52266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-17,18:37:56.63,2,2,"Solter, Matt",668605,Right,HP,"Whalen, Brady",669714,Left,LEX_LEG,Undefined,1,Top,1,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.25479,-1.93145,-4.267354,2200.264611,264.611557,2:45,5.90054,1.91495,5.53076,-30.98691,2.89898,20.14773,1.50709,-0.40255,84.27261,-7.586727,-0.681346,0.418968,,,,,,,,,,,,-11.45953,2.18614,-1.55814,50,5.71115,9.01019,-132.30089,-5.6412,-20.47337,26.11304,-28.2683,HP,LEX_LEG,HighPoint,Independent,ATL,20250517-HighPoint-1,93ca71f0-336f-11f0-9782-5ff776a33148,89.96495,,,6.98218,,,,,,,41dcbd49-865d-496c-a2f6-70eb0e5d7871,2025-05-17,22:37:56.63,2025-05-17T18:37:56.6350848-04:00,2025-05-17T22:37:56.6350848Z,,v3,5431,495,,"Mirabal, Isaiah",1000242322,Right,HP,f6dfe624-977d-4714-8ccc-824447ab5aad,54.97306,-133.27884,13.05652,5.90259,-4.58254,-14.13415,-1.90993,9.77693,-10.23668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-17,18:38:11.37,2,3,"Solter, Matt",668605,Right,HP,"Whalen, Brady",669714,Left,LEX_LEG,Undefined,1,Top,1,1,1,Cutter,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,84.37376,-0.339126,-2.961044,1774.817794,272.177898,3:00,5.9387,1.80211,5.52347,-39.05144,0.60543,15.4767,2.36693,0.32102,77.73428,-7.468684,-0.20204,0.453243,77.16882,-37.954806,52.775978,,,,,5.04936,5.04936,26.378561,0.036045,-8.66485,0.71437,-1.5552,50,5.88271,5.7042,-122.48999,-2.11444,-13.21934,23.25014,-31.0842,HP,LEX_LEG,HighPoint,Independent,ATL,20250517-HighPoint-1,9c99d8c0-336f-11f0-9782-5ff776a33148,83.16174,2.51667,,6.63948,,,,2.57184,2.51667,-0.3257,41dcbd49-865d-496c-a2f6-70eb0e5d7871,2025-05-17,22:38:11.37,2025-05-17T18:38:11.3774080-04:00,2025-05-17T22:38:11.3774080Z,GroundBall,v3,5431,495,,"Mirabal, Isaiah",1000242322,Right,HP,7b9d9a67-899e-4f5a-a838-46c95cc0fd93,54.97862,-123.43138,11.62507,5.94284,-0.85586,-15.5421,-1.797,6.23944,-6.60967,,2.57089,54.14886,,,,,,,,2.51789,-69.82093,,,,,,,,-0.32695,71.27642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2025-05-17,18:38:42.21,3,1,"Solter, Matt",668605,Right,HP,"Terry, Curtis",663799,Right,LEX_LEG,Undefined,1,Top,2,0,0,Sweeper,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.1861,-2.737132,-4.423692,2402.469771,214.96333,1:15,6.10516,1.84788,5.79673,-25.53497,11.19512,7.08922,1.42175,-1.68424,80.79181,-7.44257,-3.158401,0.436197,,,,,,,,,,,,-4.7024,6.72359,-1.48776,50,5.86391,9.47862,-126.29132,-6.90402,-7.68496,22.85462,-21.18594,HP,LEX_LEG,HighPoint,Independent,ATL,20250517-HighPoint-1,aefbf660-336f-11f0-9782-5ff776a33148,86.41157,,,6.39429,,,,,,,41dcbd49-865d-496c-a2f6-70eb0e5d7871,2025-05-17,22:38:42.21,2025-05-17T18:38:42.2129664-04:00,2025-05-17T22:38:42.2129664Z,,v3,5431,495,,"Mirabal, Isaiah",1000242322,Right,HP,88e904db-83d0-40d1-a079-7b6cb6ff9b64,54.70324,-127.1396,11.42731,6.10557,-6.11767,-10.59297,-1.84487,9.76386,-3.84248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-17,18:38:56.25,3,2,"Solter, Matt",668605,Right,HP,"Terry, Curtis",663799,Right,LEX_LEG,Undefined,1,Top,2,1,0,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.74682,-1.098189,-1.916062,2483.550696,224.454813,1:30,6.03182,1.79631,5.70657,-25.62033,10.32969,9.19965,2.87289,0.77704,81.61398,-5.822656,-0.270534,0.43154,,,,,,,,,,,,-5.12024,5.81855,-1.6415,50,5.92368,3.88354,-127.59349,-3.32569,-8.58977,21.91276,-22.41283,HP,LEX_LEG,HighPoint,Independent,ATL,20250517-HighPoint-1,b7587720-336f-11f0-9782-5ff776a33148,87.34403,,,6.13283,,,,,,,41dcbd49-865d-496c-a2f6-70eb0e5d7871,2025-05-17,22:38:56.25,2025-05-17T18:38:56.2556928-04:00,2025-05-17T22:38:56.2556928Z,,v3,5431,495,,"Mirabal, Isaiah",1000242322,Right,HP,c03fec63-3a26-4366-99da-ad569e09cb01,54.79411,-128.41418,10.95638,6.03252,-2.48627,-11.20642,-1.79297,4.20525,-4.29488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-17,18:39:10.13,3,3,"Solter, Matt",668605,Right,HP,"Terry, Curtis",663799,Right,LEX_LEG,Undefined,1,Top,2,2,0,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,91.78381,-0.918,-2.78427,2245.382786,247.851152,2:15,6.10946,1.7208,5.58853,-25.99222,7.01796,15.10304,3.08514,0.37743,85.34532,-5.687458,-0.090371,0.413519,78.78561,34.219711,-15.532722,3677.485618,105.97849,61.07525,-29.47062,289.23307,283.94286,-15.752509,4.424106,-8.35378,4.02677,-1.49196,50,6.01336,5.83307,-133.42407,-3.10498,-15.328,23.89748,-24.78553,HP,LEX_LEG,HighPoint,Independent,ATL,20250517-HighPoint-1,bf9561f0-336f-11f0-9782-5ff776a33148,91.15046,68.49822,,6.43849,,,,1.8943,3.13664,-0.36399,41dcbd49-865d-496c-a2f6-70eb0e5d7871,2025-05-17,22:39:10.13,2025-05-17T18:39:10.1342208-04:00,2025-05-17T22:39:10.1342208Z,FlyBall,v3,5431,495,,"Mirabal, Isaiah",1000242322,Right,HP,b8ba991c-fd76-44ac-8d6e-505c215ef411,54.91429,-134.30138,11.94874,6.11065,-2.19507,-12.39277,-1.71643,6.39578,-7.664,179.390539,1.89646,92.00319,-16.41086,4.09894,-0.50426,-0.07023,0.04096,-0.0063,0.00034,3.13499,65.01857,-17.65394,0.8214,-0.02786,-0.0376,0.02154,-0.00453,0.00032,-0.36455,-25.57214,4.45474,-1.135,0.14763,0.01579,-0.01053,0.00166,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-05-17,18:41:29.30,1,1,"Castillo, Wilton",696063,Right,LEX_LEG,"Viera, Max",1000098712,Left,HP,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.93719,-1.903408,-3.648311,2096.102539,223.975092,1:30,6.34646,2.34744,5.96755,-18.97623,12.57867,11.1969,2.99609,-0.10667,86.15447,-5.464861,-1.640797,0.404301,83.22893,4.441518,174.991189,,,,,95.30298,39.85807,177.435297,0.870887,-6.75863,7.27237,-2.06437,50,6.18469,8.20415,-136.24312,-5.16481,-12.75083,28.89084,-18.45401,HP,LEX_LEG,HighPoint,Independent,ATL,20250517-HighPoint-1,12875c60-3370-11f0-9782-5ff776a33148,93.22867,4.41403,,7.78272,,,,1.45844,2.94681,0.15585,41dcbd49-865d-496c-a2f6-70eb0e5d7871,2025-05-17,22:41:29.30,2025-05-17T18:41:29.3048320-04:00,2025-05-17T22:41:29.3048320Z,GroundBall,v3,5431,495,,"Burgess, Colin",689878,Right,LEX_LEG,7ed01698-8259-46f9-a683-754e057ef735,54.53296,-137.20098,14.44542,6.34578,-4.55297,-9.227,-2.34338,8.6269,-6.37542,256.91521,1.41552,-120.56875,11.09936,,,,,,,2.97015,9.09319,-14.38659,,,,,,,0.19499,10.01219,-6.17778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
9,2025-05-17,18:41:42.12,1,2,"Castillo, Wilton",696063,Right,LEX_LEG,"Viera, Max",1000098712,Left,HP,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.02334,-1.624179,-3.147242,2182.70986,216.635544,1:15,6.45348,2.12537,5.63536,-17.93753,14.8228,10.22186,3.44069,0.03797,84.73459,-5.000335,-1.324814,0.411951,,,,,,,,,,,,-6.11221,8.31099,-1.86432,50,6.30389,6.95495,-134.84016,-4.4301,-11.22094,30.10473,-16.91652,HP,LEX_LEG,HighPoint,Independent,ATL,20250517-HighPoint-1,1a2c25e0-3370-11f0-9782-5ff776a33148,91.4974,,,8.28875,,,,,,,41dcbd49-865d-496c-a2f6-70eb0e5d7871,2025-05-17,22:41:42.12,2025-05-17T18:41:42.1274112-04:00,2025-05-17T22:41:42.1274112Z,,v3,5431,495,,"Burgess, Colin",689878,Right,LEX_LEG,1f1260bd-f665-4bec-96e8-5c135a7816ff,54.86405,-135.92178,15.05237,6.45214,-3.82231,-8.45826,-2.12144,7.3581,-5.61047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-17,18:42:00.60,1,3,"Castillo, Wilton",696063,Right,LEX_LEG,"Viera, Max",1000098712,Left,HP,Undefined,1,Bottom,0,0,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.24449,-0.812056,-2.620993,2091.123662,39.491624,7:15,6.35271,2.37637,6.27565,-36.10581,0.86221,-0.21224,2.59452,-0.05901,79.41032,-7.493118,-2.659365,0.437607,87.63351,37.604527,48.525199,4379.105401,69.26436,80.4399,85.45403,293.0113,125.3537,55.223359,5.347404,-0.61067,0.99638,-2.18257,50,6.27514,5.74426,-125.30756,-2.94029,-0.97193,25.08471,-30.58824,HP,LEX_LEG,HighPoint,Independent,ATL,20250517-HighPoint-1,2539bce0-3370-11f0-9782-5ff776a33148,86.13304,98.80145,,6.83417,,,,1.3694,3.12965,-0.29615,41dcbd49-865d-496c-a2f6-70eb0e5d7871,2025-05-17,22:42:00.60,2025-05-17T18:42:00.6062080-04:00,2025-05-17T22:42:00.6062080Z,FlyBall,v3,5431,495,,"Burgess, Colin",689878,Right,LEX_LEG,3509ad72-a2b9-4086-88b8-ce4277894b4f,54.22498,-126.1505,12.54236,6.35668,-1.9124,-15.29412,-2.37615,5.77692,-0.48596,198.506427,1.3732,67.36121,-19.0313,5.02689,-0.89031,0.08033,0.00189,-0.00098,6E-05,3.12674,78.47873,-17.24574,0.2662,0.21623,-0.10258,0.02702,-0.00366,0.00019,-0.29298,76.23105,-14.44482,3.21214,-0.43637,0.00751,0.00811,-0.00114,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
