GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,1,3d6ac360-3661-11f0-8790-e5188fbbb27c,32f2f58a-5a17-43ab-94a3-87531269d9af,2025-05-21,12:32:51.52,2025-05-21,16:32:51.52,2025-05-21T12:32:51.5206656-04:00,2025-05-21T16:32:51.5206656Z,GAS,LEX_LEG,BallCalled,Undefined,NoShift,85.46341,66.85656,143.2217,49.48,80.5385,-52.15721,142.03067,-31.73135,242.93922,-117.98352,338.73601,9.93581,274.85104,150.08466,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,2,452a8ef0-3661-11f0-8790-e5188fbbb27c,bc8530b5-a01f-471c-bc06-438cc62edea6,2025-05-21,12:33:04.49,2025-05-21,16:33:04.49,2025-05-21T12:33:04.4966912-04:00,2025-05-21T16:33:04.4966912Z,GAS,LEX_LEG,StrikeCalled,Undefined,NoShift,85.16715,66.97721,142.57656,49.26953,78.71348,-53.77035,142.96844,-31.01701,248.26126,-114.78406,336.9032,8.50341,276.98176,149.32697,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,3,4d8f7420-3661-11f0-8790-e5188fbbb27c,11c6eb1f-5fd0-41af-af42-887da34f5159,2025-05-21,12:33:18.45,2025-05-21,16:33:18.45,2025-05-21T12:33:18.4560640-04:00,2025-05-21T16:33:18.4560640Z,GAS,LEX_LEG,InPlay,Out,NoShift,86.75103,67.98212,141.70814,49.21006,79.39125,-54.78204,143.72164,-30.82415,250.7368,-114.84746,337.94403,9.28903,276.89484,150.34007,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,4,623ae580-3661-11f0-8790-e5188fbbb27c,a92f03fe-8e48-44f2-8bb3-1db308991ecc,2025-05-21,12:33:53.29,2025-05-21,16:33:53.29,2025-05-21T12:33:53.2979712-04:00,2025-05-21T16:33:53.2979712Z,GAS,LEX_LEG,StrikeCalled,Undefined,NoShift,92.76362,57.20598,155.81071,15.85045,94.53109,-74.43672,135.08693,-49.00696,257.08997,-118.06315,348.16238,13.52452,282.4561,146.33737,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,5,6c08f7a0-3661-11f0-8790-e5188fbbb27c,7d46fc77-9326-457a-9896-8b5ecc93a666,2025-05-21,12:34:09.59,2025-05-21,16:34:09.59,2025-05-21T12:34:09.5967232-04:00,2025-05-21T16:34:09.5967232Z,GAS,LEX_LEG,FoulBallNotFieldable,Undefined,NoShift,89.77616,55.3309,154.27087,14.13619,94.89662,-74.31634,133.75958,-49.7138,255.90906,-117.72753,340.80813,13.37068,288.42145,148.15078,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,6,77a67290-3661-11f0-8790-e5188fbbb27c,1f6c5e56-f414-4135-b058-e983477f7b1d,2025-05-21,12:34:29.09,2025-05-21,16:34:29.09,2025-05-21T12:34:29.0930176-04:00,2025-05-21T16:34:29.0930176Z,GAS,LEX_LEG,BallCalled,Undefined,NoShift,90.39578,55.17347,153.8775,14.62852,94.64734,-76.4904,134.22669,-50.8063,257.82548,-122.8247,350.61451,12.67012,288.76537,147.9043,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,7,803c04b0-3661-11f0-8790-e5188fbbb27c,908c8d40-92b2-45fe-8ef8-037f2b82664a,2025-05-21,12:34:43.45,2025-05-21,16:34:43.45,2025-05-21T12:34:43.4596352-04:00,2025-05-21T16:34:43.4596352Z,GAS,LEX_LEG,FoulBallNotFieldable,Undefined,NoShift,91.01951,55.71242,154.77313,13.24114,93.32976,-76.89168,133.32775,-51.24768,253.4523,-120.93175,350.90848,12.32464,290.12265,148.37589,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,8,8d82e9e0-3661-11f0-8790-e5188fbbb27c,06999040-0fad-49df-9253-8a70854a408a,2025-05-21,12:35:05.73,2025-05-21,16:35:05.73,2025-05-21T12:35:05.7352192-04:00,2025-05-21T16:35:05.7352192Z,GAS,LEX_LEG,FoulBallNotFieldable,Undefined,NoShift,91.55193,55.56596,155.62419,13.47882,93.16122,-78.16171,134.5216,-50.51969,249.70739,-125.05558,346.7515,11.14713,285.45457,144.72787,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,9,98949f90-3661-11f0-8790-e5188fbbb27c,7f06dc85-e1b3-4491-bccb-25e4e9f3b389,2025-05-21,12:35:24.31,2025-05-21,16:35:24.31,2025-05-21T12:35:24.3138048-04:00,2025-05-21T16:35:24.3138048Z,GAS,LEX_LEG,FoulBallNotFieldable,Undefined,NoShift,91.54415,56.84647,155.21679,14.13673,92.37084,-77.36275,133.83067,-51.1214,254.07217,-122.98163,345.65277,12.02088,289.24199,146.58871,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,10,a658f220-3661-11f0-8790-e5188fbbb27c,fa734443-53b2-4620-98ff-373a8e6617c7,2025-05-21,12:35:47.41,2025-05-21,16:35:47.41,2025-05-21T12:35:47.4147328-04:00,2025-05-21T16:35:47.4147328Z,GAS,LEX_LEG,BallCalled,Undefined,NoShift,90.67242,55.17797,156.40186,14.45817,93.15019,-77.49877,134.4915,-52.08418,253.35791,-126.81948,343.05991,11.18715,291.45575,146.80015,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,11,b063bf20-3661-11f0-8790-e5188fbbb27c,818051ae-5737-4823-bdb1-9f943aa208cb,2025-05-21,12:36:04.24,2025-05-21,16:36:04.24,2025-05-21T12:36:04.2492416-04:00,2025-05-21T16:36:04.2492416Z,GAS,LEX_LEG,BallCalled,Undefined,NoShift,91.54986,55.5738,156.42179,15.09271,91.76537,-78.32429,134.41276,-51.06776,246.92282,-125.5707,345.26715,12.17709,288.04034,144.71597,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
9536bc1c-b251-4c04-a5e4-9f8ba39cbc66,12,ba283450-3661-11f0-8790-e5188fbbb27c,454cf46e-8dfc-45d2-a414-f4aacd2ed5be,2025-05-21,12:36:20.65,2025-05-21,16:36:20.65,2025-05-21T12:36:20.6573056-04:00,2025-05-21T16:36:20.6573056Z,GAS,LEX_LEG,InPlay,Double,NoShift,91.51307,54.94953,155.11118,15.2928,93.91254,-77.73088,134.3256,-50.74796,248.03167,-126.12776,337.5376,12.42182,289.25807,145.86332,"Watson, Kevin",675982,"Wylie, Justin",687045,"Guthrie, Dalton",656495,"Reinheimer, Jack",595373,"Roederer, Cole",680711,"Crook, Narciso",643271,"De La Rosa, Eric",680763,true
