GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
148c6cb5-dbae-48e3-ade8-8ce29ce3e959,1,68326c00-3694-11f0-8588-19e3553c12b0,28b8f609-2e09-407c-a86a-8df9ea8b4edb,2025-05-21,18:39:07.10,2025-05-21,22:39:07.10,2025-05-21T18:39:07.1060992-04:00,2025-05-21T22:39:07.1060992Z,YOR,SMD,FoulBallNotFieldable,Undefined,NoShift,88.59256,54.26728,149.95188,29.15076,75.67935,-56.53701,139.94602,-48.12873,245.14648,-127.0039,307.6392,6.89505,249.12588,119.10659,"Tostado, Frankie",676762,"Miller, Jalen",663692,"Lewis, Brandon",686781,"Wehler, Jeffrey",694292,"Costes, Marty",664753,"Soularie, Alerick",669442,"Alleyne, Bubba",804588,true
148c6cb5-dbae-48e3-ade8-8ce29ce3e959,2,729c7000-3694-11f0-8588-19e3553c12b0,405ddaee-3eac-47cf-9795-12b5f9c8a958,2025-05-21,18:39:24.54,2025-05-21,22:39:24.54,2025-05-21T18:39:24.5401088-04:00,2025-05-21T22:39:24.5401088Z,YOR,SMD,StrikeSwinging,Undefined,NoShift,89.58522,55.34261,149.93276,29.55121,83.73733,-63.3281,138.75939,-47.25966,242.4594,-126.69988,306.7318,5.16441,249.41855,121.0449,"Tostado, Frankie",676762,"Miller, Jalen",663692,"Lewis, Brandon",686781,"Wehler, Jeffrey",694292,"Costes, Marty",664753,"Soularie, Alerick",669442,"Alleyne, Bubba",804588,true
148c6cb5-dbae-48e3-ade8-8ce29ce3e959,3,7f9646a0-3694-11f0-8588-19e3553c12b0,9fa3fbdb-fa8c-4b84-85dc-24c586976ecb,2025-05-21,18:39:46.33,2025-05-21,22:39:46.33,2025-05-21T18:39:46.3358464-04:00,2025-05-21T22:39:46.3358464Z,YOR,SMD,FoulBallNotFieldable,Undefined,NoShift,90.40251,55.13092,149.88529,29.86691,90.54879,-69.42412,138.4974,-46.92276,242.69983,-125.6715,311.23556,5.13663,249.96604,119.8366,"Tostado, Frankie",676762,"Miller, Jalen",663692,"Lewis, Brandon",686781,"Wehler, Jeffrey",694292,"Costes, Marty",664753,"Soularie, Alerick",669442,"Alleyne, Bubba",804588,true
148c6cb5-dbae-48e3-ade8-8ce29ce3e959,4,8b45c2f0-3694-11f0-8588-19e3553c12b0,54ad742b-a480-4105-8788-637ff2b5cb35,2025-05-21,18:40:05.87,2025-05-21,22:40:05.87,2025-05-21T18:40:05.8703360-04:00,2025-05-21T22:40:05.8703360Z,YOR,SMD,BallCalled,Undefined,NoShift,89.19928,56.83892,150.09973,29.11343,91.58676,-69.62278,138.63512,-47.41613,242.30705,-125.1854,308.9507,13.02674,244.72448,125.24613,"Tostado, Frankie",676762,"Miller, Jalen",663692,"Lewis, Brandon",686781,"Wehler, Jeffrey",694292,"Costes, Marty",664753,"Soularie, Alerick",669442,"Alleyne, Bubba",804588,true
148c6cb5-dbae-48e3-ade8-8ce29ce3e959,5,94779510-3694-11f0-8588-19e3553c12b0,031e1acd-3576-4318-8958-5c086b68b73f,2025-05-21,18:40:21.31,2025-05-21,22:40:21.31,2025-05-21T18:40:21.3138944-04:00,2025-05-21T22:40:21.3138944Z,YOR,SMD,BallCalled,Undefined,NoShift,90.60931,56.51183,150.21105,29.26837,91.25193,-69.66377,138.55685,-47.55408,242.27986,-124.41824,310.92947,13.41878,246.58695,122.42011,"Tostado, Frankie",676762,"Miller, Jalen",663692,"Lewis, Brandon",686781,"Wehler, Jeffrey",694292,"Costes, Marty",664753,"Soularie, Alerick",669442,"Alleyne, Bubba",804588,true
148c6cb5-dbae-48e3-ade8-8ce29ce3e959,6,9eb92980-3694-11f0-8588-19e3553c12b0,5536fbdf-7f5e-4b26-b6f6-1855dc6b13b3,2025-05-21,18:40:38.56,2025-05-21,22:40:38.56,2025-05-21T18:40:38.5662464-04:00,2025-05-21T22:40:38.5662464Z,YOR,SMD,FoulBallNotFieldable,Undefined,NoShift,90.85361,57.47989,150.40322,28.79519,91.54628,-69.74922,138.58927,-47.0915,241.75026,-124.28624,310.80701,14.0323,244.52986,121.84035,"Tostado, Frankie",676762,"Miller, Jalen",663692,"Lewis, Brandon",686781,"Wehler, Jeffrey",694292,"Costes, Marty",664753,"Soularie, Alerick",669442,"Alleyne, Bubba",804588,true
148c6cb5-dbae-48e3-ade8-8ce29ce3e959,7,ab44adf0-3694-11f0-8588-19e3553c12b0,10deb90e-e634-4b55-8e64-d98faadf5f75,2025-05-21,18:40:59.58,2025-05-21,22:40:59.58,2025-05-21T18:40:59.5817984-04:00,2025-05-21T22:40:59.5817984Z,YOR,SMD,InPlay,Out,NoShift,92.87766,56.88968,150.1481,28.67962,91.42535,-69.66784,137.35074,-46.53719,237.04823,-125.18897,312.10948,13.0762,244.7996,122.10886,"Tostado, Frankie",676762,"Miller, Jalen",663692,"Lewis, Brandon",686781,"Wehler, Jeffrey",694292,"Costes, Marty",664753,"Soularie, Alerick",669442,"Alleyne, Bubba",804588,true
148c6cb5-dbae-48e3-ade8-8ce29ce3e959,8,bd1ab830-3694-11f0-8588-19e3553c12b0,bb3cbf4c-218f-4b8e-9e5b-0732a4ce99df,2025-05-21,18:41:29.52,2025-05-21,22:41:29.52,2025-05-21T18:41:29.5225344-04:00,2025-05-21T22:41:29.5225344Z,YOR,SMD,BallCalled,Undefined,NoShift,93.35003,73.85795,146.90923,39.32688,73.86493,-49.16222,149.57836,-27.09243,236.78686,-129.86021,307.95076,4.67561,259.32016,116.12963,"Tostado, Frankie",676762,"Miller, Jalen",663692,"Lewis, Brandon",686781,"Wehler, Jeffrey",694292,"Costes, Marty",664753,"Soularie, Alerick",669442,"Alleyne, Bubba",804588,true
148c6cb5-dbae-48e3-ade8-8ce29ce3e959,9,c66bf930-3694-11f0-8588-19e3553c12b0,59846044-a88d-4114-a788-ad3f287930b6,2025-05-21,18:41:45.15,2025-05-21,22:41:45.15,2025-05-21T18:41:45.1517440-04:00,2025-05-21T22:41:45.1517440Z,YOR,SMD,InPlay,Out,NoShift,93.66169,73.14008,147.06347,39.11655,74.49124,-49.59876,148.79218,-27.2033,240.64868,-132.50602,307.82544,4.47107,252.39599,113.93482,"Tostado, Frankie",676762,"Miller, Jalen",663692,"Lewis, Brandon",686781,"Wehler, Jeffrey",694292,"Costes, Marty",664753,"Soularie, Alerick",669442,"Alleyne, Bubba",804588,true
148c6cb5-dbae-48e3-ade8-8ce29ce3e959,10,dcd6cdd0-3694-11f0-8588-19e3553c12b0,87315be7-04a1-41e9-ab13-551cdb2284c3,2025-05-21,18:42:22.80,2025-05-21,22:42:22.80,2025-05-21T18:42:22.8093440-04:00,2025-05-21T22:42:22.8093440Z,YOR,SMD,BallCalled,Undefined,NoShift,91.28533,55.28664,151.09149,26.88222,95.2785,-73.10078,135.61326,-54.64266,240.33858,-130.51349,310.46428,-2.32301,252.80296,120.20635,"Tostado, Frankie",676762,"Miller, Jalen",663692,"Lewis, Brandon",686781,"Wehler, Jeffrey",694292,"Costes, Marty",664753,"Soularie, Alerick",669442,"Alleyne, Bubba",804588,true
