GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
727a9e5a-135d-4e60-8124-ea9f00883da8,1,de9c0050-3cdd-11f0-92f3-7b78a01de5db,a94fa30d-ba11-4a06-93fb-f9ec80976445,2025-05-29,18:40:06.13,2025-05-29,22:40:06.13,2025-05-29T18:40:06.1390336-04:00,2025-05-29T22:40:06.1390336Z,WES_POW,HP,BallCalled,Undefined,NoShift,94.3914,54.67131,152.18707,32.54035,91.9913,-68.68085,142.19335,-42.07709,260.74982,-136.23427,314.40114,-11.09214,253.73403,115.25398,"Sedio, Chad",670466,"Womack, Alsander",703920,"Blackwell, Benjamin",701295,"Rosa, Joseph",660563,"Nelson, James",663445,"Daniels, Zach ",671113,"Demeritte, Travis",641513,true
727a9e5a-135d-4e60-8124-ea9f00883da8,2,e5914ff0-3cdd-11f0-92f3-7b78a01de5db,5af8790a-d2a5-4a5f-a689-62eaa80ff404,2025-05-29,18:40:17.83,2025-05-29,22:40:17.83,2025-05-29T18:40:17.8337792-04:00,2025-05-29T22:40:17.8337792Z,WES_POW,HP,BallCalled,Undefined,NoShift,93.01832,55.00428,151.69022,33.66638,94.05057,-71.14595,141.24159,-42.389,262.30567,-138.48677,314.77992,-10.33302,244.95431,119.86376,"Sedio, Chad",670466,"Womack, Alsander",703920,"Blackwell, Benjamin",701295,"Rosa, Joseph",660563,"Nelson, James",663445,"Daniels, Zach ",671113,"Demeritte, Travis",641513,true
727a9e5a-135d-4e60-8124-ea9f00883da8,3,eba23300-3cdd-11f0-92f3-7b78a01de5db,848ee2ca-bc69-45a0-aa0c-0429434b8e98,2025-05-29,18:40:28.00,2025-05-29,22:40:28.00,2025-05-29T18:40:28.0068096-04:00,2025-05-29T22:40:28.0068096Z,WES_POW,HP,FoulBallNotFieldable,Undefined,NoShift,93.04025,54.39592,150.48113,33.41586,96.52836,-72.83421,140.38035,-42.18188,262.55165,-137.90458,313.17815,-10.60946,250.16177,122.07598,"Sedio, Chad",670466,"Womack, Alsander",703920,"Blackwell, Benjamin",701295,"Rosa, Joseph",660563,"Nelson, James",663445,"Daniels, Zach ",671113,"Demeritte, Travis",641513,true
727a9e5a-135d-4e60-8124-ea9f00883da8,4,f4c44db0-3cdd-11f0-92f3-7b78a01de5db,cf5da99a-69a8-42a8-b132-c96145fe3e3d,2025-05-29,18:40:43.36,2025-05-29,22:40:43.36,2025-05-29T18:40:43.3684992-04:00,2025-05-29T22:40:43.3684992Z,WES_POW,HP,StrikeCalled,Undefined,NoShift,94.43079,54.76628,150.48785,33.22422,97.45116,-74.61793,141.19892,-42.57946,260.94909,-137.1741,315.68339,-11.74824,247.90819,121.50866,"Sedio, Chad",670466,"Womack, Alsander",703920,"Blackwell, Benjamin",701295,"Rosa, Joseph",660563,"Nelson, James",663445,"Daniels, Zach ",671113,"Demeritte, Travis",641513,true
727a9e5a-135d-4e60-8124-ea9f00883da8,5,fb2573a0-3cdd-11f0-92f3-7b78a01de5db,b98f4340-a310-4115-bbf9-7f6f78792caf,2025-05-29,18:40:53.94,2025-05-29,22:40:53.94,2025-05-29T18:40:53.9401728-04:00,2025-05-29T22:40:53.9401728Z,WES_POW,HP,InPlay,Out,NoShift,97.59792,56.5522,151.90317,33.45989,98.24291,-75.83096,141.89877,-43.1342,263.77499,-138.59665,313.56753,-11.9119,252.18759,123.41427,"Sedio, Chad",670466,"Womack, Alsander",703920,"Blackwell, Benjamin",701295,"Rosa, Joseph",660563,"Nelson, James",663445,"Daniels, Zach ",671113,"Demeritte, Travis",641513,true
727a9e5a-135d-4e60-8124-ea9f00883da8,6,0ef09720-3cde-11f0-92f3-7b78a01de5db,16774b06-0860-4a38-99c2-1994a8e8b1f1,2025-05-29,18:41:27.21,2025-05-29,22:41:27.21,2025-05-29T18:41:27.2153600-04:00,2025-05-29T22:41:27.2153600Z,WES_POW,HP,BallCalled,Undefined,NoShift,96.63649,75.21887,145.03535,49.42365,78.71815,-44.60064,147.50751,-20.2158,277.275,-139.69827,323.94957,-10.52792,252.48491,145.81835,"Sedio, Chad",670466,"Womack, Alsander",703920,"Blackwell, Benjamin",701295,"Rosa, Joseph",660563,"Nelson, James",663445,"Daniels, Zach ",671113,"Demeritte, Travis",641513,true
727a9e5a-135d-4e60-8124-ea9f00883da8,7,19389430-3cde-11f0-92f3-7b78a01de5db,4efd321c-7e59-44fc-a26f-e98f68060a0e,2025-05-29,18:41:44.64,2025-05-29,22:41:44.64,2025-05-29T18:41:44.6464512-04:00,2025-05-29T22:41:44.6464512Z,WES_POW,HP,BallCalled,Undefined,NoShift,95.53664,74.68047,144.7286,49.78234,81.01069,-45.99863,150.46203,-21.24867,279.1131,-140.7335,325.71451,-10.73444,252.23215,144.31721,"Sedio, Chad",670466,"Womack, Alsander",703920,"Blackwell, Benjamin",701295,"Rosa, Joseph",660563,"Nelson, James",663445,"Daniels, Zach ",671113,"Demeritte, Travis",641513,true
727a9e5a-135d-4e60-8124-ea9f00883da8,8,22644bd0-3cde-11f0-92f3-7b78a01de5db,db1c1141-a085-4ac5-996f-8a586f7cfe57,2025-05-29,18:42:00.06,2025-05-29,22:42:00.06,2025-05-29T18:42:00.0631808-04:00,2025-05-29T22:42:00.0631808Z,WES_POW,HP,StrikeCalled,Undefined,NoShift,94.28833,72.65475,144.41985,49.78415,93.02228,-49.88144,147.03381,-21.04463,280.79543,-141.6512,325.49186,-10.93829,251.06897,143.91709,"Sedio, Chad",670466,"Womack, Alsander",703920,"Blackwell, Benjamin",701295,"Rosa, Joseph",660563,"Nelson, James",663445,"Daniels, Zach ",671113,"Demeritte, Travis",641513,true
727a9e5a-135d-4e60-8124-ea9f00883da8,9,2b9819c0-3cde-11f0-92f3-7b78a01de5db,c57ac184-fcb2-4c96-bec3-9ea5667fb33f,2025-05-29,18:42:15.33,2025-05-29,22:42:15.33,2025-05-29T18:42:15.3395200-04:00,2025-05-29T22:42:15.3395200Z,WES_POW,HP,FoulBallNotFieldable,Undefined,NoShift,93.85053,73.05099,143.26295,49.4248,94.36443,-49.28431,148.86052,-21.39584,280.75949,-142.33201,327.19141,-11.54964,252.63224,145.00027,"Sedio, Chad",670466,"Womack, Alsander",703920,"Blackwell, Benjamin",701295,"Rosa, Joseph",660563,"Nelson, James",663445,"Daniels, Zach ",671113,"Demeritte, Travis",641513,true
727a9e5a-135d-4e60-8124-ea9f00883da8,10,3b847c70-3cde-11f0-92f3-7b78a01de5db,7ff23f57-94fe-44fe-92d8-3f52cf34c7fa,2025-05-29,18:42:42.07,2025-05-29,22:42:42.07,2025-05-29T18:42:42.0704256-04:00,2025-05-29T22:42:42.0704256Z,WES_POW,HP,InPlay,Out,NoShift,92.0379,73.3861,144.99085,50.04644,116.87146,-56.39626,149.241,-18.60582,275.35499,-140.66497,325.37261,-10.99837,251.58309,143.58788,"Sedio, Chad",670466,"Womack, Alsander",703920,"Blackwell, Benjamin",701295,"Rosa, Joseph",660563,"Nelson, James",663445,"Daniels, Zach ",671113,"Demeritte, Travis",641513,true
