GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
3ffb4ba9-a0ab-4f89-82ce-583a767d0db6,1,59ae2890-40cb-11f0-9773-19b83fe6bb59,21161ee3-b9c7-4ddd-916b-11f6550f0dfd,2025-06-03,18:37:35.90,2025-06-03,22:37:35.90,2025-06-03T18:37:35.9058432-04:00,2025-06-03T22:37:35.9058432Z,HP,WES_POW,StrikeCalled,Undefined,NoShift,101.07875,63.57692,148.9036,37.83326,84.99782,-59.26602,148.07497,-49.01611,279.98195,-139.41206,310.43254,-8.86223,240.86173,141.40413,"Mendoza, Drew",666141,"Burt, D.J.",656274,"Viera, Max",1000098712,"Brewer, Aidan",1000132240,"Aklinski, Ben",679701,"Wilson, Cody",680963,"Gonzalez, Luis",8894175,true
3ffb4ba9-a0ab-4f89-82ce-583a767d0db6,2,5fe24b10-40cb-11f0-9773-19b83fe6bb59,af32af39-eb22-4583-9ef1-4b70bcd4946b,2025-06-03,18:37:47.18,2025-06-03,22:37:47.18,2025-06-03T18:37:47.1867904-04:00,2025-06-03T22:37:47.1867904Z,HP,WES_POW,StrikeCalled,Undefined,NoShift,98.64102,63.6141,147.02621,37.59006,88.31891,-64.02432,143.48753,-47.22872,280.42267,-140.70487,313.10675,-7.19586,242.47367,140.67989,"Mendoza, Drew",666141,"Burt, D.J.",656274,"Viera, Max",1000098712,"Brewer, Aidan",1000132240,"Aklinski, Ben",679701,"Wilson, Cody",680963,"Gonzalez, Luis",8894175,true
3ffb4ba9-a0ab-4f89-82ce-583a767d0db6,3,695ee1d0-40cb-11f0-9773-19b83fe6bb59,f68aae18-54df-462a-9744-3d4f67f47d3e,2025-06-03,18:38:03.10,2025-06-03,22:38:03.10,2025-06-03T18:38:03.1081984-04:00,2025-06-03T22:38:03.1081984Z,HP,WES_POW,BallCalled,Undefined,NoShift,98.5366,63.12672,146.75246,37.78614,92.81244,-68.80745,144.38308,-47.17645,278.72713,-138.64598,313.56153,-3.90588,239.01009,142.02311,"Mendoza, Drew",666141,"Burt, D.J.",656274,"Viera, Max",1000098712,"Brewer, Aidan",1000132240,"Aklinski, Ben",679701,"Wilson, Cody",680963,"Gonzalez, Luis",8894175,true
3ffb4ba9-a0ab-4f89-82ce-583a767d0db6,4,6fb22510-40cb-11f0-9773-19b83fe6bb59,a9feeb62-578d-4926-b825-9d5178c6693f,2025-06-03,18:38:13.68,2025-06-03,22:38:13.68,2025-06-03T18:38:13.6884736-04:00,2025-06-03T22:38:13.6884736Z,HP,WES_POW,FoulBallNotFieldable,Undefined,NoShift,98.75086,63.37173,146.87197,38.74991,92.25307,-69.55568,144.2453,-47.39014,282.12944,-140.65515,313.50574,-2.79321,240.5246,142.57536,"Mendoza, Drew",666141,"Burt, D.J.",656274,"Viera, Max",1000098712,"Brewer, Aidan",1000132240,"Aklinski, Ben",679701,"Wilson, Cody",680963,"Gonzalez, Luis",8894175,true
3ffb4ba9-a0ab-4f89-82ce-583a767d0db6,5,7882c460-40cb-11f0-9773-19b83fe6bb59,40820b3a-2696-489a-a7fd-806c35ab5835,2025-06-03,18:38:28.57,2025-06-03,22:38:28.57,2025-06-03T18:38:28.5708288-04:00,2025-06-03T22:38:28.5708288Z,HP,WES_POW,InPlay,Single,NoShift,98.62483,64.49963,147.05209,40.94639,92.33298,-70.00658,143.6913,-47.46937,282.34787,-140.01149,308.78093,12.39772,236.10961,143.59872,"Mendoza, Drew",666141,"Burt, D.J.",656274,"Viera, Max",1000098712,"Brewer, Aidan",1000132240,"Aklinski, Ben",679701,"Wilson, Cody",680963,"Gonzalez, Luis",8894175,true
3ffb4ba9-a0ab-4f89-82ce-583a767d0db6,6,8ae68fb0-40cb-11f0-9773-19b83fe6bb59,037ceadd-0331-4723-b60f-dc994fa0bf6b,2025-06-03,18:38:59.17,2025-06-03,22:38:59.17,2025-06-03T18:38:59.1730176-04:00,2025-06-03T22:38:59.1730176Z,HP,WES_POW,StrikeCalled,Undefined,NoShift,62.43628,57.88349,136.62553,30.4489,84.0888,-60.05255,139.05163,-38.21185,285.46901,-127.5628,309.15844,15.48015,237.97867,148.14848,"Mendoza, Drew",666141,"Burt, D.J.",656274,"Viera, Max",1000098712,"Brewer, Aidan",1000132240,"Aklinski, Ben",679701,"Wilson, Cody",680963,"Gonzalez, Luis",8894175,true
3ffb4ba9-a0ab-4f89-82ce-583a767d0db6,7,9653abd0-40cb-11f0-9773-19b83fe6bb59,ae404b7d-7a9b-4014-9679-636499dcea0f,2025-06-03,18:39:18.48,2025-06-03,22:39:18.48,2025-06-03T18:39:18.4858112-04:00,2025-06-03T22:39:18.4858112Z,HP,WES_POW,BallCalled,Undefined,NoShift,63.05637,57.98334,135.23606,28.90824,87.52947,-64.10915,137.99053,-37.85859,283.36803,-122.3084,308.94693,19.26564,233.56523,147.22134,"Mendoza, Drew",666141,"Burt, D.J.",656274,"Viera, Max",1000098712,"Brewer, Aidan",1000132240,"Aklinski, Ben",679701,"Wilson, Cody",680963,"Gonzalez, Luis",8894175,true
3ffb4ba9-a0ab-4f89-82ce-583a767d0db6,8,a2250800-40cb-11f0-9773-19b83fe6bb59,94d0fc0f-bc3c-4347-a381-5b442a6387f3,2025-06-03,18:39:38.28,2025-06-03,22:39:38.28,2025-06-03T18:39:38.2886400-04:00,2025-06-03T22:39:38.2886400Z,HP,WES_POW,FoulBallNotFieldable,Undefined,NoShift,62.21871,58.05601,140.82513,29.18063,88.79558,-66.05077,137.98885,-37.41445,286.24375,-121.41439,305.99103,18.55171,234.70481,147.91565,"Mendoza, Drew",666141,"Burt, D.J.",656274,"Viera, Max",1000098712,"Brewer, Aidan",1000132240,"Aklinski, Ben",679701,"Wilson, Cody",680963,"Gonzalez, Luis",8894175,true
3ffb4ba9-a0ab-4f89-82ce-583a767d0db6,9,bf34e960-40cb-11f0-9773-19b83fe6bb59,0e51bacc-71f6-41ee-a383-38d818e6c3df,2025-06-03,18:40:27.07,2025-06-03,22:40:27.07,2025-06-03T18:40:27.0760000-04:00,2025-06-03T22:40:27.0760000Z,HP,WES_POW,BallCalled,Undefined,NoShift,62.69597,58.28113,133.46051,26.32452,88.84921,-65.82176,135.8244,-36.33414,285.07424,-118.67418,308.70167,18.15933,234.76792,143.7366,"Mendoza, Drew",666141,"Burt, D.J.",656274,"Viera, Max",1000098712,"Brewer, Aidan",1000132240,"Aklinski, Ben",679701,"Wilson, Cody",680963,"Gonzalez, Luis",8894175,true
3ffb4ba9-a0ab-4f89-82ce-583a767d0db6,10,d36c8a50-40cb-11f0-9773-19b83fe6bb59,1dfbdfd8-d415-4b37-8211-220a588c5e2c,2025-06-03,18:41:01.12,2025-06-03,22:41:01.12,2025-06-03T18:41:01.1212800-04:00,2025-06-03T22:41:01.1212800Z,HP,WES_POW,FoulBallNotFieldable,Undefined,NoShift,98.27174,66.65863,152.28282,19.61396,90.8685,-68.14833,142.59976,-48.28805,278.4214,-115.88609,297.11991,17.36335,234.50331,141.33303,"Mendoza, Drew",666141,"Burt, D.J.",656274,"Viera, Max",1000098712,"Brewer, Aidan",1000132240,"Aklinski, Ben",679701,"Wilson, Cody",680963,"Gonzalez, Luis",8894175,true
