PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-07,18:00:01.09,1,1,"Ferrer, Ben",829343,Right,LEX_LEG,"Miller, Jalen",663692,Right,YOR,Undefined,1,Top,0,0,0,Undefined,Slider,InPlay,Undefined,GroundBall,Out,1,0,,84.45535,-1.467831,-1.044646,2377.568861,169.872027,11:45,5.81104,1.08058,5.41227,-30.04025,9.26481,-1.46524,1.93197,-0.02035,78.60197,-6.955188,-1.305484,0.451228,81.07947,-6.078125,-21.227727,,,,,18.60556,18.42651,-18.333165,0.136906,0.50087,5.32756,-0.98656,50,5.65926,2.2983,-122.7803,-4.19465,0.77612,20.86636,-23.91857,LEX_LEG,YOR,WildHealthField,Independent,ATL,20250607-WildHealthField-1,23df3530-43f3-11f0-93ce-897ea289e98e,83.53311,2.07887,,5.85338,,,,2.83856,2.07887,0.00775,4603d963-8499-4ce3-b479-89efa7ad448f,2025-06-07,23:00:01.09,2025-06-07T18:00:01.0916352-05:00,2025-06-07T23:00:01.0916352Z,GroundBall,v3,495,5435,,"Bates, Austin",1000130823,Right,LEX_LEG,7d214aa6-9880-4b6c-89ab-291730450436,55.09072,-123.64244,10.43318,5.81216,-3.2064,-11.95929,-1.08086,2.26623,0.38806,49.549636,2.83872,110.20857,-14.18584,,,,,,,2.07909,-12.6124,-18.81214,,,,,,,0.00781,-42.82035,0.12093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-06-07,18:00:37.46,2,1,"Ferrer, Ben",829343,Right,LEX_LEG,"Costes, Marty",664753,Right,YOR,Undefined,1,Top,1,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.37165,-1.737548,-2.652454,2365.96039,197.21835,12:30,5.74189,1.01806,5.41686,-27.24809,11.29209,3.17335,1.84123,-1.2041,79.36887,-6.726613,-2.088446,0.446816,,,,,,,,,,,,-2.22291,6.42788,-0.78448,50,5.56823,5.61002,-123.96317,-4.71366,-3.51319,21.14018,-22.01512,LEX_LEG,YOR,WildHealthField,Independent,ATL,20250607-WildHealthField-1,398a1530-43f3-11f0-93ce-897ea289e98e,84.35795,,,6.00279,,,,,,,4603d963-8499-4ce3-b479-89efa7ad448f,2025-06-07,23:00:37.46,2025-06-07T18:00:37.4652928-05:00,2025-06-07T23:00:37.4652928Z,,v3,495,5435,,"Bates, Austin",1000130823,Right,LEX_LEG,91687232-63b9-4b7b-b2c1-03b1893bd825,55.08482,-124.8273,10.57009,5.74251,-3.81376,-11.00756,-1.01673,5.75363,-1.75659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-06-07,18:00:54.72,2,2,"Ferrer, Ben",829343,Right,LEX_LEG,"Costes, Marty",664753,Right,YOR,Undefined,1,Top,1,1,0,Undefined,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,90.22911,-2.358421,-2.27193,2303.209396,216.669886,1:15,5.81595,0.93809,5.23975,-18.5845,16.67942,11.56473,2.04758,-0.23468,82.43261,-5.82765,-0.222487,0.427402,96.6269,33.391146,22.03616,4341.655896,98.71767,66.10768,48.52618,353.39447,334.42035,35.544853,5.247433,-6.43744,9.34516,-0.73815,50,5.58543,4.65906,-130.76773,-6.03113,-11.14272,27.67209,-15.99836,LEX_LEG,YOR,WildHealthField,Independent,ATL,20250607-WildHealthField-1,43d371d0-43f3-11f0-93ce-897ea289e98e,88.18963,91.73484,,7.79649,,,,0.81866,2.06035,0.2734,4603d963-8499-4ce3-b479-89efa7ad448f,2025-06-07,23:00:54.72,2025-06-07T18:00:54.7251712-05:00,2025-06-07T23:00:54.7251712Z,FlyBall,v3,495,5435,,"Bates, Austin",1000130823,Right,LEX_LEG,8c085d32-c1b5-409a-a8ae-8eb920d8af2b,55.2608,-131.87628,13.83604,5.8142,-5.39023,-7.99918,-0.93373,5.10544,-5.57136,215.292071,0.82361,109.59002,-23.9391,5.35362,-0.94914,0.12385,-0.01573,0.00212,-0.00014,2.06016,77.98923,-19.43934,1.22216,0.03637,-0.10737,0.0365,-0.00522,0.00027,0.27495,44.3636,0.10369,-1.09951,0.52077,-0.16033,0.03108,-0.00326,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-06-07,18:01:36.98,3,1,"Ferrer, Ben",829343,Right,LEX_LEG,"Tostado, Frankie",676762,Left,YOR,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.52743,-0.635693,-0.850083,2112.365377,250.246575,2:15,5.53281,1.37862,5.31683,-28.34561,7.35166,17.26501,2.57396,2.01947,81.7427,-5.848047,2.217774,0.43002,,,,,,,,,,,,-8.87477,4.21744,-1.31446,50,5.4549,1.13707,-129.93455,-2.50776,-15.12531,28.00944,-24.98623,LEX_LEG,YOR,WildHealthField,Independent,ATL,20250607-WildHealthField-1,5ce634f0-43f3-11f0-93ce-897ea289e98e,87.65274,,,7.78472,,,,,,,4603d963-8499-4ce3-b479-89efa7ad448f,2025-06-07,23:01:36.98,2025-06-07T18:01:36.9826816-05:00,2025-06-07T23:01:36.9826816Z,,v3,495,5435,,"Bates, Austin",1000130823,Right,LEX_LEG,d1978bdd-6f1f-4d0b-82fc-8b851ac5ca7d,55.18355,-131.04719,14.00472,5.5348,-1.51522,-12.49311,-1.37156,1.7379,-7.56265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-06-07,18:01:50.69,3,2,"Ferrer, Ben",829343,Right,LEX_LEG,"Tostado, Frankie",676762,Left,YOR,Undefined,1,Top,1,1,0,Undefined,Sinker,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,89.18201,-1.302259,-1.903076,2066.266011,262.411885,2:45,5.44227,1.2681,5.25982,-32.40856,3.83705,19.61564,1.51714,1.11405,81.21377,-7.227641,1.580439,0.433311,72.56714,-27.588013,-68.653986,,,,,4.27202,4.27202,-61.173877,0.029739,-10.40229,2.66264,-1.10889,50,5.29903,3.40378,-129.30844,-4.18836,-17.47326,28.95769,-27.70144,LEX_LEG,YOR,WildHealthField,Independent,ATL,20250607-WildHealthField-1,65334c60-43f3-11f0-93ce-897ea289e98e,86.98712,1.46874,,7.96824,,,,1.03662,1.46874,-1.12463,4603d963-8499-4ce3-b479-89efa7ad448f,2025-06-07,23:01:50.69,2025-06-07T18:01:50.6908672-05:00,2025-06-07T23:01:50.6908672Z,GroundBall,v3,495,5435,,"Bates, Austin",1000130823,Right,LEX_LEG,3882e65d-b999-4fea-b056-4c2f8de91dd7,55.24144,-130.47694,14.47885,5.44549,-3.07055,-13.85072,-1.26047,4.10886,-8.73663,,1.03629,34.404,,,,,,,,1.4692,-49.38694,,,,,,,,-1.1238,-88.03274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2025-06-07,18:02:11.49,3,3,"Ferrer, Ben",829343,Right,LEX_LEG,"Tostado, Frankie",676762,Left,YOR,Undefined,1,Top,1,1,1,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.55365,0.345265,-1.776073,2104.415667,260.066867,2:45,5.44399,1.28798,5.58366,-35.79002,3.99536,15.21615,2.78408,0.8968,76.92632,-6.25255,0.940435,0.453976,74.11081,78.282784,-145.986508,4855.440325,,,,,11.53125,,,-8.26221,2.29118,-1.14561,50,5.45031,3.17437,-122.69569,-0.50482,-12.49936,25.996,-28.70788,LEX_LEG,YOR,WildHealthField,Independent,ATL,20250607-WildHealthField-1,71874610-43f3-11f0-93ce-897ea289e98e,83.02734,47.18663,,7.62733,,,,1.39104,2.82028,-0.90355,4603d963-8499-4ce3-b479-89efa7ad448f,2025-06-07,23:02:11.49,2025-06-07T18:02:11.4910720-05:00,2025-06-07T23:02:11.4910720Z,,v3,495,5435,,"Bates, Austin",1000130823,Right,LEX_LEG,b5cb4eac-91fe-42a7-9e40-17ad5a85a2c9,54.9174,-123.73317,12.998,5.4476,0.6409,-14.35394,-1.28225,3.67321,-6.24968,359.778556,1.40413,-18.66705,-4.57135,,,,,,,2.83986,105.88462,-28.20875,,,,,,,-0.89437,-12.60737,-3.23767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-06-07,18:02:40.03,3,4,"Ferrer, Ben",829343,Right,LEX_LEG,"Tostado, Frankie",676762,Left,YOR,Undefined,1,Top,1,1,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.07813,0.298866,-1.101391,2202.901893,249.979976,2:15,5.527,1.26333,5.68457,-31.77706,6.91166,15.80229,3.15754,1.55342,78.22419,-5.567059,1.724956,0.447676,,,,,,,,,,,,-8.30119,3.79701,-1.18056,50,5.53226,1.72164,-123.64067,-0.44015,-12.9094,23.58422,-26.26921,LEX_LEG,YOR,WildHealthField,Independent,ATL,20250607-WildHealthField-1,82862a30-43f3-11f0-93ce-897ea289e98e,84.19582,,,6.85394,,,,,,,4603d963-8499-4ce3-b479-89efa7ad448f,2025-06-07,23:02:40.03,2025-06-07T18:02:40.0381440-05:00,2025-06-07T23:02:40.0381440Z,,v3,495,5435,,"Bates, Austin",1000130823,Right,LEX_LEG,e1a44da1-cbef-458b-906c-ce23fe316ea9,54.81669,-124.55605,11.79211,5.52955,0.57945,-13.13461,-1.2571,2.2227,-6.4547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-06-07,18:03:00.22,3,5,"Ferrer, Ben",829343,Right,LEX_LEG,"Tostado, Frankie",676762,Left,YOR,Undefined,1,Top,1,2,2,Undefined,Curveball,InPlay,Undefined,LineDrive,Double,0,0,,79.44961,1.15733,-1.121881,2443.791994,37.918471,7:15,5.63121,0.89092,5.17725,-49.21018,-4.02181,-4.15788,2.61975,-0.51137,73.40034,-7.747631,-1.858958,0.483821,105.155,10.97428,37.685179,2035.177986,84.7366,13.55895,70.14058,209.58969,209.58969,41.87209,1.669833,1.79709,-1.98547,-0.78316,50,5.70081,2.42615,-115.40808,0.58009,2.43685,20.38685,-34.86639,LEX_LEG,YOR,WildHealthField,Independent,ATL,20250607-WildHealthField-1,8ea77b20-43f3-11f0-93ce-897ea289e98e,77.90577,13.56539,,6.04927,,,,1.92967,2.79583,0.62115,4603d963-8499-4ce3-b479-89efa7ad448f,2025-06-07,23:03:00.22,2025-06-07T18:03:00.2232320-05:00,2025-06-07T23:03:00.2232320Z,LineDrive,v3,495,5435,,"Bates, Austin",1000130823,Right,LEX_LEG,636fd8bf-8606-4531-b277-dbe7f64d9ecb,55.32634,-116.34518,10.19343,5.63732,2.18274,-17.4332,-0.8921,2.31414,1.21843,,1.92967,119.82117,-22.15457,4.80085,-1.23764,0.41642,-0.17804,0.05582,-0.00771,2.79583,29.35991,-21.53335,2.39028,-0.51375,0.1076,-0.01682,0.00142,3E-05,0.62116,92.5578,-6.01196,0.261,0.14592,-0.1598,0.10199,-0.03677,0.00539,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,2025-06-07,18:03:51.67,4,1,"Ferrer, Ben",829343,Right,LEX_LEG,"Lewis, Brandon",686781,Right,YOR,Undefined,1,Top,1,0,0,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.47358,-1.183069,-1.883598,2456.323991,186.336214,12:15,5.71559,1.06826,5.24836,-31.50529,8.07308,0.77693,1.97761,-0.63774,78.54719,-6.916575,-1.745793,0.452794,,,,,,,,,,,,-0.83937,4.63264,-0.89589,50,5.58332,4.00439,-122.74184,-3.66903,-1.29907,20.98907,-25.00414,LEX_LEG,YOR,WildHealthField,Independent,ATL,20250607-WildHealthField-1,ad52bd00-43f3-11f0-93ce-897ea289e98e,83.2442,,,5.92638,,,,,,,4603d963-8499-4ce3-b479-89efa7ad448f,2025-06-07,23:03:51.67,2025-06-07T18:03:51.6768256-05:00,2025-06-07T23:03:51.6768256Z,,v3,495,5435,,"Bates, Austin",1000130823,Right,LEX_LEG,5961612b-9e10-43ef-83d3-90cc4038c35c,55.25463,-123.63713,10.49453,5.71707,-2.60248,-12.50207,-1.06788,4.05981,-0.64953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-06-07,18:04:21.30,4,2,"Ferrer, Ben",829343,Right,LEX_LEG,"Lewis, Brandon",686781,Right,YOR,Undefined,1,Top,1,0,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.31765,-0.07702,-0.638296,2406.068414,152.02105,11:00,5.76574,1.00909,5.30515,-31.61998,8.25422,-3.76496,3.05843,0.09612,77.7229,-5.870635,-1.30697,0.454483,,,,,,,,,,,,1.71973,4.52386,-0.94831,50,5.73584,1.52579,-122.48135,-1.29223,2.63212,22.4793,-25.25,LEX_LEG,YOR,WildHealthField,Independent,ATL,20250607-WildHealthField-1,bee10fe0-43f3-11f0-93ce-897ea289e98e,82.93483,,,6.59476,,,,,,,4603d963-8499-4ce3-b479-89efa7ad448f,2025-06-07,23:04:21.30,2025-06-07T18:04:21.3047296-05:00,2025-06-07T23:04:21.3047296Z,,v3,495,5435,,"Bates, Austin",1000130823,Right,LEX_LEG,c0df6aba-032d-4d6b-aa13-0f46087b4bf7,55.19503,-123.43112,11.23965,5.7679,-0.22539,-12.625,-1.01043,1.41458,1.31606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
