PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-18,12:32:34.50,1,1,"Wells, Nick",657101,Left,GAS,"Riddle, JT",595375,Left,LEX_LEG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.37755,-2.091236,2.953158,2061.453512,147.342984,11:00,6.14086,-2.16616,5.51873,-23.30269,11.31225,-6.57461,2.24018,0.04962,83.12435,-6.395733,1.782788,0.423451,,,,,,,,,,,,4.13347,6.5889,1.91347,50,5.94291,-6.47623,-131.07749,-5.62089,7.22578,26.46492,-20.65594,GAS,LEX_LEG,CaroMontHealthPark,Independent,ATL,20250618-CaroMontHealthPark-1,d6fcdd40-4c61-11f0-80d1-1523b04956b6,89.01249,,,7.2532,,,,,,,7133f963-c860-4a7a-89a2-0b1b1cc8e868,2025-06-18,16:32:34.50,2025-06-18T12:32:34.5025024-04:00,2025-06-18T16:32:34.5025024Z,,v3,5508,495,,"Perez, Henderson",666630,Right,GAS,9b6a5f8c-a44b-4a65-934e-a7c228b14243,54.98193,-132.07953,13.23246,6.14093,-4.8388,-10.32797,2.16386,-6.74981,3.61289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-06-18,12:33:06.96,2,1,"Wells, Nick",657101,Left,GAS,"Atwood, Andy",664762,Right,LEX_LEG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.98835,-2.289682,3.504862,2082.706249,150.718909,11:00,6.1309,-2.35296,5.53255,-21.55127,13.15969,-6.68953,2.1895,0.36988,82.3879,-6.315122,2.315027,0.424038,,,,,,,,,,,,4.46071,7.71311,2.05286,50,5.9176,-7.75839,-131.62864,-6.01429,7.74167,30.75189,-18.78767,GAS,LEX_LEG,CaroMontHealthPark,Independent,ATL,20250618-CaroMontHealthPark-1,ea591250-4c61-11f0-80d1-1523b04956b6,88.88929,,,8.60045,,,,,,,7133f963-c860-4a7a-89a2-0b1b1cc8e868,2025-06-18,16:33:06.96,2025-06-18T12:33:06.9674496-04:00,2025-06-18T16:33:06.9674496Z,,v3,5508,495,,"Perez, Henderson",666630,Right,GAS,75c4bb60-1c59-41f2-848c-7f1a51b84f1e,54.96456,-132.78342,15.37595,6.13019,-5.30878,-9.39384,2.34966,-8.0491,3.87084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-06-18,12:33:17.16,2,2,"Wells, Nick",657101,Left,GAS,"Atwood, Andy",664762,Right,LEX_LEG,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.27824,-2.41312,4.460872,2023.819082,149.244324,11:00,6.113,-2.21671,5.92475,-22.44289,10.96205,-5.94177,1.99545,1.43584,84.29147,-6.575356,3.398416,0.415984,,,,,,,,,,,,4.18091,6.53918,1.86263,50,5.90647,-10.06705,-132.24886,-6.34411,7.473,25.75888,-20.48582,GAS,LEX_LEG,CaroMontHealthPark,Independent,ATL,20250618-CaroMontHealthPark-1,f06d77d0-4c61-11f0-80d1-1523b04956b6,90.61025,,,6.98676,,,,,,,7133f963-c860-4a7a-89a2-0b1b1cc8e868,2025-06-18,16:33:17.16,2025-06-18T12:33:17.1672064-04:00,2025-06-18T16:33:17.1672064Z,,v3,5508,495,,"Perez, Henderson",666630,Right,GAS,250f4fc7-2a09-4016-bc87-7c79d34d0d45,54.57555,-133.13708,12.87944,6.11304,-5.63771,-10.24291,2.21421,-10.32473,3.7365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-06-18,12:33:27.91,2,3,"Wells, Nick",657101,Left,GAS,"Atwood, Andy",664762,Right,LEX_LEG,Undefined,1,Top,1,1,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.85508,-0.92476,2.324676,2507.823082,234.861845,1:45,6.20971,-2.09627,5.70601,-31.62699,4.45693,4.91504,2.71172,0.48049,81.48852,-6.718016,3.203203,0.432343,83.81133,-28.860391,-65.613055,,,,,6.99122,2.88069,-46.456312,0.047909,-1.95378,2.77303,1.89815,50,6.11217,-5.38357,-127.67982,-3.17901,-3.25946,23.67378,-27.54781,GAS,LEX_LEG,CaroMontHealthPark,Independent,ATL,20250618-CaroMontHealthPark-1,f6d5f0c0-4c61-11f0-80d1-1523b04956b6,87.18183,2.85063,,6.36656,,,,2.68065,2.85063,-0.35671,7133f963-c860-4a7a-89a2-0b1b1cc8e868,2025-06-18,16:33:27.91,2025-06-18T12:33:27.9156224-04:00,2025-06-18T16:33:27.9156224Z,GroundBall,v3,5508,495,,"Perez, Henderson",666630,Right,GAS,a80f0c60-2f0c-4230-8f59-a592a19dfe59,54.79594,-128.56599,11.83689,6.21187,-2.14783,-13.7739,2.09739,-5.26156,-1.62973,,2.67967,44.5776,,,,,,,,2.85194,-59.50144,,,,,,,,-0.35455,-98.33031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2025-06-18,12:33:50.88,2,4,"Wells, Nick",657101,Left,GAS,"Atwood, Andy",664762,Right,LEX_LEG,Undefined,1,Top,1,1,2,Sweeper,Curveball,InPlay,Undefined,LineDrive,Out,1,0,,79.26552,0.761558,1.701218,2891.448501,297.663911,4:00,6.31187,-1.89248,5.01795,-52.67861,-6.62532,15.36095,2.64107,0.99359,72.93939,-8.725448,4.415267,0.488429,55.54523,18.296041,-4.470023,756.384481,,,,114.055,114.055,-3.783955,1.640456,-7.18028,-3.14709,1.71632,50,6.34192,-4.04373,-115.02316,-0.39076,-9.58571,22.03437,-36.37543,GAS,LEX_LEG,CaroMontHealthPark,Independent,ATL,20250618-CaroMontHealthPark-1,04936580-4c62-11f0-80d1-1523b04956b6,77.17071,12.18947,,6.32614,,,,1.96759,2.74544,-0.94836,7133f963-c860-4a7a-89a2-0b1b1cc8e868,2025-06-18,16:33:50.88,2025-06-18T12:33:50.8881920-04:00,2025-06-18T16:33:50.8881920Z,GroundBall,v3,5508,495,,"Perez, Henderson",666630,Right,GAS,5577649e-3f37-46b7-85cb-ced901d1631d,55.48464,-116.06907,11.01719,6.31949,1.33588,-18.18772,1.89746,-3.58872,-4.79285,259.296257,1.96759,77.11266,-6.42594,0.82933,-0.1223,-0.09618,0.1223,-0.06574,0.01373,2.74544,25.57456,-18.02329,1.09431,-0.23992,0.12495,-0.08242,0.03784,-0.00724,-0.94836,-6.02832,1.5576,-0.27759,0.06455,-0.01781,0.00865,-0.00355,0.00064,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-06-18,12:34:26.05,3,1,"Wells, Nick",657101,Left,GAS,"Whalen, Brady",669714,Left,LEX_LEG,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,91.29644,-1.385543,2.225984,1933.303274,144.201617,10:45,6.06465,-2.18483,5.9006,-23.79962,9.78611,-6.27926,2.79387,-0.64059,83.4159,-5.824811,1.099176,0.417108,93.72533,9.955729,20.423542,4010.701437,102.84603,8.67467,39.02131,162.09057,145.43872,20.987337,1.402035,3.86579,5.72926,2.00945,50,5.93951,-4.88351,-132.51444,-4.01498,6.85823,28.91999,-22.00984,GAS,LEX_LEG,CaroMontHealthPark,Independent,ATL,20250618-CaroMontHealthPark-1,1978f9b0-4c62-11f0-80d1-1523b04956b6,90.36611,9.88605,,7.88053,,,,1.83517,2.64538,0.57594,7133f963-c860-4a7a-89a2-0b1b1cc8e868,2025-06-18,16:34:26.05,2025-06-18T12:34:26.0531200-04:00,2025-06-18T16:34:26.0531200Z,LineDrive,v3,5508,495,,"Perez, Henderson",666630,Right,GAS,f65a4b8c-af4c-4dbc-b55b-e1eaeb503e58,54.59888,-133.51433,14.45999,6.06517,-3.254,-11.00492,2.18239,-5.12063,3.42912,,1.83517,126.88259,-18.07552,3.41317,-0.76225,0.16394,-0.03515,0.00619,-0.00059,2.64538,23.76569,-20.73126,2.25766,-0.49609,0.11455,-0.02341,0.00413,-0.00041,0.57594,47.24656,-5.4047,0.88637,-0.1944,0.04128,-0.00906,0.00161,-0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-06-18,12:36:47.87,1,1,"Wicklander, Patrick",677353,Left,LEX_LEG,"Reinheimer, Jack",595373,Right,GAS,Undefined,1,Bottom,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.04316,-1.298329,2.501276,2343.747791,136.106832,10:30,5.65837,-1.59169,5.765,-23.86493,13.27985,-11.61847,2.45991,-0.23047,79.50289,-5.758817,0.422193,0.438652,,,,,,,,,,,,6.62847,7.49607,1.39168,50,5.53641,-5.0301,-126.28566,-3.635,10.68702,26.10622,-20.08823,GAS,LEX_LEG,CaroMontHealthPark,Independent,ATL,20250618-CaroMontHealthPark-1,6e062d90-4c62-11f0-80d1-1523b04956b6,85.92785,,,7.54027,,,,,,,7133f963-c860-4a7a-89a2-0b1b1cc8e868,2025-06-18,16:36:47.87,2025-06-18T12:36:47.8755328-04:00,2025-06-18T16:36:47.8755328Z,,v3,5508,495,,"Huntzinger, Jerry",694255,Right,LEX_LEG,86ffa842-e1a3-4e78-8ecd-0895ef0feb0c,54.73376,-127.26048,13.05311,5.65814,-2.8849,-10.04411,1.58696,-5.42915,5.34351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-06-18,12:37:05.18,1,2,"Wicklander, Patrick",677353,Left,LEX_LEG,"Reinheimer, Jack",595373,Right,GAS,Undefined,1,Bottom,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.83062,-0.057502,1.79224,2334.128836,131.727856,10:30,5.62434,-1.46143,5.71104,-23.48982,13.02485,-13.29028,3.61325,-0.89867,80.08845,-4.454806,-0.58436,0.434916,,,,,,,,,,,,7.22485,6.98819,1.31954,50,5.60507,-3.41412,-127.49478,-0.89842,11.87365,26.58853,-20.68933,GAS,LEX_LEG,CaroMontHealthPark,Independent,ATL,20250618-CaroMontHealthPark-1,784502e0-4c62-11f0-80d1-1523b04956b6,86.66609,,,7.74216,,,,,,,7133f963-c860-4a7a-89a2-0b1b1cc8e868,2025-06-18,16:37:05.18,2025-06-18T12:37:05.1864064-04:00,2025-06-18T16:37:05.1864064Z,,v3,5508,495,,"Huntzinger, Jerry",694255,Right,LEX_LEG,d0e2d900-c5ac-4dd7-9d42-2183648b54f9,54.78687,-128.48918,13.29427,5.62421,-0.12464,-10.34466,1.45553,-3.8582,5.93682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-06-18,12:37:21.05,1,3,"Wicklander, Patrick",677353,Left,LEX_LEG,"Reinheimer, Jack",595373,Right,GAS,Undefined,1,Bottom,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.31951,-1.656546,2.327617,2421.46417,134.920406,10:30,5.65509,-1.51298,5.68701,-21.39651,14.09422,-12.94327,2.32634,-0.4209,81.31084,-5.668071,0.014401,0.428774,,,,,,,,,,,,7.24496,7.99449,1.32528,50,5.50235,-4.69951,-129.52673,-4.45076,12.25004,28.24849,-18.6567,GAS,LEX_LEG,CaroMontHealthPark,Independent,ATL,20250618-CaroMontHealthPark-1,81ccbd30-4c62-11f0-80d1-1523b04956b6,87.90739,,,8.00867,,,,,,,7133f963-c860-4a7a-89a2-0b1b1cc8e868,2025-06-18,16:37:21.05,2025-06-18T12:37:21.0506752-04:00,2025-06-18T16:37:21.0506752Z,,v3,5508,495,,"Huntzinger, Jerry",694255,Right,LEX_LEG,75bf9ac5-517c-4b27-a14c-47b1dd450581,54.81128,-130.57181,14.12425,5.65424,-3.76054,-9.32835,1.50753,-5.15271,6.12502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-06-18,12:37:37.85,1,4,"Wicklander, Patrick",677353,Left,LEX_LEG,"Reinheimer, Jack",595373,Right,GAS,Undefined,1,Bottom,0,1,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,88.54489,-1.012707,2.224218,2308.967827,136.842507,10:30,5.64656,-1.42748,5.78627,-22.55198,13.32926,-11.40205,2.82427,-0.30735,80.74653,-5.239928,0.182776,0.431127,87.49069,49.898463,16.742384,3929.33241,102.24376,112.12223,40.57324,281.73054,129.36654,26.296573,5.820912,6.48016,7.43993,1.2512,50,5.54959,-4.51189,-128.50572,-3.00503,10.80287,27.39011,-19.77115,GAS,LEX_LEG,CaroMontHealthPark,Independent,ATL,20250618-CaroMontHealthPark-1,8bcf73e0-4c62-11f0-80d1-1523b04956b6,87.42774,128.8105,,7.79836,,,,1.58554,3.25766,0.39343,7133f963-c860-4a7a-89a2-0b1b1cc8e868,2025-06-18,16:37:37.85,2025-06-18T12:37:37.8588672-04:00,2025-06-18T16:37:37.8588672Z,FlyBall,v3,5508,495,,"Huntzinger, Jerry",694255,Right,LEX_LEG,981792aa-4e4a-40e9-bb82-7d5623113a43,54.71314,-129.5064,13.69506,5.64618,-2.28271,-9.88557,1.42324,-4.90657,5.40143,,1.59129,79.04029,-17.37991,4.053,-0.53443,-0.00645,0.01507,-0.00207,9E-05,3.25518,98.18302,-23.28296,2.22499,-0.27036,-0.03028,0.02077,-0.00338,0.00019,0.3926,23.82759,0.06863,-0.29495,0.056,0.00922,-0.00593,0.00094,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
