PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-04,16:00:56.99,1,1,"Hartman, Matt",666929,Right,GAS,"Gonzalez, Luis",8894175,Left,HP,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.19415,-1.672041,-1.972941,2080.767788,224.388286,1:30,6.32995,1.9618,5.83084,-25.2047,12.17158,10.85205,2.67394,1.03145,79.64911,-6.349256,-0.027088,0.440017,,,,,,,,,,,,-6.03544,6.9841,-1.80711,50,6.17842,3.87053,-125.22345,-4.47378,-9.67572,23.00476,-20.97745,GAS,HP,CaroMontHealthPark,Independent,ATL,20250704-CaroMontHealthPark-1,999cedc0-5911-11f0-9196-6d1e765474b6,85.66133,,,6.54503,,,,,,,2f2df10b-a01f-4192-b5c6-d792a077bb24,2025-07-04,20:00:56.99,2025-07-04T16:00:56.9935872-04:00,2025-07-04T20:00:56.9935872Z,,v3,5508,5431,,"Meyer, Jake",806633,Right,GAS,dde2c0ef-e189-4cb4-9bc0-384b270dde0c,54.66894,-126.07826,11.50238,6.33017,-3.6943,-10.48873,-1.95761,4.23006,-4.83786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-07-04,16:01:11.77,1,2,"Hartman, Matt",666929,Right,GAS,"Gonzalez, Luis",8894175,Left,HP,Undefined,1,Top,0,1,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.07825,-2.071464,-2.824199,2168.523017,225.723175,1:30,6.36267,1.87455,5.88524,-25.03045,11.77485,10.90819,2.35005,0.15887,80.04152,-6.726911,-0.867933,0.436643,77.88805,5.440682,33.989596,2111.390107,,,,78.05742,74.72201,34.678182,0.721291,-6.40552,6.93307,-1.65312,50,6.18079,5.79897,-126.36901,-5.38329,-10.38879,25.03389,-20.92965,GAS,HP,CaroMontHealthPark,Independent,ATL,20250704-CaroMontHealthPark-1,a264b370-5911-11f0-9196-6d1e765474b6,86.32324,3.8624,,7.03672,,,,2.81844,2.43881,-0.19442,2f2df10b-a01f-4192-b5c6-d792a077bb24,2025-07-04,20:01:11.77,2025-07-04T16:01:11.7783040-04:00,2025-07-04T20:01:11.7783040Z,GroundBall,v3,5508,5431,,"Meyer, Jake",806633,Right,GAS,a911112e-8834-4b7b-8a0a-ad094c30b2ea,54.61573,-127.28011,12.51695,6.36285,-4.62157,-10.46482,-1.87105,6.17706,-5.19439,,2.84435,93.80371,-12.17975,,,,,,,2.46988,10.24993,-19.01388,,,,,,,-0.19989,63.67861,-2.52539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-07-04,16:01:49.73,2,1,"Hartman, Matt",666929,Right,GAS,"Viera, Max",1000098712,Left,HP,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.13582,1.663219,-1.811036,1901.231822,10.053146,6:15,6.4819,1.48702,5.80145,-52.93483,-2.15169,-0.64646,3.61878,-0.2518,68.47649,-8.036421,-1.926887,0.512898,,,,,,,,,,,,-0.15106,-1.06189,-1.33784,50,6.58695,3.42827,-107.6994,1.51563,-0.17821,17.93025,-33.42677,GAS,HP,CaroMontHealthPark,Independent,ATL,20250704-CaroMontHealthPark-1,b8fb7a10-5911-11f0-9196-6d1e765474b6,73.48913,,,5.65934,,,,,,,2f2df10b-a01f-4192-b5c6-d792a077bb24,2025-07-04,20:01:49.73,2025-07-04T16:01:49.7375744-04:00,2025-07-04T20:01:49.7375744Z,,v3,5508,5431,,"Meyer, Jake",806633,Right,GAS,6126c82a-6942-49dc-bc17-76e6560221d4,54.69953,-108.47897,8.96512,6.48946,2.96897,-16.71339,-1.48707,3.43602,-0.08911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-07-04,16:02:05.11,2,2,"Hartman, Matt",666929,Right,GAS,"Viera, Max",1000098712,Left,HP,Undefined,1,Top,1,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.34889,2.589238,-0.253374,1790.396841,22.329299,6:45,6.58421,1.39967,5.86117,-54.65176,-6.31378,-3.0848,4.43703,0.90721,70.45394,-7.392052,-0.807033,0.500398,,,,,,,,,,,,1.52185,-3.40776,-1.37733,50,6.76215,0.59372,-109.65083,3.26124,1.88949,15.79394,-36.40498,GAS,HP,CaroMontHealthPark,Independent,ATL,20250704-CaroMontHealthPark-1,c222ebf0-5911-11f0-9196-6d1e765474b6,75.32489,,,4.89495,,,,,,,2f2df10b-a01f-4192-b5c6-d792a077bb24,2025-07-04,20:02:05.11,2025-07-04T16:02:05.1160576-04:00,2025-07-04T20:02:05.1160576Z,,v3,5508,5431,,"Meyer, Jake",806633,Right,GAS,cf5f3751-10c3-439c-95a7-d0a47239a7ea,54.64276,-110.31754,7.89697,6.59205,4.79801,-18.20249,-1.40071,0.51396,0.94474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-04,16:02:21.94,2,3,"Hartman, Matt",666929,Right,GAS,"Viera, Max",1000098712,Left,HP,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.33772,-3.665389,-2.011977,2196.917518,196.928676,12:30,6.64774,1.30621,6.16734,-18.12592,17.98001,5.14185,1.74487,-0.12449,80.63246,-7.082199,-1.084631,0.432475,86.71021,41.748387,-6.119514,,109.87416,90.99155,-5.25647,264.8362,142.65028,0.303977,5.473847,-3.20697,10.62221,-1.15645,50,6.36022,4.25567,-126.73511,-8.6361,-5.25373,24.14277,-14.77259,GAS,HP,CaroMontHealthPark,Independent,ATL,20250704-CaroMontHealthPark-1,cc38dc80-5911-11f0-9196-6d1e765474b6,87.15523,106.39013,,6.70526,,,,1.84481,1.75322,0.26537,2f2df10b-a01f-4192-b5c6-d792a077bb24,2025-07-04,20:02:21.94,2025-07-04T16:02:21.9462656-04:00,2025-07-04T20:02:21.9462656Z,FlyBall,v3,5508,5431,,"Meyer, Jake",806633,Right,GAS,7e32fca0-8eb6-4f28-86b8-9dde609281af,54.33365,-127.55799,12.07138,6.64599,-8.13259,-7.38629,-1.30455,4.43473,-2.62687,,1.85054,94.22738,-23.57275,5.98047,-0.96165,0.05689,0.00963,-0.00188,9E-05,1.74929,84.74732,-18.97987,0.6617,0.13005,-0.08369,0.02332,-0.00321,0.00017,0.26421,-10.08924,6.62705,-2.14256,0.46143,-0.06079,0.0032,0.00015,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2025-07-04,16:03:05.90,3,1,"Hartman, Matt",666929,Right,GAS,"Mendoza, Drew",666141,Left,HP,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.19814,-3.541233,-3.065856,2205.081546,194.643768,12:30,6.58002,1.67367,5.96414,-16.90044,19.33666,4.72488,1.87921,-0.77805,80.23189,-6.759404,-2.218399,0.43326,,,,,,,,,,,,-3.34366,11.36146,-1.43299,50,6.28913,6.64213,-127.65389,-8.38027,-5.47882,27.99309,-13.55752,GAS,HP,CaroMontHealthPark,Independent,ATL,20250704-CaroMontHealthPark-1,e6772750-5911-11f0-9196-6d1e765474b6,86.99737,,,7.96624,,,,,,,2f2df10b-a01f-4192-b5c6-d792a077bb24,2025-07-04,20:03:05.90,2025-07-04T16:03:05.9046400-04:00,2025-07-04T20:03:05.9046400Z,,v3,5508,5431,,"Meyer, Jake",806633,Right,GAS,a27fd78e-6d20-4110-85d4-b4df7249ef62,54.5338,-128.64426,13.99654,6.57713,-7.90062,-6.77876,-1.67141,6.83596,-2.73941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-04,16:03:22.49,3,2,"Hartman, Matt",666929,Right,GAS,"Mendoza, Drew",666141,Left,HP,Undefined,1,Top,2,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.93055,-0.254809,-0.449718,1876.702722,7.537533,6:15,6.49875,1.50996,5.71402,-54.54271,-7.98634,-1.2074,1.71614,0.99038,72.48431,-10.127104,-0.666491,0.49109,,,,,,,,,,,,0.51744,-3.67792,-1.47158,50,6.44309,0.92294,-112.05466,-2.26413,0.67051,16.6169,-36.9398,GAS,HP,CaroMontHealthPark,Independent,ATL,20250704-CaroMontHealthPark-1,f0475c50-5911-11f0-9196-6d1e765474b6,76.75264,,,4.44624,,,,,,,2f2df10b-a01f-4192-b5c6-d792a077bb24,2025-07-04,20:03:22.49,2025-07-04T16:03:22.4934912-04:00,2025-07-04T20:03:22.4934912Z,,v3,5508,5431,,"Meyer, Jake",806633,Right,GAS,beb1bf51-0ba4-46ef-a9a1-08b084383454,54.79067,-112.76284,8.30845,6.50603,-0.68982,-18.4699,-1.5103,0.89437,0.33525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-04,16:03:43.83,3,3,"Hartman, Matt",666929,Right,GAS,"Mendoza, Drew",666141,Left,HP,Undefined,1,Top,2,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.4737,-3.339468,-0.937109,3310.11278,165.092768,11:30,6.54798,1.53762,6.04153,-36.81911,5.84461,-1.22591,0.38386,0.56774,74.91637,-10.077237,-1.158388,0.470111,,,,,,,,,,,,0.4,4.20268,-1.46388,50,6.2671,1.95474,-116.87479,-7.94037,0.55701,20.62846,-26.32155,GAS,HP,CaroMontHealthPark,Independent,ATL,20250704-CaroMontHealthPark-1,fd0c8e60-5911-11f0-9196-6d1e765474b6,80.17767,,,5.55732,,,,,,,2f2df10b-a01f-4192-b5c6-d792a077bb24,2025-07-04,20:03:43.83,2025-07-04T16:03:43.8367232-04:00,2025-07-04T20:03:43.8367232Z,,v3,5508,5431,,"Meyer, Jake",806633,Right,GAS,592061a6-e7fb-4bfd-99aa-2e0c6aacaf2d,54.46062,-117.65946,10.31423,6.55009,-6.93915,-13.16077,-1.53783,1.93356,0.2785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-07-04,16:04:03.18,3,4,"Hartman, Matt",666929,Right,GAS,"Mendoza, Drew",666141,Left,HP,Undefined,1,Top,2,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.28264,-0.62744,-0.434463,2221.714932,211.726459,1:00,6.45602,2.00723,5.96212,-18.35158,17.33509,10.02772,4.34488,2.44001,80.72208,-4.111926,1.367787,0.429956,,,,,,,,,,,,-5.23193,9.3943,-1.97813,50,6.39588,0.54952,-128.2684,-1.93672,-8.72441,26.30532,-16.50878,GAS,HP,CaroMontHealthPark,Independent,ATL,20250704-CaroMontHealthPark-1,08795c60-5912-11f0-9196-6d1e765474b6,87.66574,,,7.56056,,,,,,,2f2df10b-a01f-4192-b5c6-d792a077bb24,2025-07-04,20:04:03.18,2025-07-04T16:04:03.1851520-04:00,2025-07-04T20:04:03.1851520Z,,v3,5508,5431,,"Meyer, Jake",806633,Right,GAS,e059b676-4867-4ef3-a041-b9e82d045ad9,54.53547,-129.19519,13.15266,6.45387,-1.35509,-8.25439,-2.00291,0.8569,-4.3622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-04,16:04:20.85,3,5,"Hartman, Matt",666929,Right,GAS,"Mendoza, Drew",666141,Left,HP,Undefined,1,Top,2,2,2,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,78.93704,-1.434888,-1.237726,2673.271731,296.12598,3:45,6.63921,1.40228,5.97032,-46.48975,-1.58264,6.19803,1.43416,0.77108,72.58878,-9.960189,-0.120069,0.482313,66.7709,-23.910857,48.409004,,,,,6.13148,6.13148,20.372405,0.031528,-3.5878,-0.03469,-1.30782,50,6.49941,2.25514,-114.65495,-4.3185,-4.74334,22.5469,-32.2199,GAS,HP,CaroMontHealthPark,Independent,ATL,20250704-CaroMontHealthPark-1,131f7f00-5912-11f0-9196-6d1e765474b6,78.14934,1.25393,,6.34826,,,,3.87057,1.25393,0.01928,2f2df10b-a01f-4192-b5c6-d792a077bb24,2025-07-04,20:04:20.85,2025-07-04T16:04:20.8530432-04:00,2025-07-04T20:04:20.8530432Z,GroundBall,v3,5508,5431,,"Meyer, Jake",806633,Right,GAS,b04f72f3-5476-4c18-87b8-d696f4f2617b,54.53102,-115.54254,11.27345,6.64444,-3.05012,-16.10995,-1.40028,2.44187,-2.37167,,3.86997,59.546,,,,,,,,1.25433,-39.77148,,,,,,,,0.0186,67.08951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
