PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-04,18:48:11.85,1,1,"Green, Max",676055,Left,LAN,"Nelson, James",663445,Right,WES_POW,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.19086,-1.933171,2.615019,2215.696342,149.682316,11:00,5.66004,-1.20779,5.3244,-19.24702,13.92969,-7.47874,2.2395,0.62456,84.5492,-5.529204,1.288259,0.414561,,,,,,,,,,,,4.51677,7.88859,0.97668,50,5.47148,-5.80567,-134.95225,-5.24796,8.27032,31.32198,-17.72981,LAN,WES_POW,ClipperMagazine,Independent,ATL,20250704-ClipperMagazine-1,f706fe80-5928-11f0-b582-abb2f05baa63,90.9214,,,8.64166,,,,,,,6b627aa2-905c-4e1b-8626-847b49b7ae16,2025-07-04,22:48:11.85,2025-07-04T18:48:11.8570000-04:00,2025-07-04T22:48:11.8570000Z,,v3,1889,525,,"Isola, Alex",684576,Right,LAN,fec7b6f8-fe9c-47a5-be83-73c097255cf5,55.17166,-136.14729,15.66099,5.6588,-4.57151,-8.86491,1.20421,-6.12121,4.13516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-07-04,18:48:25.20,1,2,"Green, Max",676055,Left,LAN,"Nelson, James",663445,Right,WES_POW,Undefined,1,Top,0,0,1,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.13171,-1.414471,3.482402,1538.05833,95.731577,9:15,5.3778,-1.36311,5.18372,-36.38171,2.82823,-14.4193,1.01248,0.71569,78.20387,-8.047771,0.929314,0.450681,,,,,,,,,,,,8.34174,2.20504,1.05091,50,5.21848,-6.95542,-124.65308,-4.44874,12.97144,27.7949,-28.74522,LAN,WES_POW,ClipperMagazine,Independent,ATL,20250704-ClipperMagazine-1,fef81340-5928-11f0-b582-abb2f05baa63,83.63438,,,7.92784,,,,,,,6b627aa2-905c-4e1b-8626-847b49b7ae16,2025-07-04,22:48:25.20,2025-07-04T18:48:25.2050000-04:00,2025-07-04T22:48:25.2050000Z,,v3,1889,525,,"Isola, Alex",684576,Right,LAN,861d55a2-8753-4de1-9d8d-15695522e39e,55.31524,-125.83268,13.89745,5.38139,-3.22881,-14.37261,1.35778,-7.50592,6.48572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-07-04,18:48:43.40,1,3,"Green, Max",676055,Left,LAN,"Nelson, James",663445,Right,WES_POW,Undefined,1,Top,0,0,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,96.9152,-2.342974,1.550666,2375.457506,150.120704,11:00,5.87818,-0.96766,5.14286,-13.9045,16.92269,-9.11819,2.51142,-0.26712,87.94397,-4.971749,-0.06286,0.399612,,,,,,,,,,,,4.87973,9.33867,0.82923,50,5.64818,-3.3106,-140.31959,-6.21076,9.68695,33.03449,-13.63546,LAN,WES_POW,ClipperMagazine,Independent,ATL,20250704-ClipperMagazine-1,09b54050-5929-11f0-b582-abb2f05baa63,94.32267,,,8.97123,,,,,,,6b627aa2-905c-4e1b-8626-847b49b7ae16,2025-07-04,22:48:43.40,2025-07-04T18:48:43.4070000-04:00,2025-07-04T22:48:43.4070000Z,,v3,1889,525,,"Isola, Alex",684576,Right,LAN,656c7b6c-aaa3-49f4-85e5-c0ae623314b0,55.34921,-141.57332,16.51724,5.87407,-5.69327,-6.81773,0.96185,-3.67824,4.84347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-07-04,18:49:00.90,1,4,"Green, Max",676055,Left,LAN,"Nelson, James",663445,Right,WES_POW,Undefined,1,Top,0,0,2,Undefined,Slider,InPlay,Undefined,LineDrive,Single,0,0,,84.5397,0.705708,1.306355,2372.403032,289.466369,3:45,5.43689,-1.39587,4.991,-41.00601,-0.96177,5.90185,2.68626,0.32962,78.23159,-6.698206,2.348427,0.455451,86.44904,17.275247,3.398704,1462.399929,109.47531,23.78001,10.73008,229.82586,228.50205,8.505648,2.508803,-2.61685,-0.3498,1.26501,50,5.47107,-3.05711,-122.80637,-0.07116,-4.035,22.11812,-32.71344,LAN,WES_POW,ClipperMagazine,Independent,ATL,20250704-ClipperMagazine-1,143febb0-5929-11f0-b582-abb2f05baa63,82.75853,24.11616,,6.30811,,,,1.40943,2.72544,-0.31574,6b627aa2-905c-4e1b-8626-847b49b7ae16,2025-07-04,22:49:00.90,2025-07-04T18:49:00.9090000-04:00,2025-07-04T22:49:00.9090000Z,LineDrive,v3,1889,525,,"Isola, Alex",684576,Right,LAN,9d2f18e5-2efb-4f2f-b895-541edb77659f,55.50985,-123.79475,11.05906,5.44159,1.39068,-16.35672,1.39759,-2.8768,-2.0175,235.755197,1.40943,120.85909,-18.20485,3.63451,-0.76061,0.14876,-0.02672,0.00359,-0.00023,2.72544,37.65218,-17.9022,1.386,-0.2474,0.04615,-0.00654,0.0009,-7E-05,-0.31574,7.17742,4.58451,-1.35465,0.35627,-0.08082,0.01539,-0.00207,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-07-04,18:49:37.98,2,1,"Green, Max",676055,Left,LAN,"Blackwell, Benjamin",701295,Right,WES_POW,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.51342,-2.124929,3.261604,2120.411576,123.938567,10:15,5.6202,-1.53451,5.07905,-22.66119,10.48008,-13.94186,1.72451,0.38157,85.25266,-6.294229,0.799865,0.414339,,,,,,,,,,,,7.83599,6.13658,1.23671,50,5.40099,-7.03006,-135.36846,-5.92066,14.50802,30.15871,-20.81238,LAN,WES_POW,ClipperMagazine,Independent,ATL,20250704-ClipperMagazine-1,2a648f90-5929-11f0-b582-abb2f05baa63,90.96999,,,8.26077,,,,,,,6b627aa2-905c-4e1b-8626-847b49b7ae16,2025-07-04,22:49:37.98,2025-07-04T18:49:37.9890000-04:00,2025-07-04T22:49:37.9890000Z,,v3,1889,525,,"Isola, Alex",684576,Right,LAN,a434a394-692b-4483-986c-a792988c4c76,55.41847,-136.5703,15.07936,5.62041,-5.09127,-10.40619,1.52838,-7.60821,7.25401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-04,18:49:52.86,2,2,"Green, Max",676055,Left,LAN,"Blackwell, Benjamin",701295,Right,WES_POW,Undefined,1,Top,0,0,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.16913,-0.241605,1.471061,1428.693344,82.91068,8:45,5.38697,-1.49611,5.40363,-38.61396,-0.04646,-10.72477,1.94268,-1.01116,78.52935,-7.30146,-0.438906,0.446974,,,,,,,,,,,,5.80792,0.46051,1.37272,50,5.33861,-2.7388,-125.00443,-1.97103,9.12318,26.90652,-31.45068,LAN,WES_POW,ClipperMagazine,Independent,ATL,20250704-ClipperMagazine-1,33386330-5929-11f0-b582-abb2f05baa63,84.32807,,,7.63978,,,,,,,6b627aa2-905c-4e1b-8626-847b49b7ae16,2025-07-04,22:49:52.86,2025-07-04T18:49:52.8610000-04:00,2025-07-04T22:49:52.8610000Z,,v3,1889,525,,"Isola, Alex",684576,Right,LAN,fca50196-6505-4400-9b48-6c32be26f02a,55.094,-126.09612,13.45326,5.39269,-0.69497,-15.72534,1.49136,-3.10895,4.56159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-04,18:50:10.38,2,3,"Green, Max",676055,Left,LAN,"Blackwell, Benjamin",701295,Right,WES_POW,Undefined,1,Top,0,0,2,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.01109,-2.096889,3.204863,1457.15694,136.919879,10:30,5.3005,-1.4779,5.51259,-29.09269,8.7439,-6.96418,0.91138,0.94173,79.21819,-7.460544,1.965073,0.442718,,,,,,,,,,,,4.5011,5.41933,1.20318,50,5.09801,-6.75712,-125.98864,-5.63857,7.17591,27.53848,-23.53424,LAN,WES_POW,ClipperMagazine,Independent,ATL,20250704-ClipperMagazine-1,3dad1590-5929-11f0-b582-abb2f05baa63,85.13869,,,7.7929,,,,,,,6b627aa2-905c-4e1b-8626-847b49b7ae16,2025-07-04,22:50:10.38,2025-07-04T18:50:10.3890000-04:00,2025-07-04T22:50:10.3890000Z,,v3,1889,525,,"Isola, Alex",684576,Right,LAN,5661c4c2-c0bd-40f4-9692-5dd99d28893d,54.98515,-127.07362,13.76924,5.3019,-4.71135,-11.76712,1.47497,-7.03984,3.58796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-04,18:50:43.92,2,4,"Green, Max",676055,Left,LAN,"Blackwell, Benjamin",701295,Right,WES_POW,Undefined,1,Top,0,0,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.57489,-0.956028,1.565468,2414.454776,281.442819,3:30,5.38984,-1.45957,4.86943,-43.53243,-0.11232,6.88004,0.85701,0.59556,75.51814,-8.774915,2.778872,0.47426,,,,,,,,,,,,-3.01638,0.5185,1.2993,50,5.25845,-3.52585,-118.40193,-3.61386,-4.30202,21.61645,-31.43455,LAN,WES_POW,ClipperMagazine,Independent,ATL,20250704-ClipperMagazine-1,51a8e600-5929-11f0-b582-abb2f05baa63,79.47624,,,6.05675,,,,,,,6b627aa2-905c-4e1b-8626-847b49b7ae16,2025-07-04,22:50:43.92,2025-07-04T18:50:43.9210000-04:00,2025-07-04T22:50:43.9210000Z,,v3,1889,525,,"Isola, Alex",684576,Right,LAN,0148d0ee-649e-4c0c-87ab-26bd60bab3fa,55.63132,-119.42561,10.80823,5.39434,-2.12523,-15.71728,1.46145,-3.32212,-2.15101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-07-04,18:51:39.79,2,5,"Green, Max",676055,Left,LAN,"Blackwell, Benjamin",701295,Right,WES_POW,Undefined,1,Top,0,0,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,1,0,,97.35498,-1.001976,2.20732,2307.608908,147.114026,11:00,5.79545,-0.936,5.3646,-14.33394,15.91355,-9.63394,3.66063,0.33195,88.31979,-3.720175,0.496646,0.395837,,,,,,,,,,,,5.45024,8.55953,0.7448,50,5.69563,-4.9564,-141.12381,-2.9595,10.9372,33.59669,-14.99729,LAN,WES_POW,ClipperMagazine,Independent,ATL,20250704-ClipperMagazine-1,72ec8600-5929-11f0-b582-abb2f05baa63,95.22214,,,9.03519,,,,,,,6b627aa2-905c-4e1b-8626-847b49b7ae16,2025-07-04,22:51:39.79,2025-07-04T18:51:39.7930000-04:00,2025-07-04T22:51:39.7930000Z,,v3,1889,525,,"Isola, Alex",684576,Right,LAN,cb4c2ec8-d976-4061-ad17-9ade7527a64d,55.1315,-142.3402,16.79834,5.79295,-2.41651,-7.49865,0.93141,-5.35239,5.4686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-04,18:51:54.77,2,6,"Green, Max",676055,Left,LAN,"Blackwell, Benjamin",701295,Right,WES_POW,Undefined,1,Top,1,1,2,Undefined,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,98.31563,-1.164686,1.883839,2367.565186,141.791826,10:45,5.75421,-0.90749,5.3459,-14.8569,14.81749,-10.88044,3.42291,-0.04651,89.21231,-3.970627,-0.048333,0.392069,,,,,,,,,,,,5.96926,8.0478,0.74567,50,5.63895,-4.13469,-142.5333,-3.42593,12.21818,34.2972,-15.70139,LAN,WES_POW,ClipperMagazine,Independent,ATL,20250704-ClipperMagazine-1,7be4f8a0-5929-11f0-b582-abb2f05baa63,96.13729,,,9.10332,,,,,,,6b627aa2-905c-4e1b-8626-847b49b7ae16,2025-07-04,22:51:54.77,2025-07-04T18:51:54.7720000-04:00,2025-07-04T22:51:54.7720000Z,,v3,1889,525,,"Isola, Alex",684576,Right,LAN,3acf7e3c-bd44-4e80-b242-83f70a67acf2,55.15017,-143.76722,17.1486,5.75204,-2.86104,-7.8507,0.90233,-4.57427,6.10909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.09036,2.145547,1.080678,1.064868,-1.72476,3.19947,0.05225,-5.35785,3.21353,4.2212,79.7955,6.61327,44.98512,-5.25553,89.06959,-8.62077,3.28594,19.65667,-15.51042,4.18797,38.01356,0.27423,High,High,High,,,High,High,High
