PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-04,18:04:32.10,1,1,"Beggs, Dustin",657511,Right,LEX_LEG,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.21753,-2.576934,-2.161299,2071.556426,211.380057,1:00,6.22287,1.87701,5.47393,-22.02765,16.48292,9.24678,1.97238,0.62406,78.466,-6.692712,-0.51504,0.446644,72.67334,5.43947,-48.818512,3726.20678,,,,68.85823,65.0115,-50.479794,0.668687,-5.33697,9.4763,-1.69366,50,5.98151,4.32212,-124.90755,-6.33896,-8.37411,26.76294,-17.30507,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250704-WildHealthField-1,3f452fd0-592b-11f0-a940-935ff047665b,84.39039,3.41696,,7.75153,,,,2.4099,2.1895,-0.86662,69732d9b-0211-46a6-a7cb-152473eae433,2025-07-04,23:04:32.10,2025-07-04T18:04:32.1052160-05:00,2025-07-04T23:04:32.1052160Z,GroundBall,v3,495,5433,,"Bates, Austin",1000130823,Right,LEX_LEG,bd66279a-00d6-4dcd-b161-0ed2b9e8d4a6,55.02615,-125.97986,13.38147,6.2216,-5.6456,-8.65254,-1.87355,4.65765,-4.18706,,2.4099,69.86605,-13.90765,3.54891,-0.86956,0.18343,-0.03731,-0.01102,0.01039,2.1895,10.10386,-21.26352,2.08536,-0.34164,0.05691,-0.00886,-0.00262,0.00293,-0.86662,-79.85939,2.20674,0.76386,-0.39562,0.12789,-0.04076,0.01826,-0.00577,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-07-04,18:04:48.13,1,2,"Beggs, Dustin",657511,Right,LEX_LEG,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.14399,-3.489034,-1.969645,2133.770166,229.311535,1:45,6.1374,1.83229,5.62576,-25.52072,11.66607,12.21367,0.7489,1.01138,80.23771,-8.190121,0.213622,0.4389,,,,,,,,,,,,-6.78107,7.21615,-1.6726,50,5.82316,3.83863,-126.33188,-8.57112,-10.98671,25.12238,-20.48241,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250704-WildHealthField-1,48d108d0-592b-11f0-a940-935ff047665b,85.87932,,,6.90627,,,,,,,69732d9b-0211-46a6-a7cb-152473eae433,2025-07-04,23:04:48.13,2025-07-04T18:04:48.1386496-05:00,2025-07-04T23:04:48.1386496Z,,v3,495,5433,,"Bates, Austin",1000130823,Right,LEX_LEG,a725fef5-3adc-4cfb-8625-4626c5b5072a,54.87615,-127.29786,12.56119,6.13759,-7.78355,-10.24121,-1.82832,4.26108,-5.49335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-07-04,18:05:00.06,1,3,"Beggs, Dustin",657511,Right,LEX_LEG,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,87.86763,-2.577294,-1.738643,2143.670748,209.284677,1:00,6.31649,1.69169,5.58353,-19.00588,17.65391,9.23843,2.32302,0.83736,80.42946,-6.144375,-0.090261,0.435779,98.31118,33.378907,-26.292808,2444.838733,97.01095,66.90986,-51.8541,382.30204,382.30204,-31.765787,5.274778,-5.18355,10.02138,-1.5485,50,6.08256,3.4751,-127.44148,-6.33992,-8.5268,26.135,-15.68918,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250704-WildHealthField-1,4fead060-592b-11f0-a940-935ff047665b,86.49439,96.82559,,7.43818,,,,1.22491,2.20468,-0.75037,69732d9b-0211-46a6-a7cb-152473eae433,2025-07-04,23:05:00.06,2025-07-04T18:05:00.0614912-05:00,2025-07-04T23:05:00.0614912Z,FlyBall,v3,495,5433,,"Bates, Austin",1000130823,Right,LEX_LEG,5f067fdd-7e7b-4d4c-9e58-7a89fb4dc41a,54.91715,-128.4459,13.0675,6.31463,-5.73696,-7.84459,-1.68835,3.8028,-4.2634,161.985396,1.22719,107.90601,-22.09748,5.46995,-1.11671,0.19479,-0.02831,0.00289,-0.00014,2.2055,79.30722,-18.64509,0.85579,0.14062,-0.12176,0.03372,-0.00435,0.00021,-0.75094,-53.32546,6.5169,-1.39072,0.26142,-0.05005,0.00927,-0.00115,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-07-04,18:05:42.91,2,1,"Beggs, Dustin",657511,Right,LEX_LEG,"Racusin, Zach",685931,Right,SMD,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.89711,-0.514239,-0.027409,2554.397401,30.785835,7:00,6.14972,1.81671,5.09452,-63.22748,-9.19973,-6.44449,0.39613,1.25384,67.84513,-11.841067,-1.172908,0.529029,,,,,,,,,,,,3.25236,-4.1587,-1.8087,50,6.05042,0.28411,-105.91357,-3.03523,3.69473,18.07363,-36.8984,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250704-WildHealthField-1,6985d650-592b-11f0-a940-935ff047665b,71.24831,,,5.05199,,,,,,,69732d9b-0211-46a6-a7cb-152473eae433,2025-07-04,23:05:42.91,2025-07-04T18:05:42.9169664-05:00,2025-07-04T23:05:42.9169664Z,,v3,495,5433,,"Bates, Austin",1000130823,Right,LEX_LEG,ba7fb200-46fa-46be-bd20-013658078df2,55.411,-106.83294,9.03681,6.15708,-1.15828,-18.4492,-1.81837,0.09616,1.84737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-04,18:05:54.78,2,2,"Beggs, Dustin",657511,Right,LEX_LEG,"Racusin, Zach",685931,Right,SMD,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.86604,-3.532531,-2.985477,2376.265064,203.758512,12:45,6.37104,1.53532,5.62612,-16.13544,20.59092,8.53422,1.72137,-0.54192,80.39864,-6.58758,-1.464101,0.436175,,,,,,,,,,,,-5.14453,11.77174,-1.28627,50,6.05909,6.26709,-127.20504,-8.33285,-8.43644,25.88752,-12.86979,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250704-WildHealthField-1,708dc390-592b-11f0-a940-935ff047665b,86.41595,,,7.4674,,,,,,,69732d9b-0211-46a6-a7cb-152473eae433,2025-07-04,23:05:54.78,2025-07-04T18:05:54.7862528-05:00,2025-07-04T23:05:54.7862528Z,,v3,495,5433,,"Bates, Austin",1000130823,Right,LEX_LEG,b914df13-5f14-4b61-a3f4-e49667b195f2,54.87352,-128.19301,12.94376,6.36773,-7.84169,-6.4349,-1.53159,6.58907,-4.21822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-04,18:06:07.75,2,3,"Beggs, Dustin",657511,Right,LEX_LEG,"Racusin, Zach",685931,Right,SMD,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.48522,-3.220038,-3.160692,2271.123945,201.348839,12:45,6.23361,1.65,5.62308,-15.83359,20.64446,7.57095,1.90144,-0.67165,80.34578,-6.238566,-1.811648,0.434698,77.56056,53.454512,40.602751,,68.77489,106.70224,85.84878,199.71355,107.02619,55.224565,5.25465,-4.79418,11.81194,-1.38528,50,5.94856,6.74301,-128.02795,-7.67018,-7.89887,28.24386,-12.71283,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250704-WildHealthField-1,784a33c0-592b-11f0-a940-935ff047665b,86.70954,106.83389,,8.13944,,,,0.76406,1.94644,0.38583,69732d9b-0211-46a6-a7cb-152473eae433,2025-07-04,23:06:07.75,2025-07-04T18:06:07.7572096-05:00,2025-07-04T23:06:07.7572096Z,FlyBall,v3,495,5433,,"Bates, Austin",1000130823,Right,LEX_LEG,97a84c0b-c8f3-4176-a2d6-742d1d8777b3,54.8763,-129.09922,14.12193,6.23034,-7.188,-6.35642,-1.64672,7.04261,-3.94944,203.100524,0.7683,51.3099,-17.16763,4.37581,-0.24449,-0.27603,0.1001,-0.01403,0.00072,1.93788,91.54961,-24.17827,2.83514,-0.74533,0.16155,-0.01515,-0.00052,0.00012,0.38382,44.12082,-5.0979,0.96806,-0.20958,0.05624,-0.01214,0.00152,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2025-07-04,18:06:33.56,2,4,"Beggs, Dustin",657511,Right,LEX_LEG,"Racusin, Zach",685931,Right,SMD,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.44227,-0.653439,-1.946823,2683.996118,32.716613,7:00,6.2064,1.83325,4.75883,-63.75358,-13.36524,-9.65083,0.27357,-0.81784,70.42163,-12.000965,-3.649831,0.510901,,,,,,,,,,,,4.18772,-6.03099,-1.62874,50,6.08382,4.15407,-110.80959,-3.59036,5.14556,21.97406,-39.58452,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250704-WildHealthField-1,87b5f4c0-592b-11f0-a940-935ff047665b,73.77645,,,6.02064,,,,,,,69732d9b-0211-46a6-a7cb-152473eae433,2025-07-04,23:06:33.56,2025-07-04T18:06:33.5622656-05:00,2025-07-04T23:06:33.5622656Z,,v3,495,5433,,"Bates, Austin",1000130823,Right,LEX_LEG,3db33aa9-16c0-4233-b598-335ab38c94f3,55.74588,-111.94323,10.98703,6.21637,-1.54821,-19.79226,-1.8362,3.88861,2.57278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-04,18:06:46.11,2,5,"Beggs, Dustin",657511,Right,LEX_LEG,"Racusin, Zach",685931,Right,SMD,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.28512,-2.464608,-3.97071,2290.980535,203.102041,12:45,6.42771,1.62754,5.59725,-15.80032,19.88178,7.9776,2.80296,-1.42088,81.41877,-5.466239,-2.552215,0.429929,,,,,,,,,,,,-5.1576,11.11194,-1.29196,50,6.20583,8.61955,-129.21979,-6.04328,-8.70945,27.24764,-13.40981,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250704-WildHealthField-1,8f2926f0-592b-11f0-a940-935ff047665b,87.67131,,,7.86635,,,,,,,69732d9b-0211-46a6-a7cb-152473eae433,2025-07-04,23:06:46.11,2025-07-04T18:06:46.1121536-05:00,2025-07-04T23:06:46.1121536Z,,v3,495,5433,,"Bates, Austin",1000130823,Right,LEX_LEG,a685e013-11d0-4869-8106-f08ace2205f5,54.9023,-130.2494,13.62382,6.42461,-5.53656,-6.70491,-1.62388,8.94865,-4.35472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-07-04,18:07:17.48,2,6,"Beggs, Dustin",657511,Right,LEX_LEG,"Racusin, Zach",685931,Right,SMD,Undefined,1,Top,0,3,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.04445,-1.464897,-1.799181,2316.321268,135.350697,10:30,6.08549,2.17801,5.45991,-38.98478,3.74295,-2.54185,1.46456,0.28151,75.54154,-8.541075,-2.252226,0.470464,,,,,,,,,,,,0.85366,2.59851,-2.01761,50,5.92934,3.79936,-117.76385,-4.35023,1.21428,19.66301,-28.47789,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250704-WildHealthField-1,a1e28c50-592b-11f0-a940-935ff047665b,80.11759,,,5.50291,,,,,,,69732d9b-0211-46a6-a7cb-152473eae433,2025-07-04,23:07:17.48,2025-07-04T18:07:17.4830000-05:00,2025-07-04T23:07:17.4830000Z,,v3,495,5433,,"Bates, Austin",1000130823,Right,LEX_LEG,2c2d2e3f-f430-4ed8-b30e-0b59f44ed433,55.04247,-118.6028,9.83151,6.08903,-3.13518,-14.23894,-2.17862,3.74755,0.60714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.79664,,,1.520117,,,,-0.57073,6.66177,-2.64542,70.01798,7.46216,-54.7837,-0.49323,50.51891,-2.72468,6.78311,23.24268,-15.00429,-2.72598,-38.07662,2.5257,High,High,High,,,High,High,High
10,2025-07-04,18:07:48.93,3,1,"Beggs, Dustin",657511,Right,LEX_LEG,"De Aza, Alejandro",457477,Left,SMD,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.5705,-1.799047,-2.286733,2231.648841,202.412126,12:45,6.29574,1.47122,5.60197,-16.91406,19.33796,7.46894,3.20481,-0.04233,80.48674,-5.014716,-0.954843,0.433349,73.57819,38.786535,-161.928034,2958.101812,-104.82399,49.90141,-33.34494,228.29942,98.05068,-164.16879,3.149958,-4.47362,10.70028,-1.28034,50,6.13093,4.80503,-128.40272,-4.54473,-7.42498,28.04262,-14.41461,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250704-WildHealthField-1,b49980b0-592b-11f0-a940-935ff047665b,86.9795,49.96517,,8.08376,,,,1.7408,3.25556,0.02487,69732d9b-0211-46a6-a7cb-152473eae433,2025-07-04,23:07:48.93,2025-07-04T18:07:48.9327104-05:00,2025-07-04T23:07:48.9327104Z,FlyBall,v3,495,5433,,"Bates, Austin",1000130823,Right,LEX_LEG,8cf49e4f-16af-489a-bb85-7014a048900a,54.8978,-129.46796,14.02131,6.29317,-3.99717,-7.2073,-1.46823,5.08707,-3.71249,1.812355,1.74106,-79.97797,4.01806,-0.63097,0.30172,-0.17692,0.068,-0.01304,0.00095,3.25553,67.60148,-28.31604,3.60725,-0.84541,0.20497,-0.05198,0.01,-0.00086,0.02513,-26.10442,1.63942,0.09423,0.13032,-0.13932,0.06065,-0.01184,0.00085,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
