PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-06,17:04:35.59,1,1,"Imhoff, Anthony",801991,Left,HAG_FLY,"Roller, Chris",676896,Right,LI,Undefined,1,Top,0,0,0,Undefined,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,,78.82255,-2.003401,4.882718,1916.351548,144.230197,10:45,6.52067,-3.53854,6.26903,-28.07923,16.53525,-10.86599,2.32635,0.06819,72.26015,-7.277214,2.928272,0.480739,100.40465,29.122019,-26.865784,2518.557894,96.25485,51.08397,-53.24449,370.47286,300.9968,-36.6297,4.1892,7.05993,9.59465,3.18196,50,6.35815,-9.3755,-114.13057,-4.75085,9.30696,21.11109,-19.52563,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20250706-HagerstownBallpark-1,cc777160-5aac-11f0-b2e0-fd18c13438a0,78.40523,67.64016,,6.5624,,,,3.01263,2.50053,0.11015,3d5880d7-bb62-4c95-9514-9cba9c893b4b,2025-07-06,21:04:35.59,2025-07-06T17:04:35.5932672-04:00,2025-07-06T21:04:35.5932672Z,FlyBall,v3,6089,1896,,"Black, Mark",691773,Right,HAG_FLY,9d586fdb-f5f1-4983-8d09-792076705ec8,54.22958,-114.91027,10.55554,6.52029,-4.02971,-9.76281,3.53457,-9.71923,4.65348,,3.01235,114.76356,-19.94938,4.37742,-1.05626,0.28773,-0.0697,0.01014,-0.0006,2.5009,71.65941,-23.4645,2.81823,-0.55783,0.06183,0.00355,-0.00152,0.0001,0.11168,-58.17851,1.82122,-0.59617,0.422,-0.1802,0.04414,-0.00581,0.00031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-07-06,17:05:14.24,2,1,"Imhoff, Anthony",801991,Left,HAG_FLY,"Town, River",701817,Left,LI,Undefined,1,Top,0,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.89514,0.358383,4.185791,1932.088817,340.059814,5:15,6.57363,-3.31255,5.88154,-61.75688,-3.73355,2.06591,1.76093,0.75366,64.17634,-10.926634,4.55577,0.548243,,,,,,,,,,,,0.25512,-1.39807,2.97295,50,6.56746,-7.47744,-101.22801,-1.12008,0.26156,18.35283,-33.60753,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20250706-HagerstownBallpark-1,e392f860-5aac-11f0-b2e0-fd18c13438a0,68.75139,,,5.7188,,,,,,,3d5880d7-bb62-4c95-9514-9cba9c893b4b,2025-07-06,21:05:14.24,2025-07-06T17:05:14.2456320-04:00,2025-07-06T21:05:14.2456320Z,,v3,6089,1896,,"Black, Mark",691773,Right,HAG_FLY,d6bd8e5a-6719-4178-ae39-18634d2a0a25,54.61678,-102.06161,9.17642,6.58367,0.4064,-16.80377,3.31285,-7.48933,0.13078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-07-06,17:05:28.48,2,2,"Imhoff, Anthony",801991,Left,HAG_FLY,"Town, River",701817,Left,LI,Undefined,1,Top,0,1,0,Undefined,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,65.43152,2.073984,2.677904,2108.869834,308.871051,4:15,6.40969,-3.63657,6.29827,-75.30563,-10.54918,15.6078,2.04806,0.13323,60.57929,-11.753364,5.500711,0.579179,86.97451,31.862635,-12.990934,3483.922368,104.91795,55.53523,-33.04865,317.04876,295.9755,-26.456862,4.328415,-7.3441,-5.59292,3.4324,50,6.52629,-4.89437,-95.04134,1.57112,-6.65186,15.89386,-37.23977,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20250706-HagerstownBallpark-1,ec13ca00-5aac-11f0-b2e0-fd18c13438a0,65.07906,66.87651,,4.85223,,,,1.91333,2.21036,-0.07867,3d5880d7-bb62-4c95-9514-9cba9c893b4b,2025-07-06,21:05:28.48,2025-07-06T17:05:28.4899840-04:00,2025-07-06T21:05:28.4899840Z,FlyBall,v3,6089,1896,,"Black, Mark",691773,Right,HAG_FLY,0eb277ce-4b7a-4c32-aacf-f5a64d140fc3,54.20512,-95.74199,7.94693,6.42084,3.21275,-18.61989,3.6417,-4.60114,-3.32593,129.567058,1.91349,105.56656,-17.99591,3.92987,-0.92584,0.25114,-0.0635,0.00993,-0.00063,2.21088,67.32341,-20.00364,1.57135,-0.08486,-0.09908,0.04376,-0.00731,0.00044,-0.07798,-24.37376,-4.79854,1.36972,-0.26979,0.03983,-0.00602,0.0008,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-07-06,17:05:58.90,3,1,"Imhoff, Anthony",801991,Left,HAG_FLY,"Castillo, Ivan",622668,Right,LI,Undefined,1,Top,1,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.34758,-0.688303,5.281091,1602.842419,114.866214,9:45,6.38939,-3.73629,5.98393,-40.31679,7.56473,-13.13119,2.38895,0.07819,70.37689,-8.122412,2.932138,0.49803,,,,,,,,,,,,8.12481,4.54288,3.32541,50,6.3126,-9.74723,-110.53318,-2.51638,10.09898,18.83346,-26.52732,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20250706-HagerstownBallpark-1,fe0b17e0-5aac-11f0-b2e0-fd18c13438a0,75.68309,,,5.97069,,,,,,,3d5880d7-bb62-4c95-9514-9cba9c893b4b,2025-07-06,21:05:58.90,2025-07-06T17:05:58.9050880-04:00,2025-07-06T21:05:58.9050880Z,,v3,6089,1896,,"Black, Mark",691773,Right,HAG_FLY,66d151a3-a0f9-4860-9421-1769625f46d7,54.5142,-111.29969,9.41673,6.39304,-1.43674,-13.26366,3.73048,-10.15825,5.04949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-06,17:06:13.27,3,2,"Imhoff, Anthony",801991,Left,HAG_FLY,"Castillo, Ivan",622668,Right,LI,Undefined,1,Top,1,0,1,Undefined,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,65.29105,1.503272,2.40679,2100.882009,319.394399,4:45,6.38945,-3.562,6.08457,-76.82831,-11.39178,11.51997,1.37933,-0.37416,60.61691,-12.524764,4.485988,0.582212,90.72544,-20.035801,-29.82222,,,,,5.47018,5.47018,-16.850633,0.031929,-5.2589,-5.82209,3.37001,50,6.46481,-4.32618,-94.86185,0.51287,-4.75166,15.65252,-37.43455,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20250706-HagerstownBallpark-1,06c91990-5aad-11f0-b2e0-fd18c13438a0,64.74001,1.45735,,4.67414,,,,1.76825,1.45735,0.40171,3d5880d7-bb62-4c95-9514-9cba9c893b4b,2025-07-06,21:06:13.27,2025-07-06T17:06:13.2750336-04:00,2025-07-06T21:06:13.2750336Z,GroundBall,v3,6089,1896,,"Black, Mark",691773,Right,HAG_FLY,a711e39f-e5fe-4e45-b98a-ee9e8c36cc09,54.41891,-95.58821,7.82626,6.4007,2.25002,-18.71727,3.56566,-4.10569,-2.37583,,1.76758,108.58671,,,,,,,,1.45763,-45.64365,,,,,,,,0.40209,-62.24413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2025-07-06,17:06:51.46,4,1,"Imhoff, Anthony",801991,Left,HAG_FLY,"Viola, Troy",802112,Right,LI,Undefined,1,Top,2,0,0,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.39623,3.625678,1.986952,2101.354906,317.820907,4:30,6.45539,-3.39877,5.68982,-80.54835,-11.9319,12.82749,3.12869,-0.47724,59.23081,-11.050171,4.279828,0.596191,,,,,,,,,,,,-5.84709,-6.35256,3.22381,50,6.71119,-3.65152,-93.34718,3.69548,-5.10838,15.34381,-37.72403,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20250706-HagerstownBallpark-1,1d758b10-5aad-11f0-b2e0-fd18c13438a0,63.22207,,,5.16542,,,,,,,3d5880d7-bb62-4c95-9514-9cba9c893b4b,2025-07-06,21:06:51.46,2025-07-06T17:06:51.4699776-04:00,2025-07-06T21:06:51.4699776Z,,v3,6089,1896,,"Black, Mark",691773,Right,HAG_FLY,ee6d80e8-f8ae-492d-a01e-5a3cf6911867,54.81282,-94.13496,7.6719,6.47175,5.63229,-18.86202,3.40455,-3.38925,-2.55419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-06,17:07:05.91,4,2,"Imhoff, Anthony",801991,Left,HAG_FLY,"Viola, Troy",802112,Right,LI,Undefined,1,Top,2,0,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.07929,-1.130157,3.541282,2105.184224,151.299013,11:00,6.80983,-3.3445,6.19473,-24.94864,17.29906,-8.70741,3.68531,-0.79671,73.97594,-5.848786,1.973621,0.467814,,,,,,,,,,,,5.49914,9.69375,3.08183,50,6.71196,-6.94878,-117.55889,-2.99361,7.67301,22.89834,-18.64825,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20250706-HagerstownBallpark-1,25f4fd20-5aad-11f0-b2e0-fd18c13438a0,80.57148,,,7.10334,,,,,,,3d5880d7-bb62-4c95-9514-9cba9c893b4b,2025-07-06,21:07:05.91,2025-07-06T17:07:05.9168256-04:00,2025-07-06T21:07:05.9168256Z,,v3,6089,1896,,"Black, Mark",691773,Right,HAG_FLY,2247844c-35b9-4274-9cd2-097ab3196055,54.30094,-118.39367,11.44917,6.8087,-2.31377,-9.32412,3.34025,-7.2285,3.83651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-06,17:07:21.74,4,3,"Imhoff, Anthony",801991,Left,HAG_FLY,"Viola, Troy",802112,Right,LI,Undefined,1,Top,2,1,1,Undefined,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,76.57637,-0.917655,4.434644,1620.026997,117.70496,10:00,6.33971,-3.63189,6.11115,-39.10837,8.03193,-12.60568,2.22957,-0.57371,70.80615,-8.14555,2.169358,0.49416,99.62987,31.730455,-6.226459,2557.332794,109.44037,64.95889,-11.07533,390.96967,388.54241,-6.882003,5.457691,7.7102,4.7974,3.29779,50,6.24842,-8.18318,-111.06284,-2.89921,9.69282,18.68374,-26.14304,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20250706-HagerstownBallpark-1,2f7febc0-5aad-11f0-b2e0-fd18c13438a0,76.27578,98.73079,,5.77022,,,,1.59502,2.28899,0.59129,3d5880d7-bb62-4c95-9514-9cba9c893b4b,2025-07-06,21:07:21.74,2025-07-06T17:07:21.7421824-04:00,2025-07-06T21:07:21.7421824Z,FlyBall,v3,6089,1896,,"Black, Mark",691773,Right,HAG_FLY,0800a9f5-f761-4b80-93aa-e9c924d37ab8,54.38869,-111.79869,9.34187,6.34233,-1.86957,-13.07152,3.6276,-8.56493,4.84641,181.338389,1.59971,123.46296,-24.19896,5.62092,-0.99303,0.13449,-0.01505,0.0014,-7E-05,2.28769,76.86476,-16.68716,0.46373,0.18441,-0.12124,0.03307,-0.00427,0.00021,0.59064,-13.46671,2.96716,-0.92839,0.21043,-0.03539,0.00399,-0.00027,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-07-06,17:10:10.74,1,1,"Beede, Tyler",595881,Right,LI,"Williams, Tyler",1000053915,Right,HAG_FLY,Undefined,1,Bottom,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.05497,-3.066495,-4.159423,2179.106608,228.367593,1:30,5.62583,1.82929,5.56334,-19.92745,14.53957,15.04127,1.09018,-0.80985,82.93532,-6.791499,-1.484152,0.422545,,,,,,,,,,,,-8.87252,8.5991,-1.48029,50,5.34752,8.9138,-131.69017,-7.74719,-15.51542,29.06357,-17.13672,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20250706-HagerstownBallpark-1,94324590-5aad-11f0-b2e0-fd18c13438a0,89.20328,,,8.11965,,,,,,,3d5880d7-bb62-4c95-9514-9cba9c893b4b,2025-07-06,21:10:10.74,2025-07-06T17:10:10.7428352-04:00,2025-07-06T21:10:10.7428352Z,,v3,6089,1896,,"Flores, Bernardo",641576,Left,LI,89546fc5-6d1c-4e0d-bd37-09f087215f98,54.93536,-132.77492,14.53179,5.62473,-7.10759,-8.56836,-1.82379,9.49289,-7.75771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-06,17:10:27.68,1,2,"Beede, Tyler",595881,Right,LI,"Williams, Tyler",1000053915,Right,HAG_FLY,Undefined,1,Bottom,0,1,0,Undefined,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,90.08042,-0.936888,-3.80495,2206.901169,239.148324,2:00,5.63246,1.88464,5.60255,-24.38301,10.30674,15.50587,2.72393,-0.38041,82.78761,-5.451195,-1.043516,0.423908,101.18436,23.362286,-5.269588,2219.751288,109.83038,43.64348,-6.10154,376.48923,375.93809,-0.148855,4.360252,-8.90567,5.7776,-1.56912,50,5.53628,8.02176,-130.66074,-3.00125,-15.49516,25.86363,-22.12149,HAG_FLY,LI,HagerstownBallpark,Independent,ATL,20250706-HagerstownBallpark-1,9e4af540-5aad-11f0-b2e0-fd18c13438a0,88.9165,61.09149,,7.2928,,,,1.93856,2.82973,0.37969,3d5880d7-bb62-4c95-9514-9cba9c893b4b,2025-07-06,21:10:27.68,2025-07-06T17:10:27.6876288-04:00,2025-07-06T21:10:27.6876288Z,FlyBall,v3,6089,1896,,"Flores, Bernardo",641576,Left,LI,9ac89b82-842d-4864-9541-1ec2663487df,54.89753,-131.62661,12.93182,5.63294,-2.17513,-11.06075,-1.87949,8.60042,-7.74758,209.971928,1.93825,135.67386,-22.83926,5.18695,-1.22519,0.31846,-0.07474,0.01102,-0.00068,2.83083,58.81456,-15.70805,0.10742,0.44927,-0.26044,0.07894,-0.01176,0.00068,0.37927,-12.50683,7.89468,-2.71044,0.72529,-0.16804,0.03251,-0.00407,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
