PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-06,13:06:15.59,1,1,"Laio, Nic",681970,Right,LEX_LEG,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.78782,-1.925995,-2.879932,2079.842283,211.547534,1:00,6.16932,3.19106,5.99125,-17.39296,16.25296,9.35249,2.932,1.29913,83.42913,-5.212987,-1.200818,0.417482,,,,,,,,,,,,-5.59496,9.19079,-2.96911,50,6.00761,6.24329,-131.79483,-4.96659,-9.89575,26.54799,-15.91841,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250706-WildHealthField-1,e8f2bd40-5a93-11f0-a940-935ff047665b,90.28523,,,7.3587,,,,,,,20f5ed58-880c-432a-bdd9-61a629f0d546,2025-07-06,18:06:15.59,2025-07-06T13:06:15.5918336-05:00,2025-07-06T18:06:15.5918336Z,,v3,495,5433,,"Quiroz, Isaias",657728,Right,LEX_LEG,e33d948d-3761-457e-98ce-fb3b48c62cbf,54.51058,-132.70031,13.27399,6.16775,-4.42366,-7.95921,-3.18781,6.58081,-4.94787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-07-06,13:06:29.03,1,2,"Laio, Nic",681970,Right,LEX_LEG,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,89.44143,-2.67247,-4.948733,2123.134593,209.361902,1:00,6.06357,3.25157,6.34269,-18.26808,16.00355,8.43536,2.06984,-0.61287,82.5463,-6.12331,-3.430735,0.421346,99.18005,27.468884,7.798447,3052.648841,108.03415,51.97938,20.70212,404.50914,380.31036,17.675931,4.910334,-5.65126,9.33457,-2.89475,50,5.85956,10.89046,-129.55821,-6.58608,-9.69899,24.59679,-16.15351,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250706-WildHealthField-1,f0eea770-5a93-11f0-a940-935ff047665b,89.45718,76.50083,,6.89513,,,,0.79804,2.01018,0.64331,20f5ed58-880c-432a-bdd9-61a629f0d546,2025-07-06,18:06:29.03,2025-07-06T13:06:29.0327040-05:00,2025-07-06T18:06:29.0327040Z,FlyBall,v3,495,5433,,"Quiroz, Isaias",657728,Right,LEX_LEG,e1bb51e2-3a32-4959-812b-d4d8301533e0,54.15915,-130.34544,12.29839,6.06207,-6.06908,-8.07676,-3.24827,11.20087,-4.84949,214.909953,0.7993,127.84477,-21.32561,4.54561,-0.8395,0.13616,-0.02189,0.00287,-0.00017,2.01101,67.07924,-16.78529,0.91847,-0.03256,-0.06067,0.02647,-0.00437,0.00026,0.64323,17.51924,4.3199,-1.2256,0.20265,-0.00708,-0.00406,0.00072,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-07-06,13:07:15.23,2,1,"Laio, Nic",681970,Right,LEX_LEG,"Hubbard, Dondrei",678538,Right,SMD,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.63084,-1.507649,-3.979442,2083.935012,200.207621,12:45,6.14178,3.16553,6.14661,-17.62367,16.11493,5.54449,3.27628,-0.05561,82.99457,-4.851204,-2.9835,0.418056,,,,,,,,,,,,-3.92469,9.04674,-2.86479,50,6.01742,8.9073,-131.39043,-3.97678,-6.87987,27.11164,-16.31532,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250706-WildHealthField-1,0c626500-5a94-11f0-a940-935ff047665b,90.16112,,,7.63627,,,,,,,20f5ed58-880c-432a-bdd9-61a629f0d546,2025-07-06,18:07:15.23,2025-07-06T13:07:15.2390000-05:00,2025-07-06T18:07:15.2390000Z,,v3,495,5433,,"Quiroz, Isaias",657728,Right,LEX_LEG,de1dfe2b-1881-42ac-b313-7d9dfd67b0b0,54.35257,-132.28551,13.55582,6.13982,-3.43814,-8.15766,-3.16261,9.13444,-3.43993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.39451,,1.895526,,-2.29168,2.9522,0.24663,-4.39324,4.84738,-0.16073,,,,-4.23383,79.0982,-5.15381,4.9297,18.35481,-13.44202,-0.1806,1.15498,0.51699,High,High,High,,,High,High,Medium
4,2025-07-06,13:07:36.84,2,2,"Laio, Nic",681970,Right,LEX_LEG,"Hubbard, Dondrei",678538,Right,SMD,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,89.57605,-2.319311,-3.89641,2126.736417,207.483737,1:00,6.11468,3.31437,6.41762,-18.81347,15.60564,7.52063,2.40855,0.35344,81.61615,-5.904803,-2.537682,0.422252,97.98675,29.566058,-1.521434,3321.842686,109.97938,57.53045,2.11795,388.0625,386.76444,9.120947,5.09038,-5.08528,9.18225,-3.03906,50,5.93993,8.54889,-129.82081,-5.78856,-8.63491,28.45195,-16.58245,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250706-WildHealthField-1,195c3ba0-5a94-11f0-a940-935ff047665b,89.26537,84.42594,,7.95989,,,,1.81719,2.42873,-0.37007,20f5ed58-880c-432a-bdd9-61a629f0d546,2025-07-06,18:07:36.84,2025-07-06T13:07:36.8470016-05:00,2025-07-06T18:07:36.8470016Z,FlyBall,v3,495,5433,,"Quiroz, Isaias",657728,Right,LEX_LEG,6fe1c358-e393-47b1-9623-9f1d91ce1045,54.0828,-130.71255,14.22597,6.11321,-5.26883,-8.29123,-3.31123,8.81953,-4.31746,209.867028,1.81762,124.95047,-22.18913,5.23361,-1.17555,0.25415,-0.04576,0.00524,-0.00026,2.43013,70.8792,-17.07265,0.78548,0.11719,-0.11447,0.03336,-0.00446,0.00023,-0.37029,-3.31488,7.1568,-1.76777,0.39768,-0.08113,0.01337,-0.00143,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-07-06,13:08:27.42,3,1,"Laio, Nic",681970,Right,LEX_LEG,"Wilson, Ethan",681159,Left,SMD,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.60318,-2.162933,-4.051256,1874.10579,219.79643,1:15,5.90449,3.44767,6.03734,-28.55435,12.24938,9.13859,1.51618,0.4516,75.9717,-7.472058,-2.411199,0.459749,,,,,,,,,,,,-5.83894,7.28209,-3.13606,50,5.71967,8.1378,-119.7183,-5.38888,-8.49468,22.58746,-21.57983,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250706-WildHealthField-1,3785ca60-5a94-11f0-a940-935ff047665b,81.98473,,,6.63147,,,,,,,20f5ed58-880c-432a-bdd9-61a629f0d546,2025-07-06,18:08:27.42,2025-07-06T13:08:27.4222080-05:00,2025-07-06T18:08:27.4222080Z,,v3,495,5433,,"Quiroz, Isaias",657728,Right,LEX_LEG,d1bf802a-1c16-454d-8eeb-3e174bc4f28a,54.46411,-120.55761,11.29373,5.90501,-4.58701,-10.78992,-3.44431,8.45345,-4.24734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-06,13:08:45.52,3,2,"Laio, Nic",681970,Right,LEX_LEG,"Wilson, Ethan",681159,Left,SMD,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.75479,-3.023748,-2.773186,2001.026046,218.979234,1:15,5.94553,3.35294,6.16269,-24.46324,14.05009,10.39182,1.10775,1.65509,77.98535,-7.597497,-0.899426,0.44666,,,,,,,,,,,,-6.1613,8.46548,-3.14779,50,5.70308,5.56306,-122.94291,-7.21976,-9.45437,23.78775,-19.18393,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250706-WildHealthField-1,4254aab0-5a94-11f0-a940-935ff047665b,84.38736,,,6.76945,,,,,,,20f5ed58-880c-432a-bdd9-61a629f0d546,2025-07-06,18:08:45.52,2025-07-06T13:08:45.5287296-05:00,2025-07-06T18:08:45.5287296Z,,v3,495,5433,,"Quiroz, Isaias",657728,Right,LEX_LEG,5446ea54-f0eb-482c-a9b1-7a523e420371,54.33876,-123.77956,11.89388,5.94515,-6.54503,-9.59197,-3.34929,5.89558,-4.72719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-06,13:09:05.92,3,3,"Laio, Nic",681970,Right,LEX_LEG,"Wilson, Ethan",681159,Left,SMD,Undefined,1,Top,0,2,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.64546,-0.947778,-4.167414,1862.484812,94.416574,9:15,5.87567,3.31093,5.53509,-47.27093,2.07453,-3.3213,1.04807,-0.86818,69.50957,-9.585666,-4.757856,0.505586,,,,,,,,,,,,0.27795,1.83476,-2.94623,50,5.76178,8.19806,-110.80659,-3.34187,0.3384,23.63059,-29.94026,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250706-WildHealthField-1,4e7b2bc0-5a94-11f0-a940-935ff047665b,74.55197,,,7.1359,,,,,,,20f5ed58-880c-432a-bdd9-61a629f0d546,2025-07-06,18:09:05.92,2025-07-06T13:09:05.9207680-05:00,2025-07-06T18:09:05.9207680Z,,v3,495,5433,,"Quiroz, Isaias",657728,Right,LEX_LEG,cb0445ee-55e4-4fed-bdfa-fb5a38b1263a,54.9646,-111.86033,11.8153,5.88103,-2.00677,-14.97013,-3.31146,8.18297,0.1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-06,13:09:26.80,3,4,"Laio, Nic",681970,Right,LEX_LEG,"Wilson, Ethan",681159,Left,SMD,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.13325,-3.285835,-4.339281,2131.953697,209.065733,1:00,6.12039,3.07866,6.13695,-19.44103,14.16398,7.26229,1.45134,-0.33435,83.35528,-6.943295,-3.035115,0.417228,,,,,,,,,,,,-4.99957,8.59004,-2.75073,50,5.85859,9.70926,-131.87882,-8.18713,-8.7914,28.44599,-17.06908,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250706-WildHealthField-1,5ae76860-5a94-11f0-a940-935ff047665b,90.34014,,,7.77797,,,,,,,20f5ed58-880c-432a-bdd9-61a629f0d546,2025-07-06,18:09:26.80,2025-07-06T13:09:26.8026880-05:00,2025-07-06T18:09:26.8026880Z,,v3,495,5433,,"Quiroz, Isaias",657728,Right,LEX_LEG,092c93a3-be0d-448b-997d-625c124235f3,54.36391,-132.81677,14.223,6.11927,-7.62431,-8.53454,-3.07565,9.99913,-4.3957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-07-06,13:09:49.77,3,5,"Laio, Nic",681970,Right,LEX_LEG,"Wilson, Ethan",681159,Left,SMD,Undefined,1,Top,0,3,1,Slider,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,77.90131,0.372197,-5.059222,1909.994366,105.812872,9:30,5.86509,3.33513,5.75084,-44.29932,2.64264,-3.83984,2.52135,-1.70714,71.15528,-7.753147,-5.741843,0.493119,,,,,,,,,,,,0.42205,1.71185,-2.91159,50,5.86929,10.11758,-112.64916,-0.66289,0.53785,22.03112,-29.99239,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250706-WildHealthField-1,6887df40-5a94-11f0-a940-935ff047665b,76.43675,,,6.74603,,,,,,,20f5ed58-880c-432a-bdd9-61a629f0d546,2025-07-06,18:09:49.77,2025-07-06T13:09:49.7794560-05:00,2025-07-06T18:09:49.7794560Z,,v3,495,5433,,"Quiroz, Isaias",657728,Right,LEX_LEG,60a0f251-40a7-4e77-b9f6-a87cc43c3987,54.74865,-113.57408,11.01556,5.87069,0.59625,-14.99619,-3.33588,10.095,0.26892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-06,13:10:21.93,4,1,"Laio, Nic",681970,Right,LEX_LEG,"Baylor, Jamari",687072,Right,SMD,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.09989,-0.433598,-3.885228,1938.679479,77.320784,8:30,5.86455,3.26452,5.51982,-46.5227,0.53228,-4.6826,1.5813,-0.76398,71.38638,-8.915264,-4.717549,0.493713,,,,,,,,,,,,1.16992,0.86803,-2.9225,50,5.79567,7.85967,-113.06688,-2.39179,1.49885,22.60085,-31.06195,LEX_LEG,SMD,WildHealthField,Independent,ATL,20250706-WildHealthField-1,7bcc6da0-5a94-11f0-a940-935ff047665b,76.3449,,,6.71351,,,,,,,20f5ed58-880c-432a-bdd9-61a629f0d546,2025-07-06,18:10:21.93,2025-07-06T13:10:21.9394560-05:00,2025-07-06T18:10:21.9394560Z,,v3,495,5433,,"Quiroz, Isaias",657728,Right,LEX_LEG,b3ce16a9-4363-4bab-891a-a523be07f512,54.98025,-114.05804,11.30043,5.87069,-1.02958,-15.53097,-3.26574,7.79393,0.74943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
