PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-10,16:59:31.86,1,1,"McCollough, Luke",1000097980,Right,LAN,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,0,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.33232,-1.96512,-2.590965,2333.285783,236.908343,2:00,5.87933,1.71513,5.25283,-22.90462,12.25205,17.05465,2.12152,0.70015,82.57226,-6.197935,0.43295,0.426752,,,,,,,,,,,,-9.29406,7.01607,-1.49075,50,5.68222,5.14718,-130.94679,-5.33547,-16.12729,27.81268,-19.99958,LAN,SMD,ClipperMagazine,Independent,ATL,20250710-ClipperMagazine-1,c7489990-5dd0-11f0-adb1-4daea1e0ad50,88.32403,,,7.76005,,,,,,,fbc3e0e2-6e8b-41e5-993b-0c3f515ec8b7,2025-07-10,20:59:31.86,2025-07-10T16:59:31.8635008-04:00,2025-07-10T20:59:31.8635008Z,,v3,1889,5433,,"Isola, Alex",684576,Right,LAN,a95f14bc-0595-4aa6-9481-3757fd2d7be8,55.24638,-132.0564,13.90634,5.87917,-4.53757,-9.99979,-1.70893,5.79059,-8.06364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-07-10,17:00:03.07,1,2,"McCollough, Luke",1000097980,Right,LAN,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,0,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.31368,3.632111,-0.40469,2348.982875,37.723698,7:15,5.77665,2.19058,4.58962,-66.21027,-11.07827,-9.98941,3.71873,0.97318,66.76558,-8.243003,-2.154796,0.534408,,,,,,,,,,,,4.70922,-5.85697,-2.13898,50,6.09043,1.16126,-106.09586,4.33168,5.32529,19.49019,-38.79721,LAN,SMD,ClipperMagazine,Independent,ATL,20250710-ClipperMagazine-1,d9da0490-5dd0-11f0-adb1-4daea1e0ad50,70.53116,,,6.5481,,,,,,,fbc3e0e2-6e8b-41e5-993b-0c3f515ec8b7,2025-07-10,21:00:03.07,2025-07-10T17:00:03.0726144-04:00,2025-07-10T21:00:03.0726144Z,,v3,1889,5433,,"Isola, Alex",684576,Right,LAN,f1053c5f-060a-4358-aeeb-8fc42248e330,55.91096,-107.17622,9.7451,5.79072,6.48225,-19.3986,-2.19517,0.86607,2.66264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-07-10,17:00:17.32,1,3,"McCollough, Luke",1000097980,Right,LAN,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,1,1,Undefined,Sinker,InPlay,Undefined,Popup,Out,1,0,,90.32218,-0.858487,-3.261743,2291.675773,238.487904,2:00,5.79954,1.70049,5.3685,-24.83017,10.09906,14.68387,2.92407,-0.1374,82.6684,-5.443244,-0.65579,0.425369,79.00036,76.269555,-15.868955,,,,,,64.81598,,,-8.28804,5.6304,-1.41863,50,5.70495,6.80176,-130.96938,-2.87734,-14.42641,27.10777,-22.37362,LAN,SMD,ClipperMagazine,Independent,ATL,20250710-ClipperMagazine-1,e2577ad0-5dd0-11f0-adb1-4daea1e0ad50,88.61113,112.93399,,7.65378,,,,,,,fbc3e0e2-6e8b-41e5-993b-0c3f515ec8b7,2025-07-10,21:00:17.32,2025-07-10T17:00:17.3296640-04:00,2025-07-10T21:00:17.3296640Z,,v3,1889,5433,,"Isola, Alex",684576,Right,LAN,99c2981f-65d5-4753-978d-a0a508ba8950,55.13073,-132.02706,13.55388,5.80018,-2.00438,-11.18681,-1.69499,7.36464,-7.21321,,2.37613,26.45191,-12.10996,3.59359,-0.01243,-1.57305,1.76596,-0.90094,0.17926,6.99045,112.55608,-27.79534,3.4222,-0.7674,0.37125,-0.29142,0.14234,-0.02835,-2.52301,-7.52025,-0.81048,0.38483,0.04117,-0.29952,0.32998,-0.16827,0.03352,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
4,2025-07-10,17:00:48.41,2,1,"McCollough, Luke",1000097980,Right,LAN,"Wilson, Ethan",681159,Left,SMD,Undefined,1,Top,1,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.92151,-1.416014,-1.98968,2298.179874,234.404998,1:45,5.7771,1.82991,5.30803,-23.33281,11.38249,14.29032,2.50247,1.15238,82.79781,-5.738042,0.547665,0.424064,,,,,,,,,,,,-7.71032,6.45481,-1.66,50,5.63192,3.91184,-131.81981,-4.11674,-13.51156,29.08385,-20.86263,LAN,SMD,ClipperMagazine,Independent,ATL,20250710-ClipperMagazine-1,f4e58a70-5dd0-11f0-adb1-4daea1e0ad50,88.8838,,,8.1237,,,,,,,fbc3e0e2-6e8b-41e5-993b-0c3f515ec8b7,2025-07-10,21:00:48.41,2025-07-10T17:00:48.4125184-04:00,2025-07-10T21:00:48.4125184Z,,v3,1889,5433,,"Isola, Alex",684576,Right,LAN,de50f2bb-dcce-4064-9b85-c915a1b332f1,55.18912,-132.95977,14.54192,5.77725,-3.29902,-10.43132,-1.82371,4.44143,-6.75578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-10,17:01:01.71,2,2,"McCollough, Luke",1000097980,Right,LAN,"Wilson, Ethan",681159,Left,SMD,Undefined,1,Top,1,0,1,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.04295,-1.647263,-3.298243,2262.084646,279.623402,3:15,5.69686,2.03874,5.20229,-40.37731,0.54634,4.73815,0.77982,-0.67187,76.97745,-8.962697,-2.458808,0.460425,,,,,,,,,,,,-3.36666,1.08941,-1.7369,50,5.51337,6.81511,-121.71603,-4.99372,-5.0202,25.2271,-30.54958,LAN,SMD,ClipperMagazine,Independent,ATL,20250710-ClipperMagazine-1,fce2fb40-5dd0-11f0-adb1-4daea1e0ad50,81.86449,,,7.06549,,,,,,,fbc3e0e2-6e8b-41e5-993b-0c3f515ec8b7,2025-07-10,21:01:01.71,2025-07-10T17:01:01.7148928-04:00,2025-07-10T21:01:01.7148928Z,,v3,1889,5433,,"Isola, Alex",684576,Right,LAN,103a63f0-6bde-40e4-b48b-659a0540dbb9,55.29731,-122.80906,12.61355,5.70105,-3.67009,-15.27479,-2.03689,7.03262,-2.5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-10,17:01:33.88,2,3,"McCollough, Luke",1000097980,Right,LAN,"Wilson, Ethan",681159,Left,SMD,Undefined,1,Top,1,0,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.20066,-3.73604,-3.664844,1594.303526,248.994283,2:15,5.80841,1.91635,4.65164,-31.27805,7.42823,16.11158,-0.3601,-0.22782,80.23766,-9.354195,-0.839415,0.447777,,,,,,,,,,,,-8.98453,4.99355,-1.55718,50,5.39698,7.33031,-126.01874,-9.49765,-14.47215,25.20642,-24.13051,LAN,SMD,ClipperMagazine,Independent,ATL,20250710-ClipperMagazine-1,1000a0b0-5dd1-11f0-adb1-4daea1e0ad50,84.17673,,,6.96301,,,,,,,fbc3e0e2-6e8b-41e5-993b-0c3f515ec8b7,2025-07-10,21:01:33.88,2025-07-10T17:01:33.8882048-04:00,2025-07-10T21:01:33.8882048Z,,v3,1889,5433,,"Isola, Alex",684576,Right,LAN,0c33d4d2-8050-4548-ab60-becd9ae7c4d3,55.84881,-127.18325,12.60321,5.81,-8.38285,-12.06526,-1.91128,7.99891,-7.23607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-10,17:01:52.45,2,4,"McCollough, Luke",1000097980,Right,LAN,"Wilson, Ethan",681159,Left,SMD,Undefined,1,Top,1,1,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.37574,-1.136579,-2.292439,2301.184386,197.735976,12:30,5.75419,1.85399,5.26558,-34.24734,6.578,1.72803,1.83154,-0.15668,77.1999,-7.369195,-1.985889,0.459871,92.54817,43.018273,43.631868,4656.595063,74.36051,90.96741,81.0587,322.20058,133.81321,56.332674,5.662472,-1.45583,3.90087,-1.64556,50,5.62467,4.77561,-121.05866,-3.62094,-2.17956,21.67078,-26.33386,LAN,SMD,ClipperMagazine,Independent,ATL,20250710-ClipperMagazine-1,1b198250-5dd1-11f0-adb1-4daea1e0ad50,81.96302,116.78337,,6.17585,,,,4.0613,2.27259,-0.02253,fbc3e0e2-6e8b-41e5-993b-0c3f515ec8b7,2025-07-10,21:01:52.45,2025-07-10T17:01:52.4544000-04:00,2025-07-10T21:01:52.4544000Z,FlyBall,v3,1889,5433,,"Isola, Alex",684576,Right,LAN,2e22e6f2-1ee2-43ce-a9b9-37b57c257ece,55.23498,-121.99218,10.83539,5.75621,-2.48655,-13.16693,-1.8533,4.8695,-1.08978,,4.07432,71.58145,-19.50823,4.08638,-0.18594,-0.17965,0.05383,-0.00626,0.00027,2.26629,92.70261,-22.59177,2.27867,-0.4066,0.02328,0.01216,-0.00274,0.00017,-0.01961,68.4228,-7.91928,1.15985,0.04103,-0.0831,0.02174,-0.00251,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-07-10,17:02:12.01,2,5,"McCollough, Luke",1000097980,Right,LAN,"Wilson, Ethan",681159,Left,SMD,Undefined,1,Top,1,1,2,Undefined,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.12487,-2.442723,-4.115416,1641.852902,255.365737,2:30,5.72631,1.88228,4.6633,-34.3986,5.15918,14.9895,0.53198,-0.78464,79.25806,-8.624194,-1.489256,0.452676,,,,,,,,,,,,-8.46217,3.54488,-1.47635,50,5.44528,8.267,-124.55384,-6.70861,-13.34029,24.19001,-26.58569,LAN,SMD,ClipperMagazine,Independent,ATL,20250710-ClipperMagazine-1,26b8d200-5dd1-11f0-adb1-4daea1e0ad50,83.26586,,,6.86681,,,,,,,fbc3e0e2-6e8b-41e5-993b-0c3f515ec8b7,2025-07-10,21:02:12.01,2025-07-10T17:02:12.0150000-04:00,2025-07-10T21:02:12.0150000Z,,v3,1889,5433,,"Isola, Alex",684576,Right,LAN,78e63ee3-7994-46f7-8d68-060f239cc2f1,55.83613,-125.68218,12.095,5.72928,-5.46852,-13.29284,-1.87647,8.88926,-6.67014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.93358,,,0.907593,,,,-1.30974,5.50845,5.87242,71.39596,7.58013,53.38711,-1.21603,88.53386,-9.35047,5.5487,15.06405,-14.11002,5.86588,53.45265,-1.20726,High,High,High,,,Medium,High,High
9,2025-07-10,17:02:45.78,3,1,"McCollough, Luke",1000097980,Right,LAN,"De Aza, Alejandro",457477,Left,SMD,Undefined,1,Top,2,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.59663,-2.633232,-2.811693,2322.746116,241.651958,2:00,5.79526,1.77991,4.90659,-23.57214,10.57753,17.4267,1.33599,0.57106,84.1807,-6.955674,0.258768,0.420596,,,,,,,,,,,,-9.42398,6.34532,-1.52028,50,5.51817,5.71754,-133.96433,-7.10731,-17.01734,30.65258,-20.71603,LAN,SMD,ClipperMagazine,Independent,ATL,20250710-ClipperMagazine-1,3ae660d0-5dd1-11f0-adb1-4daea1e0ad50,89.61683,,,8.41593,,,,,,,fbc3e0e2-6e8b-41e5-993b-0c3f515ec8b7,2025-07-10,21:02:45.78,2025-07-10T17:02:45.7895936-04:00,2025-07-10T21:02:45.7895936Z,,v3,1889,5433,,"Isola, Alex",684576,Right,LAN,49f3d48b-cf6e-4729-9c35-1bc461c7cc3a,55.59098,-135.23755,15.32629,5.79552,-6.24682,-10.35802,-1.77245,6.4244,-8.50867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-10,17:03:03.89,3,2,"McCollough, Luke",1000097980,Right,LAN,"De Aza, Alejandro",457477,Left,SMD,Undefined,1,Top,2,0,1,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.29978,-1.439322,-3.747347,2352.332182,243.247858,2:00,5.69502,1.81,4.97861,-23.47513,10.08725,17.71426,2.37625,-0.25791,84.60692,-5.76135,-0.627729,0.416963,,,,,,,,,,,,-9.81941,5.75607,-1.46304,50,5.53713,7.95161,-134.95867,-4.33301,-17.99733,31.08268,-21.62417,LAN,SMD,ClipperMagazine,Independent,ATL,20250710-ClipperMagazine-1,45a64d00-5dd1-11f0-adb1-4daea1e0ad50,90.39752,,,8.69285,,,,,,,fbc3e0e2-6e8b-41e5-993b-0c3f515ec8b7,2025-07-10,21:03:03.89,2025-07-10T17:03:03.8979584-04:00,2025-07-10T21:03:03.8979584Z,,v3,1889,5433,,"Isola, Alex",684576,Right,LAN,e95b3cb5-6428-4b2c-9e42-25b6885dc6ac,55.51827,-136.22367,15.54134,5.69556,-3.45295,-10.81209,-1.80156,8.68406,-8.99866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
