PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-08-19,18:39:42.64,1,1,"Thurman, Andrew",592806,Right,SMD,"Scantlin, Nate",676715,Left,GAS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.29937,-1.5847,-4.382668,2308.12478,224.148815,1:30,5.9462,2.65406,5.08928,-21.1534,14.95024,13.4295,2.68512,-0.36545,81.93029,-5.493697,-2.017437,0.432461,101.89965,29.020513,8.689487,2468.019274,109.1557,58.67239,13.60202,398.83664,391.54512,4.627291,5.390765,-7.85528,8.18658,-2.25014,50,5.7797,9.29378,-129.27132,-4.35346,-13.37331,25.41371,-18.2367,SMD,GAS,RegencyFurnitureStadium,Independent,ATL,20250819-RegencyFurnitureStadium-1,65f600a0-7d4d-11f0-b429-d94e5951d77e,87.15803,90.30558,,7.36909,,,,1.27899,2.72819,0.3749,fa5c5471-61df-4084-b33a-0eb617d6cbda,2025-08-19,22:39:42.64,2025-08-19T18:39:42.6469888-04:00,2025-08-19T22:39:42.6469888Z,FlyBall,v3,5433,5508,,"Lin, Lyle",670076,Right,SMD,ef14e022-628d-46ed-bd3a-01cd12de3305,55.40976,-130.33049,12.70685,5.9453,-3.59341,-9.11835,-2.6491,9.85115,-6.68665,159.321329,1.28634,129.04496,-23.44068,4.54443,-0.40399,-0.09165,0.03418,-0.00397,0.00016,2.7243,72.56983,-16.48379,0.76337,-0.10674,0.00131,0.00998,-0.00225,0.00014,0.37708,19.69972,-8.51689,2.70197,-0.55274,0.07059,-0.00612,0.00048,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-08-19,18:40:23.57,2,1,"Thurman, Andrew",592806,Right,SMD,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.30223,-1.371561,-3.45628,2337.697879,222.307875,1:30,5.98239,2.43572,5.27491,-18.55505,15.71706,13.33406,3.14532,0.29669,83.61145,-4.833321,-1.095754,0.421349,,,,,,,,,,,,-7.56693,8.54331,-2.1299,50,5.8436,7.3675,-132.32129,-3.82222,-13.47789,27.01261,-16.95707,SMD,GAS,RegencyFurnitureStadium,Independent,ATL,20250819-RegencyFurnitureStadium-1,7e609ce0-7d4d-11f0-b429-d94e5951d77e,89.45663,,,7.69078,,,,,,,fa5c5471-61df-4084-b33a-0eb617d6cbda,2025-08-19,22:40:23.57,2025-08-19T18:40:23.5776000-04:00,2025-08-19T22:40:23.5776000Z,,v3,5433,5508,,"Lin, Lyle",670076,Right,SMD,affcbbb4-8190-4aec-b34e-b6060f3ab755,55.22271,-133.38321,13.50631,5.98075,-3.15561,-8.47854,-2.42995,7.89734,-6.73894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-08-19,18:40:39.58,2,2,"Thurman, Andrew",592806,Right,SMD,"Wylie, Justin",687045,Right,GAS,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,82.70952,-0.129664,-3.063635,1776.588729,228.944503,1:45,6.10795,2.00131,5.73739,-31.48612,9.38319,9.3813,3.36319,-0.07238,76.174,-5.949377,-1.387224,0.460119,93.98075,65.609968,-6.094876,,,,,,54.03296,,,-5.59441,5.17504,-1.75205,50,6.07772,6.05949,-120.07712,-1.29075,-8.22257,21.79604,-24.56787,SMD,GAS,RegencyFurnitureStadium,Independent,ATL,20250819-RegencyFurnitureStadium-1,87e6d090-7d4d-11f0-b429-d94e5951d77e,81.91892,137.2216,,6.53552,,,,1.46293,2.73663,-0.52675,fa5c5471-61df-4084-b33a-0eb617d6cbda,2025-08-19,22:40:39.58,2025-08-19T18:40:39.5889152-04:00,2025-08-19T22:40:39.5889152Z,,v3,5433,5508,,"Lin, Lyle",670076,Right,SMD,875a0d8a-c446-4f48-8192-9b455fe6b86d,54.76167,-120.93835,10.89802,6.10954,-0.32,-12.28394,-1.9979,6.38439,-4.11129,,1.46297,56.59101,-23.23404,6.99968,-0.61902,-0.85417,0.61448,-0.19016,0.02349,2.73661,125.53978,-29.3279,3.5407,-1.06508,0.69545,-0.38115,0.11648,-0.01494,-0.52675,-6.04305,1.78349,-0.49853,0.05171,0.04608,-0.0343,0.01057,-0.00129,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
4,2025-08-19,18:41:12.81,3,1,"Thurman, Andrew",592806,Right,SMD,"Roederer, Cole",680711,Left,GAS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.73601,-2.056995,-4.75555,2236.146577,221.292144,1:30,5.95622,2.5183,5.25551,-18.60407,15.89213,12.89414,2.46567,-0.88567,83.07202,-5.544319,-2.479893,0.422724,,,,,,,,,,,,-7.83233,8.89693,-2.09137,50,5.75372,10.40842,-132.50605,-5.41832,-13.82671,30.18371,-16.46796,SMD,GAS,RegencyFurnitureStadium,Independent,ATL,20250819-RegencyFurnitureStadium-1,9bbc0630-7d4d-11f0-b429-d94e5951d77e,89.16554,,,8.66399,,,,,,,fa5c5471-61df-4084-b33a-0eb617d6cbda,2025-08-19,22:41:12.81,2025-08-19T18:41:12.8173056-04:00,2025-08-19T22:41:12.8173056Z,,v3,5433,5508,,"Lin, Lyle",670076,Right,SMD,ee3cdbe5-eb87-4c77-a25c-96852dbddbd8,55.24028,-133.69441,15.09185,5.95428,-4.76996,-8.23398,-2.51188,10.95279,-6.91335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-08-19,18:41:24.78,3,2,"Thurman, Andrew",592806,Right,SMD,"Roederer, Cole",680711,Left,GAS,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.48954,-0.66436,-4.508737,2242.938235,221.114063,1:15,5.98619,2.52785,5.25798,-19.49836,15.90548,12.80461,3.73517,-0.64996,81.8139,-4.323576,-2.248023,0.428249,,,,,,,,,,,,-7.68996,8.48481,-2.12368,50,5.91121,9.7053,-130.80491,-2.18738,-13.22596,29.47416,-17.58107,SMD,GAS,RegencyFurnitureStadium,Independent,ATL,20250819-RegencyFurnitureStadium-1,a2d07690-7d4d-11f0-b429-d94e5951d77e,88.01524,,,8.67564,,,,,,,fa5c5471-61df-4084-b33a-0eb617d6cbda,2025-08-19,22:41:24.78,2025-08-19T18:41:24.7872000-04:00,2025-08-19T22:41:24.7872000Z,,v3,5433,5508,,"Lin, Lyle",670076,Right,SMD,f74c91ce-3850-44fb-ad4b-08d22643bdc3,55.23687,-131.97966,14.73708,5.98443,-1.48665,-8.79053,-2.52101,10.23244,-6.61298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-08-19,18:41:38.41,3,3,"Thurman, Andrew",592806,Right,SMD,"Roederer, Cole",680711,Left,GAS,Undefined,1,Top,2,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.70659,-0.19592,-3.077845,2439.879533,122.528478,10:00,6.03986,2.42846,5.00533,-39.61963,4.46496,-5.01965,2.55302,-0.89794,74.72694,-7.355599,-3.962301,0.477876,,,,,,,,,,,,1.71539,2.64382,-2.12843,50,5.98888,6.50384,-117.06159,-1.83632,2.40053,20.33748,-28.47426,SMD,GAS,RegencyFurnitureStadium,Independent,ATL,20250819-RegencyFurnitureStadium-1,ab0dfda0-7d4d-11f0-b429-d94e5951d77e,78.87501,,,5.97965,,,,,,,fa5c5471-61df-4084-b33a-0eb617d6cbda,2025-08-19,22:41:38.41,2025-08-19T18:41:38.4181760-04:00,2025-08-19T22:41:38.4181760Z,,v3,5433,5508,,"Lin, Lyle",670076,Right,SMD,b4c57a98-28d3-421e-8673-390036d5f205,55.4936,-118.01215,10.16874,6.04361,-0.50545,-14.23713,-2.42979,6.39164,1.20027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-08-19,18:41:53.01,3,4,"Thurman, Andrew",592806,Right,SMD,"Roederer, Cole",680711,Left,GAS,Undefined,1,Top,2,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.41304,-1.914678,-4.149393,2352.140328,218.553873,1:15,5.90098,2.63454,5.22323,-16.56123,17.3184,12.88064,2.71541,-0.1999,83.88176,-5.034077,-1.874608,0.418929,86.54193,30.642448,50.898198,3662.834144,64.31794,53.90164,89.23637,305.50867,164.69514,63.127047,4.20204,-7.69256,9.56363,-2.26159,50,5.71215,9.09494,-133.67177,-5.04716,-13.84804,30.17405,-14.95771,SMD,GAS,RegencyFurnitureStadium,Independent,ATL,20250819-RegencyFurnitureStadium-1,b3ab30e0-7d4d-11f0-b429-d94e5951d77e,89.97326,63.38817,,8.53128,,,,2.81977,3.17618,-0.42113,fa5c5471-61df-4084-b33a-0eb617d6cbda,2025-08-19,22:41:53.01,2025-08-19T18:41:53.0119168-04:00,2025-08-19T22:41:53.0119168Z,FlyBall,v3,5433,5508,,"Lin, Lyle",670076,Right,SMD,50dcc10f-c15d-49a9-ae8f-2f4ca2191786,55.2749,-134.85723,15.08702,5.89889,-4.45951,-7.47886,-2.62959,9.63899,-6.92402,,2.81933,68.88877,-17.81215,4.53047,-1.19314,0.32122,-0.07504,0.01094,-0.00067,3.17712,64.66594,-19.47301,1.20538,0.09708,-0.15668,0.05558,-0.00869,0.00051,-0.42126,84.75181,-7.74288,1.21084,-0.27631,0.11029,-0.03718,0.00672,-0.00047,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2025-08-19,18:42:11.22,3,5,"Thurman, Andrew",592806,Right,SMD,"Roederer, Cole",680711,Left,GAS,Undefined,1,Top,2,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.64459,0.146271,-1.829594,1594.318775,235.451291,1:45,6.13464,2.01803,5.92516,-30.32073,11.04308,13.90489,3.74371,1.47853,74.66809,-5.540985,0.667534,0.462894,,,,,,,,,,,,-7.62607,6.05552,-1.87918,50,6.12946,3.26458,-119.85308,-0.62647,-10.94668,26.01106,-23.48177,SMD,GAS,RegencyFurnitureStadium,Independent,ATL,20250819-RegencyFurnitureStadium-1,be964bc0-7d4d-11f0-b429-d94e5951d77e,81.42782,,,7.9765,,,,,,,fa5c5471-61df-4084-b33a-0eb617d6cbda,2025-08-19,22:42:11.22,2025-08-19T18:42:11.2293376-04:00,2025-08-19T22:42:11.2293376Z,,v3,5433,5508,,"Lin, Lyle",670076,Right,SMD,361f7e6a-8c20-4a69-9ac1-858ba4c6ec9c,54.56917,-120.84063,13.00553,6.13632,0.26506,-11.74089,-2.01101,3.68019,-5.47334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-08-19,18:42:36.69,3,6,"Thurman, Andrew",592806,Right,SMD,"Roederer, Cole",680711,Left,GAS,Undefined,1,Top,2,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.86136,-1.983728,-4.029473,2289.858538,223.859654,1:30,5.83707,2.6417,5.34937,-21.00466,13.84016,12.17079,2.22072,-0.1297,82.67125,-5.894169,-1.873781,0.424855,88.29799,25.465911,44.466369,3561.607899,72.0387,40.27352,83.1287,276.23093,174.80884,57.475175,3.457548,-7.3189,7.87134,-2.28767,50,5.64339,8.71053,-131.47816,-5.30729,-12.75604,28.99888,-18.45518,SMD,GAS,RegencyFurnitureStadium,Independent,ATL,20250819-RegencyFurnitureStadium-1,cda98c80-7d4d-11f0-b429-d94e5951d77e,88.71841,44.53936,,8.19011,,,,2.51244,2.51222,0.0203,fa5c5471-61df-4084-b33a-0eb617d6cbda,2025-08-19,22:42:36.69,2025-08-19T18:42:36.6979072-04:00,2025-08-19T22:42:36.6979072Z,LineDrive,v3,5433,5508,,"Lin, Lyle",670076,Right,SMD,953fd0d8-923c-4f14-9c7a-eb767278c528,55.14881,-132.60892,14.49944,5.8363,-4.58766,-9.22759,-2.63702,9.20793,-6.37802,,2.51242,83.44516,-22.56334,6.14446,-1.66457,0.45209,-0.11816,0.02035,-0.00149,2.5124,55.67591,-20.8858,1.77681,-0.0354,-0.12848,0.05882,-0.01121,0.00076,0.01989,81.91782,-3.78351,-0.7171,0.20974,0.09015,-0.07139,0.01766,-0.00158,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-08-19,18:42:52.80,3,7,"Thurman, Andrew",592806,Right,SMD,"Roederer, Cole",680711,Left,GAS,Undefined,1,Top,2,3,2,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,84.017,-3.704109,-4.063292,1703.47488,236.309274,2:00,6.07605,1.83569,5.71189,-30.68187,9.87024,12.63969,0.05492,-0.90276,76.51661,-9.358894,-1.805409,0.45833,,,,,,,,,,,,-7.73485,6.58059,-1.50331,50,5.74601,8.1177,-121.39087,-8.87784,-11.41577,26.1794,-22.46182,SMD,GAS,RegencyFurnitureStadium,Independent,ATL,20250819-RegencyFurnitureStadium-1,d74e44b0-7d4d-11f0-b429-d94e5951d77e,82.23868,,,7.50039,,,,,,,fa5c5471-61df-4084-b33a-0eb617d6cbda,2025-08-19,22:42:52.80,2025-08-19T18:42:52.8001536-04:00,2025-08-19T22:42:52.8001536Z,,v3,5433,5508,,"Lin, Lyle",670076,Right,SMD,66415cdd-5148-4708-a09b-5cd13d32a23c,54.78594,-122.41867,13.0897,6.07724,-7.996,-11.23091,-1.8308,8.56588,-5.70789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
