PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-08-27,18:37:41.40,1,1,"Wereski, Ben",686844,Left,HP,"Nelson, James",663445,Right,WES_POW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.68218,-1.040831,2.069393,2314.32239,144.153068,10:45,5.85273,-1.44536,5.35318,-17.2354,16.55568,-11.21379,3.43951,-0.43814,84.02494,-4.272262,0.078153,0.418382,,,,,,,,,,,,6.1513,8.88772,1.26733,50,5.74699,-4.28418,-133.05563,-3.00359,11.08331,27.19445,-16.16034,HP,WES_POW,HighPoint,Independent,ATL,20250827-HighPoint-1,71b36280-8396-11f0-96f5-1d2dc3404397,90.09107,,,7.65724,,,,,,,fcf9fb7f-9fe6-4b2a-9f0f-3968e9366766,2025-08-27,22:37:41.40,2025-08-27T18:37:41.4082560-04:00,2025-08-27T22:37:41.4082560Z,,v3,5431,525,,"Watson, Nolan",1000013269,Right,HP,8c6fb35b-c12e-4906-9c65-1c3818fe3190,55.14539,-134.10314,13.59722,5.8507,-2.3811,-8.08017,1.44057,-4.7111,5.54165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-08-27,18:37:58.04,1,2,"Wereski, Ben",686844,Left,HP,"Nelson, James",663445,Right,WES_POW,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.63985,-1.980877,3.052543,2370.049757,136.572783,10:30,5.83879,-1.44021,5.47893,-18.45438,14.64733,-12.86835,2.44405,0.34639,84.7402,-5.431405,0.764035,0.414092,76.73705,14.572135,139.058628,2407.414765,,,,,23.98679,,,7.32091,8.24221,1.1811,50,5.6523,-6.56851,-134.28936,-5.28992,13.39348,28.57457,-17.09503,HP,WES_POW,HighPoint,Independent,ATL,20250827-HighPoint-1,7ba0bc70-8396-11f0-96f5-1d2dc3404397,91.02439,7.82613,,7.89964,,,,0.32417,2.19568,-0.51694,fcf9fb7f-9fe6-4b2a-9f0f-3968e9366766,2025-08-27,22:37:58.04,2025-08-27T18:37:58.0427776-04:00,2025-08-27T22:37:58.0427776Z,,v3,5431,525,,"Watson, Nolan",1000013269,Right,HP,0cb312ac-c11c-4209-90b8-bd9779feaf60,55.02032,-135.35339,14.28728,5.83743,-4.65336,-8.54752,1.43498,-7.06724,6.69674,273.469346,0.32473,-82.31379,2.47423,,,,,,,2.19636,28.27776,-17.44872,,,,,,,-0.51467,71.2487,-18.23551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
3,2025-08-27,18:38:18.01,1,3,"Wereski, Ben",686844,Left,HP,"Nelson, James",663445,Right,WES_POW,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.11157,-0.904289,1.85934,2355.866544,143.642918,10:45,5.82936,-1.38149,5.55547,-16.64607,16.42776,-11.2182,3.59674,-0.57843,83.8807,-4.073803,-0.140531,0.413917,,,,,,,,,,,,6.19914,8.90209,1.22809,50,5.74047,-3.84519,-134.91748,-2.66142,11.27673,32.94094,-15.98049,HP,WES_POW,HighPoint,Independent,ATL,20250827-HighPoint-1,878c7e70-8396-11f0-96f5-1d2dc3404397,91.06271,,,9.23087,,,,,,,fcf9fb7f-9fe6-4b2a-9f0f-3968e9366766,2025-08-27,22:38:18.01,2025-08-27T18:38:18.0110000-04:00,2025-08-27T22:38:18.0110000Z,,v3,5431,525,,"Watson, Nolan",1000013269,Right,HP,6374b2f1-21c2-42d1-9c00-c1374b69fcfc,54.9398,-136.11823,16.47047,5.82687,-2.07891,-7.99024,1.37575,-4.25624,5.63836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.67955,,,1.510645,,,,-2.82623,4.20249,3.62734,69.52083,11.12437,-55.4158,-2.71253,52.41671,-3.03288,4.40022,27.40253,-15.16418,3.46495,-44.22263,3.45387,High,High,High,,,High,Medium,High
4,2025-08-27,18:38:46.01,2,1,"Wereski, Ben",686844,Left,HP,"Womack, Alsander",703920,Right,WES_POW,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.6062,-2.520283,4.303205,2411.224663,135.311152,10:30,5.81661,-1.41891,5.4797,-18.84651,14.55654,-13.28572,1.87969,1.50797,84.29019,-6.04709,1.945524,0.415972,,,,,,,,,,,,7.90012,8.38611,1.04982,50,5.58214,-9.45645,-133.92136,-6.55983,14.30507,29.7179,-16.98897,HP,WES_POW,HighPoint,Independent,ATL,20250827-HighPoint-1,983a5c60-8396-11f0-96f5-1d2dc3404397,90.61286,,,8.316,,,,,,,fcf9fb7f-9fe6-4b2a-9f0f-3968e9366766,2025-08-27,22:38:46.01,2025-08-27T18:38:46.0144640-04:00,2025-08-27T22:38:46.0144640Z,,v3,5431,525,,"Watson, Nolan",1000013269,Right,HP,cc5eed1e-80fb-4e99-8d87-19abd6f91802,55.01826,-135.03034,14.85895,5.81511,-5.92585,-8.49449,1.41267,-9.99028,7.15253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-08-27,18:39:02.62,2,2,"Wereski, Ben",686844,Left,HP,"Womack, Alsander",703920,Right,WES_POW,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,93.03737,-1.109947,3.09757,2459.537274,137.695902,10:30,5.88271,-1.43149,5.41207,-18.51497,14.57717,-12.25442,3.29827,0.45214,84.4875,-4.584975,0.921551,0.414032,,,,,,,,,,,,7.09937,7.98808,1.16478,50,5.77131,-6.72751,-134.81487,-3.26247,12.9977,30.73553,-17.54934,HP,WES_POW,HighPoint,Independent,ATL,20250827-HighPoint-1,a220ff90-8396-11f0-96f5-1d2dc3404397,91.03752,,,8.54988,,,,,,,fcf9fb7f-9fe6-4b2a-9f0f-3968e9366766,2025-08-27,22:39:02.62,2025-08-27T18:39:02.6217472-04:00,2025-08-27T22:39:02.6217472Z,,v3,5431,525,,"Watson, Nolan",1000013269,Right,HP,cf4dfbca-3a33-40fc-9c2d-5ff67daa7011,55.08704,-135.96968,15.36777,5.8815,-2.60309,-8.77467,1.42672,-7.21587,6.49885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-08-27,18:39:47.59,3,1,"Wereski, Ben",686844,Left,HP,"Barnum, Keon",621572,Left,WES_POW,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.685,0.49381,2.204215,2396.273721,133.318319,10:30,5.82924,-1.6409,5.49876,-17.36607,15.63855,-15.48473,4.8443,-0.86856,84.49006,-2.780177,-0.552189,0.413484,,,,,,,,,,,,8.34993,8.04237,1.45856,50,5.86088,-4.44591,-134.49102,0.58117,15.30803,28.90914,-17.42984,HP,WES_POW,HighPoint,Independent,ATL,20250827-HighPoint-1,bcece460-8396-11f0-96f5-1d2dc3404397,91.15811,,,8.19493,,,,,,,fcf9fb7f-9fe6-4b2a-9f0f-3968e9366766,2025-08-27,22:39:47.59,2025-08-27T18:39:47.5978752-04:00,2025-08-27T22:39:47.5978752Z,,v3,5431,525,,"Watson, Nolan",1000013269,Right,HP,be575d9b-ee14-46d6-a34d-ce07e5691251,54.99917,-135.56135,14.45457,5.82742,1.22649,-8.71492,1.63366,-5.01266,7.65402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-08-27,18:40:07.87,3,2,"Wereski, Ben",686844,Left,HP,"Barnum, Keon",621572,Left,WES_POW,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.32316,-1.558761,1.340806,2440.609473,137.582822,10:30,5.75788,-1.5201,5.56385,-16.82839,16.54836,-14.09351,2.89854,-1.44173,83.87429,-4.743169,-1.17335,0.415808,,,,,,,,,,,,7.60256,9.19123,1.41424,50,5.61266,-2.50734,-133.95267,-4.19683,13.71911,30.7807,-15.58818,HP,WES_POW,HighPoint,Independent,ATL,20250827-HighPoint-1,c8fad460-8396-11f0-96f5-1d2dc3404397,90.64857,,,8.44888,,,,,,,fcf9fb7f-9fe6-4b2a-9f0f-3968e9366766,2025-08-27,22:40:07.87,2025-08-27T18:40:07.8790144-04:00,2025-08-27T22:40:07.8790144Z,,v3,5431,525,,"Watson, Nolan",1000013269,Right,HP,b1c56e35-ec10-424f-8b9d-e584bdb46ac8,54.93619,-135.08219,15.39035,5.75617,-3.62481,-7.79409,1.51548,-3.01077,6.85956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-08-27,18:40:26.96,3,3,"Wereski, Ben",686844,Left,HP,"Barnum, Keon",621572,Left,WES_POW,Undefined,1,Top,1,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.21753,-1.994353,3.486013,2420.029506,134.627999,10:30,5.67002,-1.50708,5.45269,-18.14863,15.36871,-14.46835,2.2864,0.55471,84.18802,-5.395256,0.915829,0.416683,,,,,,,,,,,,8.20248,8.60319,1.20923,50,5.48144,-7.45975,-133.57913,-5.27779,14.83067,28.58826,-16.61889,HP,WES_POW,HighPoint,Independent,ATL,20250827-HighPoint-1,d46112b0-8396-11f0-96f5-1d2dc3404397,90.45821,,,8.02951,,,,,,,fcf9fb7f-9fe6-4b2a-9f0f-3968e9366766,2025-08-27,22:40:26.96,2025-08-27T18:40:26.9611520-04:00,2025-08-27T22:40:26.9611520Z,,v3,5431,525,,"Watson, Nolan",1000013269,Right,HP,6319ef99-e4e7-4cad-95ba-f1849a72303c,55.04549,-134.65462,14.29413,5.66824,-4.65259,-8.30945,1.50036,-8.01768,7.41533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-08-27,18:40:47.41,3,4,"Wereski, Ben",686844,Left,HP,"Barnum, Keon",621572,Left,WES_POW,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,1,0,Womack thrown out trying to steal 2nd,92.5517,-1.747237,3.820541,2406.551955,148.018467,11:00,5.78083,-1.51123,5.69018,-15.01804,17.96556,-10.55422,2.89675,1.17532,84.45706,-4.604107,1.939611,0.413352,,,,,,,,,,,,6.41158,9.92481,1.19626,50,5.62431,-8.47852,-134.08646,-4.5576,11.67939,28.83924,-14.09499,HP,WES_POW,HighPoint,Independent,ATL,20250827-HighPoint-1,e091f400-8396-11f0-96f5-1d2dc3404397,91.18717,,,8.09464,,,,,,,fcf9fb7f-9fe6-4b2a-9f0f-3968e9366766,2025-08-27,22:40:47.41,2025-08-27T18:40:47.4150000-04:00,2025-08-27T22:40:47.4150000Z,,v3,5431,525,,"Watson, Nolan",1000013269,Right,HP,a5175053-6c54-4418-adcb-7d33e78f35e4,54.80852,-135.11671,14.41962,5.77814,-4.05407,-7.0475,1.5066,-8.89575,5.8397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.13291,1.878032,0.62935,1.248682,-1.18503,2.68331,-1.26135,-0.80509,5.34944,0.14584,127.28308,2.01469,-0.46151,-0.68053,115.13698,-10.24681,5.3866,13.49666,-13.00751,0.08196,-4.91097,3.63961,High,High,High,,,High,Medium,Medium
10,2025-08-27,18:41:17.23,3,5,"Wereski, Ben",686844,Left,HP,"Barnum, Keon",621572,Left,WES_POW,Undefined,1,Top,2,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.06042,-1.741038,3.328123,2360.153853,141.879781,10:45,5.59155,-1.55268,5.49284,-14.90111,17.82714,-13.18576,2.71788,0.46531,85.17704,-4.560986,0.984254,0.411749,,,,,,,,,,,,7.50827,9.75036,1.27016,50,5.42899,-7.22948,-134.90354,-4.58371,13.89534,28.17828,-14.12931,HP,WES_POW,HighPoint,Independent,ATL,20250827-HighPoint-1,f257d1a0-8396-11f0-96f5-1d2dc3404397,91.54226,,,7.88339,,,,,,,fcf9fb7f-9fe6-4b2a-9f0f-3968e9366766,2025-08-27,22:41:17.23,2025-08-27T18:41:17.2379648-04:00,2025-08-27T22:41:17.2379648Z,,v3,5431,525,,"Watson, Nolan",1000013269,Right,HP,27256cc9-cf42-40fa-8e1f-16d8033af84e,55.00601,-135.94516,14.08914,5.58878,-4.06142,-7.06466,1.5469,-7.74312,6.94767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
