PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-09-06,18:36:14.52,1,1,"Valverde, Alex",663820,Right,YOR,"Mercedes, Melvin",621034,Left,LAN,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.81355,-1.129828,-3.421825,2248.231557,233.865449,1:45,5.13752,1.52869,5.34842,-21.52962,13.03859,16.05288,2.28159,-0.34702,82.25224,-5.169984,-0.574973,0.423165,,,,,,,,,,,,-9.12634,7.27815,-1.23192,50,5.02074,7.16715,-132.7502,-3.38489,-15.97553,33.46608,-19.43379,YOR,LAN,WellSpanPark,Independent,ATL,20250906-WellSpanPark-1,e5e1c830-8b71-11f0-933b-9bfc42bb5737,89.07265,,,9.56131,,,,,,,f7466858-dd26-4a17-80df-990167f8c888,2025-09-06,22:36:14.52,2025-09-06T18:36:14.5250816-04:00,2025-09-06T22:36:14.5250816Z,,v3,5435,1889,,"Simoneit, Will",686766,Right,YOR,b6a24d30-335a-4ed5-9494-d8bd94e2ea3b,55.14773,-134.04165,16.73304,5.13689,-2.63494,-9.7169,-1.5204,7.78365,-7.98777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-09-06,18:36:32.38,1,2,"Valverde, Alex",663820,Right,YOR,"Mercedes, Melvin",621034,Left,LAN,Undefined,1,Top,0,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.85679,-0.365408,-3.778389,2293.105587,225.723866,1:30,5.241,1.59944,5.42763,-20.59828,13.05843,12.10135,3.18148,-0.93612,83.23387,-4.240465,-1.631752,0.417549,,,,,,,,,,,,-7.26327,7.03118,-1.2724,50,5.19469,8.28126,-134.25333,-1.58113,-13.02874,33.7198,-19.56162,YOR,LAN,WellSpanPark,Independent,ATL,20250906-WellSpanPark-1,f0848f70-8b71-11f0-933b-9bfc42bb5737,90.27075,,,9.62292,,,,,,,f7466858-dd26-4a17-80df-990167f8c888,2025-09-06,22:36:32.38,2025-09-06T18:36:32.3888128-04:00,2025-09-06T22:36:32.3888128Z,,v3,5435,1889,,"Simoneit, Will",686766,Right,YOR,88c801cf-db90-45c3-a141-946c36ab560a,55.06789,-135.52023,16.8599,5.24029,-0.84617,-9.78081,-1.59274,8.77077,-6.51437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-09-06,18:36:52.56,1,3,"Valverde, Alex",663820,Right,YOR,"Mercedes, Melvin",621034,Left,LAN,Undefined,1,Top,0,1,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.98277,-1.269726,-3.280747,2271.711482,230.818598,1:45,5.19188,1.54045,5.37276,-21.14084,13.35186,14.73635,2.23755,-0.3108,82.21888,-5.246281,-0.665816,0.422703,95.17634,3.308395,34.113514,3404.753027,,,,76.95633,72.80022,35.873717,0.585095,-8.56374,7.51477,-1.25715,50,5.06349,6.93751,-133.00559,-3.69514,-14.99257,34.56129,-19.0179,YOR,LAN,WellSpanPark,Independent,ATL,20250906-WellSpanPark-1,fc8957b0-8b71-11f0-933b-9bfc42bb5737,89.17008,3.28352,,9.76389,,,,2.34698,2.56249,0.30754,f7466858-dd26-4a17-80df-990167f8c888,2025-09-06,22:36:52.56,2025-09-06T18:36:52.5646848-04:00,2025-09-06T22:36:52.5646848Z,GroundBall,v3,5435,1889,,"Simoneit, Will",686766,Right,YOR,c82f3dbc-0d07-45af-baa4-783059639142,55.12515,-134.33075,17.28065,5.19119,-2.96595,-9.50895,-1.53417,7.51236,-7.49628,,2.38098,114.59453,-20.74832,,,,,,,2.58855,7.45363,-20.37165,,,,,,,0.2994,78.34919,-3.03045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-09-06,18:37:34.23,2,1,"Valverde, Alex",663820,Right,YOR,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.86619,-0.914371,-4.763218,2279.658135,232.165667,1:45,5.22959,1.59396,5.55025,-20.61446,12.29705,14.2178,2.65424,-1.68257,84.02221,-4.795249,-2.240007,0.4129,,,,,,,,,,,,-8.90079,6.8793,-1.19099,50,5.13697,10.65354,-135.61398,-2.89554,-16.23589,35.3303,-19.62555,YOR,LAN,WellSpanPark,Independent,ATL,20250906-WellSpanPark-1,15588220-8b72-11f0-933b-9bfc42bb5737,91.28699,,,9.84398,,,,,,,f7466858-dd26-4a17-80df-990167f8c888,2025-09-06,22:37:34.23,2025-09-06T18:37:34.2345216-04:00,2025-09-06T22:37:34.2345216Z,,v3,5435,1889,,"Simoneit, Will",686766,Right,YOR,2b2937c6-3b5d-477f-826e-89afee417c07,54.94963,-136.8974,17.66515,5.22921,-2.18262,-9.81278,-1.58871,11.24332,-8.11794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-09-06,18:37:52.02,2,2,"Valverde, Alex",663820,Right,YOR,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,1,1,0,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.70335,-0.110282,-1.80103,2351.407685,183.196042,12:00,5.1714,1.63513,5.28263,-33.79321,4.22366,0.16957,2.25168,-0.04271,79.44713,-6.287618,-1.770943,0.443772,,,,,,,,,,,,-0.58748,2.46169,-1.47096,50,5.13645,3.94951,-125.83615,-1.49704,-0.94182,25.58269,-28.22772,YOR,LAN,WellSpanPark,Independent,ATL,20250906-WellSpanPark-1,1ff8ff70-8b72-11f0-933b-9bfc42bb5737,84.93655,,,7.25623,,,,,,,f7466858-dd26-4a17-80df-990167f8c888,2025-09-06,22:37:52.02,2025-09-06T18:37:52.0242688-04:00,2025-09-06T22:37:52.0242688Z,,v3,5435,1889,,"Simoneit, Will",686766,Right,YOR,309b8da7-614b-40d5-b87a-5cb5b588d34b,55.21842,-126.89263,12.79135,5.1742,-0.33133,-14.11386,-1.63486,3.98841,-0.47091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-09-06,18:38:17.42,2,3,"Valverde, Alex",663820,Right,YOR,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,1,1,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.04499,-0.682569,-3.052508,2367.093503,260.006096,2:45,5.21427,1.5402,5.44458,-35.89797,1.515,2.23425,1.58273,-1.13441,80.19336,-7.225318,-2.65524,0.440233,,,,,,,,,,,,-1.9413,1.27748,-1.27179,50,5.12897,6.63854,-126.28799,-2.83881,-3.14818,24.71463,-30.10238,YOR,LAN,WellSpanPark,Independent,ATL,20250906-WellSpanPark-1,2f203d60-8b72-11f0-933b-9bfc42bb5737,85.61931,,,6.85164,,,,,,,f7466858-dd26-4a17-80df-990167f8c888,2025-09-06,22:38:17.42,2025-09-06T18:38:17.4235136-04:00,2025-09-06T22:38:17.4235136Z,,v3,5435,1889,,"Simoneit, Will",686766,Right,YOR,91f28a28-6188-4616-b0ea-d10aefec75c5,55.05637,-127.27368,12.35731,5.21825,-1.63824,-15.05119,-1.53906,6.7641,-1.57409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-09-06,18:39:10.93,2,4,"Valverde, Alex",663820,Right,YOR,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,1,1,2,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YOR,LAN,WellSpanPark,Independent,ATL,20250906-WellSpanPark-1,46bfe880-8b72-11f0-933b-9bfc42bb5737,,,,,,,,,,,f7466858-dd26-4a17-80df-990167f8c888,2025-09-06,22:39:10.93,2025-09-06T18:39:10.9353856-04:00,2025-09-06T22:39:10.9353856Z,,v3,5435,1889,,"Simoneit, Will",686766,Right,YOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-09-06,18:39:11.93,2,5,"Valverde, Alex",663820,Right,YOR,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,1,2,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.18747,-1.027887,-3.775307,2257.67508,219.024609,1:15,5.31218,1.74026,5.18572,-17.65418,15.31828,11.42304,2.87173,-0.86489,84.54853,-4.357127,-1.758171,0.413283,81.7175,16.619102,44.051618,2122.108716,75.10489,20.19737,80.36925,205.33476,148.71006,50.141938,2.226089,-6.95016,8.32284,-1.3983,50,5.2038,8.43001,-136.16366,-3.0763,-12.83457,34.46825,-16.80457,YOR,LAN,WellSpanPark,Independent,ATL,20250906-WellSpanPark-1,4f9828f0-8b72-11f0-933b-9bfc42bb5737,91.20258,20.20799,,9.63895,,,,1.6484,3.12283,0.80358,f7466858-dd26-4a17-80df-990167f8c888,2025-09-06,22:39:11.93,2025-09-06T18:39:11.9353856-04:00,2025-09-06T22:39:11.9353856Z,LineDrive,v3,5435,1889,,"Simoneit, Will",686766,Right,YOR,ff53ea84-ba42-48a0-9d6f-bff6a3b3d427,55.31246,-137.50187,17.23413,5.31057,-2.42387,-8.40228,-1.73526,8.9283,-6.41729,,1.6484,82.54087,-15.80186,3.22964,-0.63304,0.09884,-0.00368,-0.00324,0.00058,3.12278,34.28274,-18.66276,1.90708,-0.75805,0.4981,-0.25497,0.07071,-0.00785,0.80361,79.85022,-6.25957,1.23085,-0.02961,-0.21651,0.14712,-0.04374,0.005,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-09-06,18:39:42.07,2,6,"Valverde, Alex",663820,Right,YOR,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,1,2,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.23481,1.353922,-1.999748,2151.880423,255.809335,2:30,5.01366,1.79296,5.56942,-37.39163,5.83465,17.26796,3.16344,1.36317,73.67696,-5.558896,1.079826,0.473201,,,,,,,,,,,,-9.29217,2.98858,-1.63201,50,5.10616,3.40704,-117.79141,1.53738,-12.94239,24.1795,-28.01147,YOR,LAN,WellSpanPark,Independent,ATL,20250906-WellSpanPark-1,61a0dbf0-8b72-11f0-933b-9bfc42bb5737,79.65426,,,7.55784,,,,,,,f7466858-dd26-4a17-80df-990167f8c888,2025-09-06,22:39:42.07,2025-09-06T18:39:42.0728320-04:00,2025-09-06T22:39:42.0728320Z,,v3,5435,1889,,"Simoneit, Will",686766,Right,YOR,8bf95516-11d4-42e2-a03d-7904dc7a7216,54.9295,-118.799,12.08975,5.01778,2.70465,-14.00574,-1.78522,3.94637,-6.47119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-09-06,18:40:00.46,2,7,"Valverde, Alex",663820,Right,YOR,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,1,3,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.70831,0.086581,-1.227261,2258.673001,169.55339,11:45,5.06332,1.67827,5.45482,-32.97911,5.87402,-0.84677,2.39614,0.45865,78.07105,-5.98708,-1.378043,0.448626,65.12538,39.79194,-141.120297,4936.071253,-91.75678,36.50122,-60.66845,167.45117,69.29878,-150.797543,2.774946,0.06575,3.30059,-1.56941,50,5.0484,2.70027,-124.3613,-0.98503,0.10235,26.32166,-27.03575,YOR,LAN,WellSpanPark,Independent,ATL,20250906-WellSpanPark-1,6c8abe50-8b72-11f0-933b-9bfc42bb5737,84.01749,39.46715,,7.63726,,,,1.4658,2.19454,-0.23392,f7466858-dd26-4a17-80df-990167f8c888,2025-09-06,22:40:00.46,2025-09-06T18:40:00.4651520-04:00,2025-09-06T22:40:00.4651520Z,FlyBall,v3,5435,1889,,"Simoneit, Will",686766,Right,YOR,2cea5deb-5b0b-47ad-a06a-41cc3519a4c1,55.0445,-125.42445,13.16083,5.06613,0.10696,-13.51788,-1.6784,2.69614,0.05118,26.461635,1.46594,-57.14021,0.63744,0.33095,0.11829,-0.18051,0.09475,-0.02289,0.0021,2.19456,61.13044,-28.62656,3.61139,-0.78318,0.16738,-0.03657,0.00806,-0.0009,-0.23359,-46.0839,6.53576,-0.62918,0.64586,-0.53769,0.25736,-0.06128,0.00565,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
