PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-16,18:43:21.09,1,1,"Sampson, Keyvius",572102,Right,WES_POW,"Atwood, Andy",664762,Right,LEX_LEG,Undefined,1,Top,0,0,0,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.59272,-1.534699,-3.442903,1607.291653,245.627475,2:15,6.10201,2.11472,5.5914,-34.92431,8.65926,16.0491,1.75573,0.23354,74.04344,-7.95356,-0.580438,0.475152,,,,,,,,,,,,-9.15733,5.19996,-1.83003,50,5.94725,6.41146,-116.85259,-4.26798,-12.6673,21.92391,-24.98097,WES_POW,LEX_LEG,GoMart,Independent,ATL,20260516-GoMart-1,a3f58ce0-5178-11f1-baa7-9f8cfc19930c,79.32711,,,6.54928,,,,,,,8679758d-600f-4e28-9ba5-df943e02b870,2026-05-16,22:43:21.09,2026-05-16T18:43:21.0978304-04:00,2026-05-16T22:43:21.0978304Z,,v3,525,495,,"Mordan, Aneudis",698937,Right,WES_POW,4ed954c7-eafc-4a59-8723-c66ca3e45964,54.9092,-117.77005,10.96196,6.10398,-3.22259,-12.49049,-2.10943,6.94156,-6.33365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-16,18:43:40.28,1,2,"Sampson, Keyvius",572102,Right,WES_POW,"Atwood, Andy",664762,Right,LEX_LEG,Undefined,1,Top,0,0,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.84678,-2.382188,-3.73638,1790.927549,243.780617,2:15,6.04466,2.1858,6.01532,-30.62982,9.86969,17.49777,1.27951,0.17792,76.36426,-8.054347,-0.591649,0.458033,,,,,,,,,,,,-10.06579,6.08638,-1.90228,50,5.84055,7.18963,-120.14406,-5.95159,-14.77215,22.39607,-23.2419,WES_POW,LEX_LEG,GoMart,Independent,ATL,20260516-GoMart-1,af5eff80-5178-11f1-baa7-9f8cfc19930c,82.29205,,,6.48252,,,,,,,8679758d-600f-4e28-9ba5-df943e02b870,2026-05-16,22:43:40.28,2026-05-16T18:43:40.2827264-04:00,2026-05-16T22:43:40.2827264Z,,v3,525,495,,"Mordan, Aneudis",698937,Right,WES_POW,71251e4f-6bba-410f-a656-877f9dc0cfac,54.4857,-120.97735,11.19804,6.0459,-5.08683,-11.62095,-2.18001,7.73926,-7.38608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-16,18:43:57.97,1,3,"Sampson, Keyvius",572102,Right,WES_POW,"Atwood, Andy",664762,Right,LEX_LEG,Undefined,1,Top,0,1,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.38702,-2.845441,-3.433423,2323.824074,211.220514,1:00,6.1313,2.12945,5.55768,-18.10682,17.82525,10.02579,1.95689,-0.24682,80.92512,-6.268958,-1.64922,0.431432,,,,,,,,,,,,-6.0739,10.23099,-1.83911,50,5.87323,7.30047,-129.2603,-6.99684,-10.17826,29.34296,-15.02956,WES_POW,LEX_LEG,GoMart,Independent,ATL,20260516-GoMart-1,b9de8750-5178-11f1-baa7-9f8cfc19930c,87.36584,,,8.46191,,,,,,,8679758d-600f-4e28-9ba5-df943e02b870,2026-05-16,22:43:57.97,2026-05-16T18:43:57.9793408-04:00,2026-05-16T22:43:57.9793408Z,,v3,525,495,,"Mordan, Aneudis",698937,Right,WES_POW,5cbb20a3-df09-430f-8d8b-debb9f526d63,54.93772,-130.37638,14.67148,6.12849,-6.42518,-7.51478,-2.12416,7.6876,-5.08913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-16,18:44:19.34,1,4,"Sampson, Keyvius",572102,Right,WES_POW,"Atwood, Andy",664762,Right,LEX_LEG,Undefined,1,Top,0,1,2,Undefined,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,75.89638,1E-05,-2.585914,2049.520374,31.478539,7:00,5.94342,2.0255,5.26584,-61.29082,-11.28654,-7.89016,0.83586,-1.06289,69.97456,-11.033458,-3.98839,0.50895,,,,,,,,,,,,3.20654,-5.29685,-1.78266,50,5.89757,5.27031,-110.09857,-2.0783,3.90335,21.05406,-38.62199,WES_POW,LEX_LEG,GoMart,Independent,ATL,20260516-GoMart-1,c6afc750-5178-11f1-baa7-9f8cfc19930c,74.05924,,,5.92182,,,,,,,8679758d-600f-4e28-9ba5-df943e02b870,2026-05-16,22:44:19.34,2026-05-16T18:44:19.3450000-04:00,2026-05-16T22:44:19.3450000Z,,v3,525,495,,"Mordan, Aneudis",698937,Right,WES_POW,7a56ae8c-d535-4b2f-9fb2-98484e79dbf9,55.23695,-111.09551,10.52703,5.95268,-0.24948,-19.31099,-2.02784,5.08548,1.95167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.26662,,,1.077612,,,,4.57887,4.16277,0.17985,79.54026,5.5974,-45.4577,4.60079,74.36091,-4.4784,4.22801,19.04216,-16.51217,0.12915,-48.14482,5.43616,High,High,High,,,High,High,High
5,2026-05-16,18:44:51.16,2,1,"Sampson, Keyvius",572102,Right,WES_POW,"Washington, Xane",1000026055,Right,LEX_LEG,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.33299,-3.537717,-2.956091,2371.327531,217.599306,1:15,6.04819,2.07135,5.61107,-17.35769,17.51879,12.58642,1.29106,0.3586,82.39496,-6.806534,-0.71164,0.425048,,,,,,,,,,,,-7.26311,10.25871,-1.82703,50,5.73422,6.20294,-130.76099,-8.64471,-12.53418,28.41482,-14.47026,WES_POW,LEX_LEG,GoMart,Independent,ATL,20260516-GoMart-1,d98f0430-5178-11f1-baa7-9f8cfc19930c,88.67811,,,7.93804,,,,,,,8679758d-600f-4e28-9ba5-df943e02b870,2026-05-16,22:44:51.16,2026-05-16T18:44:51.1644160-04:00,2026-05-16T22:44:51.1644160Z,,v3,525,495,,"Mordan, Aneudis",698937,Right,WES_POW,9030b236-85fe-4cac-9668-a3c4fcc8b10b,54.88806,-131.81891,14.20741,6.04604,-8.10596,-7.23513,-2.06666,6.6696,-6.26709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-16,18:45:05.27,2,2,"Sampson, Keyvius",572102,Right,WES_POW,"Washington, Xane",1000026055,Right,LEX_LEG,Undefined,1,Top,1,0,1,Undefined,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,81.53542,-0.910004,-3.527781,1687.875204,249.757458,2:15,5.95916,2.17056,5.921,-34.52699,7.2617,16.31308,2.23578,0.25215,75.25347,-7.284966,-0.601505,0.465265,91.4988,20.436306,10.528644,1272.999987,107.34362,32.27333,24.02758,283.89734,276.99641,16.086952,3.209241,-9.32473,4.32673,-1.89736,50,5.86637,6.68422,-118.36507,-2.96778,-13.31668,21.18882,-25.99504,WES_POW,LEX_LEG,GoMart,Independent,ATL,20260516-GoMart-1,e218fd90-5178-11f1-baa7-9f8cfc19930c,81.01277,36.25295,,6.28195,,,,1.88337,2.2303,-0.25885,8679758d-600f-4e28-9ba5-df943e02b870,2026-05-16,22:45:05.27,2026-05-16T18:45:05.2752384-04:00,2026-05-16T22:45:05.2752384Z,LineDrive,v3,525,495,,"Mordan, Aneudis",698937,Right,WES_POW,6c41c229-cb73-4a76-80d9-bb23a36d81f3,54.58007,-119.18214,10.59441,5.96149,-1.96537,-12.99752,-2.16501,7.19773,-6.65834,228.144582,1.88308,123.64597,-19.79874,4.10433,-0.88439,0.17983,-0.03582,0.00481,-0.00025,2.23048,46.84986,-17.44801,0.97881,-0.05048,-0.01339,0.00588,-0.0002,-0.0001,-0.2587,22.97025,3.17498,-1.80451,0.49834,-0.08037,0.00517,0.00056,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-05-16,18:46:08.63,3,1,"Sampson, Keyvius",572102,Right,WES_POW,"Dixon, Brenden",686981,Right,LEX_LEG,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.26141,-0.220713,-2.363744,2244.344933,218.113616,1:15,6.15547,1.96648,5.49188,-21.92123,15.51154,11.19422,4.12205,0.68688,79.30857,-4.332331,-0.37157,0.440349,,,,,,,,,,,,-6.29091,8.24225,-1.76711,50,6.12158,4.72651,-126.52727,-1.20385,-10.15761,26.77384,-18.86571,WES_POW,LEX_LEG,GoMart,Independent,ATL,20260516-GoMart-1,07bd3890-5179-11f1-baa7-9f8cfc19930c,85.59664,,,7.95284,,,,,,,8679758d-600f-4e28-9ba5-df943e02b870,2026-05-16,22:46:08.63,2026-05-16T18:46:08.6300000-04:00,2026-05-16T22:46:08.6300000Z,,v3,525,495,,"Mordan, Aneudis",698937,Right,WES_POW,2a2c88b6-ebe7-4aef-83c0-2689c5578a98,55.00457,-127.58186,13.38692,6.15437,-0.46075,-9.43285,-1.96116,5.1266,-5.07881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.75027,,0.671642,,-1.58256,3.8878,-0.67034,-1.80786,6.10256,1.13097,,,,-1.74183,109.6913,-9.86055,6.12249,6.52565,-12.60593,1.09251,-7.57596,4.10818,High,High,High,,,High,Medium,Low
8,2026-05-16,18:46:40.61,3,2,"Sampson, Keyvius",572102,Right,WES_POW,"Dixon, Brenden",686981,Right,LEX_LEG,Undefined,1,Top,1,1,0,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.00107,-1.401003,-1.99019,2316.698972,188.686956,12:15,6.1635,2.07341,5.20858,-28.18116,11.2241,1.53787,2.4965,0.32922,78.48152,-6.559244,-1.717719,0.451802,66.88102,21.565894,156.429578,3787.991516,-104.98213,14.3507,32.84432,148.3001,50.22497,164.793117,1.937325,-1.27795,6.31733,-1.89052,50,6.01275,4.22136,-123.376,-4.02422,-1.98616,22.63325,-22.35578,WES_POW,LEX_LEG,GoMart,Independent,ATL,20260516-GoMart-1,1adab6f0-5179-11f1-baa7-9f8cfc19930c,83.42685,18.19611,,6.51954,,,,0.69265,2.46504,-0.37724,8679758d-600f-4e28-9ba5-df943e02b870,2026-05-16,22:46:40.61,2026-05-16T18:46:40.6170112-04:00,2026-05-16T22:46:40.6170112Z,LineDrive,v3,525,495,,"Mordan, Aneudis",698937,Right,WES_POW,0db729ad-811c-42fd-990e-43ae9ce87600,55.2908,-124.34281,11.31663,6.16426,-3.06927,-11.17789,-2.07265,4.3062,-0.99308,294.62326,0.69266,-83.61413,4.76276,0.10229,-0.18228,0.2039,-0.12522,0.04213,-0.00566,2.46504,36.05579,-22.25687,2.14029,-0.49908,0.19473,-0.08879,0.02664,-0.00334,-0.37722,36.47802,-11.0444,2.04574,-0.56286,0.26786,-0.14523,0.04443,-0.00539,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-05-16,18:47:34.27,3,3,"Sampson, Keyvius",572102,Right,WES_POW,"Dixon, Brenden",686981,Right,LEX_LEG,Undefined,1,Top,1,1,1,Undefined,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.43044,0.572159,-1.454892,1967.340255,4.104393,6:15,5.96121,1.8487,5.22632,-60.99653,-10.81166,-0.88291,1.41624,0.40709,69.93244,-10.413077,-1.611893,0.509868,,,,,,,,,,,,0.04654,-5.22559,-1.71389,50,5.96745,2.8165,-109.58662,-0.97538,0.05668,19.12238,-38.53722,WES_POW,LEX_LEG,GoMart,Independent,ATL,20260516-GoMart-1,3aef9af0-5179-11f1-baa7-9f8cfc19930c,73.92585,,,5.49801,,,,,,,8679758d-600f-4e28-9ba5-df943e02b870,2026-05-16,22:47:34.27,2026-05-16T18:47:34.2798848-04:00,2026-05-16T22:47:34.2798848Z,,v3,525,495,,"Mordan, Aneudis",698937,Right,WES_POW,13bed304-46b5-41a8-b677-b10cbebb4558,55.27716,-110.50362,9.56119,5.96991,0.87265,-19.26861,-1.84888,2.81378,0.02834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-16,18:48:13.12,3,4,"Sampson, Keyvius",572102,Right,WES_POW,"Dixon, Brenden",686981,Right,LEX_LEG,Undefined,1,Top,1,1,2,Undefined,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.99682,-3.027198,-3.032794,2343.228117,217.54827,1:15,6.11165,1.91068,5.44048,-18.60509,15.90194,11.34914,1.72006,0.014,83.11723,-6.504399,-1.015669,0.422791,,,,,,,,,,,,-6.5637,9.19611,-1.65035,50,5.83081,6.46373,-131.75007,-7.60547,-11.52626,28.23204,-16.02509,WES_POW,LEX_LEG,GoMart,Independent,ATL,20260516-GoMart-1,51f80f20-5179-11f1-baa7-9f8cfc19930c,89.15156,,,7.87959,,,,,,,8679758d-600f-4e28-9ba5-df943e02b870,2026-05-16,22:48:13.12,2026-05-16T18:48:13.1287552-04:00,2026-05-16T22:48:13.1287552Z,,v3,525,495,,"Mordan, Aneudis",698937,Right,WES_POW,3eadec00-9d70-408a-aaa6-4b95887dbef6,55.05773,-132.82944,14.11602,6.10988,-6.99279,-8.01254,-1.9059,6.9044,-5.76313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
