PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-16,18:46:38.74,1,1,"Bollman, Jason",700180,Right,LAN,"Burt, D.J.",656274,Right,HP,Undefined,1,Top,0,0,0,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,90.28366,-0.065463,-2.036802,2161.522535,174.402621,11:45,5.595,2.35507,7.05799,-24.13564,8.48174,-0.73661,3.52421,0.44325,82.96334,-4.654772,-2.171852,0.411051,,,,,,,,,,,,-0.15283,4.8711,-2.23227,50,5.58324,4.69914,-131.37946,-0.80184,-0.26811,26.8881,-23.62936,LAN,HP,"PennMedicinePark ",Independent,ATL,20260516-PennMedicinePark -1,19eef760-5179-11f1-b3fc-392db56ee5a3,91.6977,,,7.32031,,,,,,,e11a0037-0381-4f25-8b92-77873ecee967,2026-05-16,22:46:38.74,2026-05-16T18:46:38.7461632-04:00,2026-05-16T22:46:38.7461632Z,,v3,1889,5431,,"DeLuca, Joe",700593,Right,LAN,dbe9baf9-710d-48ad-87cb-75b2d3755ae4,53.43964,-132.08154,13.44405,5.59612,-0.18485,-11.81468,-2.35506,4.70614,-0.13406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-16,18:46:52.51,1,2,"Bollman, Jason",700180,Right,LAN,"Burt, D.J.",656274,Right,HP,Undefined,1,Top,0,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.09338,-1.40702,-2.790467,2298.380855,211.069637,1:00,5.61082,2.16976,7.03425,-22.77304,9.60859,5.15402,2.43297,0.06203,83.10618,-5.750306,-1.846237,0.409563,,,,,,,,,,,,-3.59784,5.87024,-2.00201,50,5.51786,6.26882,-132.38459,-3.86307,-6.34736,29.81563,-21.81771,LAN,HP,"PennMedicinePark ",Independent,ATL,20260516-PennMedicinePark -1,22237dc0-5179-11f1-b3fc-392db56ee5a3,92.03088,,,7.98719,,,,,,,e11a0037-0381-4f25-8b92-77873ecee967,2026-05-16,22:46:52.51,2026-05-16T18:46:52.5177344-04:00,2026-05-16T22:46:52.5177344Z,,v3,1889,5431,,"DeLuca, Joe",700593,Right,LAN,aa49332c-ef99-4939-b032-6fa750ab1bfd,53.46442,-133.16256,14.90781,5.61123,-3.29379,-10.90886,-2.16774,6.43444,-3.17368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-16,18:49:36.11,1,3,"Bollman, Jason",700180,Right,LAN,"Burt, D.J.",656274,Right,HP,Undefined,1,Top,0,1,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.63481,-1.033696,-3.471919,2079.627116,208.921152,1:00,5.62388,2.10895,6.98153,-22.91411,8.87871,4.38713,2.77244,-0.68686,84.34134,-5.377971,-2.670094,0.405822,49.78301,7.801662,168.952544,3834.704347,,,,44.69815,32.10022,167.092953,0.591374,-3.23835,5.31642,-1.89624,50,5.55238,7.91514,-133.16603,-3.04236,-5.84695,27.12485,-22.57504,LAN,HP,"PennMedicinePark ",Independent,ATL,20260516-PennMedicinePark -1,83bc6290-5179-11f1-b3fc-392db56ee5a3,92.87916,3.62915,,7.29347,,,,,,,e11a0037-0381-4f25-8b92-77873ecee967,2026-05-16,22:49:36.11,2026-05-16T18:49:36.1184256-04:00,2026-05-16T22:49:36.1184256Z,GroundBall,v3,1889,5431,,"DeLuca, Joe",700593,Right,LAN,0273f7f4-28b0-4d40-87fa-ff8cc6184559,53.51616,-133.88033,13.56242,5.62467,-2.44788,-11.28752,-2.1067,8.06911,-2.92347,17.336078,-2.21827,-71.36768,2.3958,,,,,,,2.63049,9.80397,-24.11258,,,,,,,1.02927,13.96936,1.99742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-05-16,18:49:58.69,1,4,"Bollman, Jason",700180,Right,LAN,"Burt, D.J.",656274,Right,HP,Undefined,1,Top,0,1,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.35103,-2.095427,-5.097783,2610.526846,113.372617,9:45,5.41576,2.08154,6.29914,-36.0097,2.94843,-4.05414,0.47577,-2.96564,77.80235,-8.722879,-5.826713,0.449232,,,,,,,,,,,,0.67744,2.50382,-1.70442,50,5.24413,11.0433,-122.0967,-5.6041,1.02182,24.22107,-28.39745,LAN,HP,"PennMedicinePark ",Independent,ATL,20260516-PennMedicinePark -1,913a3640-5179-11f1-b3fc-392db56ee5a3,83.90421,,,6.54868,,,,,,,e11a0037-0381-4f25-8b92-77873ecee967,2026-05-16,22:49:58.69,2026-05-16T18:49:58.6912768-04:00,2026-05-16T22:49:58.6912768Z,,v3,1889,5431,,"DeLuca, Joe",700593,Right,LAN,776b35c1-ff57-4cd6-b356-2c7bf2b516b7,54.19918,-122.92689,12.11054,5.41953,-4.63076,-14.19872,-2.08233,11.00828,0.51091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-16,18:50:22.20,1,5,"Bollman, Jason",700180,Right,LAN,"Burt, D.J.",656274,Right,HP,Undefined,1,Top,0,2,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.39141,-1.839649,-3.897884,2419.921114,82.292418,8:45,5.49903,2.46842,6.27886,-39.80581,0.14913,-8.31233,0.48174,-1.82256,76.67369,-9.163706,-5.396867,0.454942,,,,,,,,,,,,3.1702,1.00949,-2.17654,50,5.3439,8.5436,-120.88249,-5.13333,4.65901,25.05849,-30.69046,LAN,HP,"PennMedicinePark ",Independent,ATL,20260516-PennMedicinePark -1,9f26f860-5179-11f1-b3fc-392db56ee5a3,82.851,,,6.71772,,,,,,,e11a0037-0381-4f25-8b92-77873ecee967,2026-05-16,22:50:22.20,2026-05-16T18:50:22.2031872-04:00,2026-05-16T22:50:22.2031872Z,,v3,1889,5431,,"DeLuca, Joe",700593,Right,LAN,c86a7232-ee6f-4317-8d26-8be9e80a5f0d,54.21984,-121.7541,12.52925,5.50389,-4.06582,-15.34523,-2.4709,8.38155,2.3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-16,18:50:37.08,1,6,"Bollman, Jason",700180,Right,LAN,"Burt, D.J.",656274,Right,HP,Undefined,1,Top,0,3,2,Undefined,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,91.35135,-1.669621,-3.624025,2417.55656,204.361991,12:45,5.58571,2.11708,7.04463,-19.15308,12.72485,5.34016,2.46955,-0.73418,84.20414,-5.327279,-2.647241,0.406365,72.39705,56.305526,5.567511,,107.70922,105.56971,22.33193,174.98643,173.81445,14.202022,5.348558,-3.81201,7.54461,-1.89937,50,5.47803,8.2201,-132.75933,-4.36575,-6.84941,26.61958,-18.61786,LAN,HP,"PennMedicinePark ",Independent,ATL,20260516-PennMedicinePark -1,a7fe0050-5179-11f1-b3fc-392db56ee5a3,92.75511,108.11228,,7.14721,,,,1.54876,2.79103,0.71842,e11a0037-0381-4f25-8b92-77873ecee967,2026-05-16,22:50:37.08,2026-05-16T18:50:37.0886656-04:00,2026-05-16T22:50:37.0886656Z,Popup,v3,1889,5431,,"DeLuca, Joe",700593,Right,LAN,d478c451-ad50-4741-8225-b79fe0418a6d,53.455,-133.45029,13.30979,5.58508,-3.88248,-9.30893,-2.11505,8.39789,-3.4247,186.7955,1.55312,58.52378,-15.8733,4.08022,-0.30224,-0.19608,0.07712,-0.01141,0.00062,2.77255,88.69282,-23.03504,3.59411,-1.58055,0.54917,-0.10733,0.01013,-0.00035,0.7172,5.74049,0.55659,0.08579,-0.12659,0.05836,-0.01328,0.00147,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-05-16,18:51:11.30,2,1,"Bollman, Jason",700180,Right,LAN,"Viera, Max",801290,Right,HP,Undefined,1,Top,1,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.14511,-2.100434,-2.935742,2368.264872,196.550816,12:30,5.76575,1.78241,6.64055,-22.35686,9.45709,2.53457,1.97655,-0.69612,85.04409,-6.303515,-2.475026,0.405957,68.33945,40.191158,113.015888,5981.652195,,,,,38.59067,,,-2.10087,5.82181,-1.58514,50,5.61455,6.76913,-133.88476,-5.58339,-3.8391,27.07551,-21.53522,LAN,HP,"PennMedicinePark ",Independent,ATL,20260516-PennMedicinePark -1,bc64a080-5179-11f1-b3fc-392db56ee5a3,92.84833,31.82357,,7.10102,,,,0.82721,2.22489,0.69699,e11a0037-0381-4f25-8b92-77873ecee967,2026-05-16,22:51:11.30,2026-05-16T18:51:11.3041920-04:00,2026-05-16T22:51:11.3041920Z,,v3,1889,5431,,"DeLuca, Joe",700593,Right,LAN,cfd5885d-a51d-4abb-8a38-1992e9d39036,53.85871,-134.66284,13.53775,5.76612,-4.96452,-10.76761,-1.78126,6.87946,-1.91955,,0.82721,-29.93628,-2.00046,1.16785,-0.3898,0.10528,-0.02483,0.00379,0.0001,2.22489,64.68307,-20.02882,1.23752,-0.07976,-0.023,0.009,0.00062,-0.00116,0.69699,70.47112,-15.89458,4.18119,-0.9146,0.18244,-0.03871,0.0088,-0.00174,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-05-16,18:51:31.80,2,2,"Bollman, Jason",700180,Right,LAN,"Viera, Max",801290,Right,HP,Undefined,1,Top,1,0,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.54367,-0.021384,-2.743207,2487.03531,61.867078,8:00,5.44464,2.54622,6.44852,-41.46282,-2.06122,-6.20985,1.96973,-0.49353,76.52376,-7.716345,-3.868615,0.451781,,,,,,,,,,,,2.42351,-0.65579,-2.34931,50,5.42519,6.0435,-121.33898,-1.32701,3.59015,25.15242,-33.14555,LAN,HP,"PennMedicinePark ",Independent,ATL,20260516-PennMedicinePark -1,c8b53ed0-5179-11f1-b3fc-392db56ee5a3,83.43069,,,7.01992,,,,,,,e11a0037-0381-4f25-8b92-77873ecee967,2026-05-16,22:51:31.80,2026-05-16T18:51:31.8021120-04:00,2026-05-16T22:51:31.8021120Z,,v3,1889,5431,,"DeLuca, Joe",700593,Right,LAN,734d150d-2872-47fe-bb41-a32d98987c60,54.04976,-122.17557,12.57621,5.45099,-0.22456,-16.57278,-2.54833,5.92409,1.79508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-16,18:51:48.26,2,3,"Bollman, Jason",700180,Right,LAN,"Viera, Max",801290,Right,HP,Undefined,1,Top,1,0,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.11484,-0.043842,-2.204054,2739.351715,70.971698,8:15,5.54652,2.34625,5.94034,-42.56679,-3.55181,-14.18001,1.95859,-0.88095,77.39364,-7.874818,-4.750547,0.449559,,,,,,,,,,,,6.52918,-1.36598,-2.16282,50,5.51957,5.33064,-123.47709,-1.56482,9.92688,28.07677,-34.25086,LAN,HP,"PennMedicinePark ",Independent,ATL,20260516-PennMedicinePark -1,d28aa3f0-5179-11f1-b3fc-392db56ee5a3,83.84306,,,7.72121,,,,,,,e11a0037-0381-4f25-8b92-77873ecee967,2026-05-16,22:51:48.26,2026-05-16T18:51:48.2624000-04:00,2026-05-16T22:51:48.2624000Z,,v3,1889,5431,,"DeLuca, Joe",700593,Right,LAN,df7f3f53-1456-4fa8-a674-ed2a61997c54,54.55731,-124.50904,14.03839,5.55395,-0.30595,-17.12543,-2.35204,4.96578,4.96344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-16,18:52:19.01,3,1,"Bollman, Jason",700180,Right,LAN,"Dickerson, Alex",543105,Left,HP,Undefined,1,Top,2,0,0,Undefined,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.16685,-0.504047,-1.977168,2384.588737,185.375569,12:15,5.68559,2.01842,6.90413,-21.98796,9.52312,0.80717,3.39389,0.28416,84.60762,-4.683168,-1.829585,0.40402,,,,,,,,,,,,-0.96032,5.50465,-1.8943,50,5.64602,4.59789,-134.07839,-1.79591,-1.75332,28.18655,-22.124,LAN,HP,"PennMedicinePark ",Independent,ATL,20260516-PennMedicinePark -1,e4cabaa0-5179-11f1-b3fc-392db56ee5a3,93.29345,,,7.55923,,,,,,,e11a0037-0381-4f25-8b92-77873ecee967,2026-05-16,22:52:19.01,2026-05-16T18:52:19.0191616-04:00,2026-05-16T22:52:19.0191616Z,,v3,1889,5431,,"DeLuca, Joe",700593,Right,LAN,b9678ae9-046c-4028-b4ee-56596fe3d825,53.59333,-134.83168,14.09327,5.68612,-1.20465,-11.062,-2.01781,4.64475,-0.87666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
