PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-06-02,18:38:30.80,1,1,"Sandberg, Ryan",806389,Right,LI,"Palacios, Joshua",641943,Left,STA_YAN,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.73931,-3.593011,-2.673524,2504.128779,212.504814,1:00,5.95844,1.94547,7.40579,-16.15761,17.19469,10.27859,1.30024,0.34191,83.20507,-6.675655,-0.812542,0.415656,,,,,,,,,,,,-6.10221,10.29225,-1.75844,50,5.69305,5.73609,-131.58598,-8.70398,-10.71492,27.53319,-14.10173,LI,STA_YAN,CenterIslip,Independent,ATL,20260602-CenterIslip-1,c7ed63d0-5ed3-11f1-a60f-1f1ccf7cbcc9,90.68178,,,7.53424,,,,,,,a5db70d9-d7ac-41a4-884c-0c7b1ad6c2fb,2026-06-02,22:38:30.80,2026-06-02T18:38:30.8081664-04:00,2026-06-02T22:38:30.8081664Z,,v3,1896,586,,"Hernandez, Ronaldo",660613,Right,LI,df0fa44a-352e-409a-9bdd-25cfa757b7ae,54.09287,-132.4396,13.76659,5.95613,-8.26678,-7.05086,-1.94142,6.06829,-5.35746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-06-02,18:38:44.54,1,2,"Sandberg, Ryan",806389,Right,LI,"Palacios, Joshua",641943,Left,STA_YAN,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.11541,-1.434357,-2.178075,2507.16621,208.51023,1:00,5.99482,1.99357,7.3791,-16.84651,16.23528,8.24217,3.27014,0.67568,83.17193,-4.660489,-0.686227,0.413967,,,,,,,,,,,,-4.89095,9.18115,-1.84008,50,5.88333,4.69532,-132.33255,-3.77429,-8.66105,28.60037,-15.91579,LI,STA_YAN,CenterIslip,Independent,ATL,20260602-CenterIslip-1,d018e980-5ed3-11f1-a60f-1f1ccf7cbcc9,91.05172,,,7.94348,,,,,,,a5db70d9-d7ac-41a4-884c-0c7b1ad6c2fb,2026-06-02,22:38:44.54,2026-06-02T18:38:44.5455872-04:00,2026-06-02T22:38:44.5455872Z,,v3,1896,586,,"Hernandez, Ronaldo",660613,Right,LI,03f99bee-d45f-4875-a97e-b5a744da23ea,54.11806,-133.2196,14.30019,5.99273,-3.28066,-7.95789,-1.98987,4.96395,-4.33053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-06-02,18:39:00.39,1,3,"Sandberg, Ryan",806389,Right,LI,"Palacios, Joshua",641943,Left,STA_YAN,Undefined,1,Top,0,1,1,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.74474,-2.317277,-2.439119,2483.22798,163.828628,11:30,6.01758,2.08688,6.89133,-27.1208,9.3539,-2.44532,1.60283,-0.38295,81.22694,-7.29476,-2.877745,0.434678,,,,,,,,,,,,0.73193,5.59866,-1.88883,50,5.81473,5.46644,-126.10304,-6.00485,1.20291,20.68655,-22.973,LI,STA_YAN,CenterIslip,Independent,ATL,20260602-CenterIslip-1,d98bbc40-5ed3-11f1-a60f-1f1ccf7cbcc9,86.71352,,,5.5178,,,,,,,a5db70d9-d7ac-41a4-884c-0c7b1ad6c2fb,2026-06-02,22:39:00.39,2026-06-02T18:39:00.3954688-04:00,2026-06-02T22:39:00.3954688Z,,v3,1896,586,,"Hernandez, Ronaldo",660613,Right,LI,6146573e-11d7-43b0-8694-e9348555526d,54.61017,-126.85706,10.34328,6.01835,-5.16749,-11.4865,-2.08728,5.42259,0.60146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-06-02,18:39:21.65,1,4,"Sandberg, Ryan",806389,Right,LI,"Palacios, Joshua",641943,Left,STA_YAN,Undefined,1,Top,0,1,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.69787,-0.210764,-1.022474,2513.749492,193.398638,12:30,5.99521,1.96514,7.36811,-16.85099,16.42816,3.66764,4.39699,1.32983,82.89882,-3.44045,-0.358423,0.4152,,,,,,,,,,,,-2.17898,8.91855,-1.89281,50,5.9718,2.20239,-131.8477,-0.9401,-3.83957,27.76311,-16.4587,LI,STA_YAN,CenterIslip,Independent,ATL,20260602-CenterIslip-1,e63c2dd0-5ed3-11f1-a60f-1f1ccf7cbcc9,90.78138,,,7.79904,,,,,,,a5db70d9-d7ac-41a4-884c-0c7b1ad6c2fb,2026-06-02,22:39:21.65,2026-06-02T18:39:21.6591872-04:00,2026-06-02T22:39:21.6591872Z,,v3,1896,586,,"Hernandez, Ronaldo",660613,Right,LI,3d4e682f-6d33-480e-9418-1ca3b7612487,54.12852,-132.71419,13.88156,5.99313,-0.42642,-8.22935,-1.96341,2.32222,-1.91978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-06-02,18:39:37.93,1,5,"Sandberg, Ryan",806389,Right,LI,"Palacios, Joshua",641943,Left,STA_YAN,Undefined,1,Top,0,2,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.83671,-1.052387,-2.194391,2492.425244,194.426151,12:30,5.98614,1.94645,7.3314,-17.18343,16.84501,4.05839,3.58433,0.26306,82.13826,-4.338878,-1.460706,0.419848,,,,,,,,,,,,-2.70575,9.37071,-1.78823,50,5.90096,4.83486,-130.4917,-2.86331,-4.6685,27.28823,-16.0057,LI,STA_YAN,CenterIslip,Independent,ATL,20260602-CenterIslip-1,efef3de0-5ed3-11f1-a60f-1f1ccf7cbcc9,89.77631,,,7.69845,,,,,,,a5db70d9-d7ac-41a4-884c-0c7b1ad6c2fb,2026-06-02,22:39:37.93,2026-06-02T18:39:37.9373568-04:00,2026-06-02T22:39:37.9373568Z,,v3,1896,586,,"Hernandez, Ronaldo",660613,Right,LI,07493f91-f647-4cca-8e11-c373006b4bdd,54.16539,-131.35987,13.64411,5.98396,-2.35409,-8.00285,-1.94441,4.98338,-2.33425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-06-02,18:39:54.39,1,6,"Sandberg, Ryan",806389,Right,LI,"Palacios, Joshua",641943,Left,STA_YAN,Undefined,1,Top,0,3,2,Undefined,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.89898,-0.408058,-1.726007,2474.615245,190.559903,12:15,6.01888,1.92415,7.19454,-18.88186,16.228,2.8091,4.06849,0.56432,80.80051,-4.012925,-1.219291,0.426468,,,,,,,,,,,,-1.94764,8.84969,-1.79552,50,5.97847,3.77245,-129.0709,-1.44938,-3.26839,28.17052,-17.32296,LI,STA_YAN,CenterIslip,Independent,ATL,20260602-CenterIslip-1,f9c629a0-5ed3-11f1-a60f-1f1ccf7cbcc9,88.38287,,,8.09847,,,,,,,a5db70d9-d7ac-41a4-884c-0c7b1ad6c2fb,2026-06-02,22:39:54.39,2026-06-02T18:39:54.3962112-04:00,2026-06-02T22:39:54.3962112Z,,v3,1896,586,,"Hernandez, Ronaldo",660613,Right,LI,6634a5c9-a8a6-4b01-a3c0-67fb24c9f866,54.30087,-130.0062,14.08526,6.01705,-0.87423,-8.66148,-1.92257,3.88096,-1.63419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-06-02,18:40:29.10,2,1,"Sandberg, Ryan",806389,Right,LI,"Briggs, Lamar",811615,Right,STA_YAN,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.10029,-0.352308,-1.627469,2580.046813,193.813378,12:30,6.00748,2.03853,7.33971,-17.12568,16.88969,3.87445,4.25585,0.86266,81.78893,-3.646926,-0.926608,0.419768,,,,,,,,,,,,-2.47917,9.20768,-1.92177,50,5.97347,3.55651,-130.84147,-1.25869,-4.27078,29.22307,-16.3124,LI,STA_YAN,CenterIslip,Independent,ATL,20260602-CenterIslip-1,0eb337e0-5ed4-11f1-a60f-1f1ccf7cbcc9,89.79359,,,8.31135,,,,,,,a5db70d9-d7ac-41a4-884c-0c7b1ad6c2fb,2026-06-02,22:40:29.10,2026-06-02T18:40:29.1016704-04:00,2026-06-02T22:40:29.1016704Z,,v3,1896,586,,"Hernandez, Ronaldo",660613,Right,LI,34dee1aa-53d7-4cbd-8dfb-72d2609cf9ca,54.15554,-131.76633,14.61154,6.00514,-0.74243,-8.1562,-2.03646,3.69167,-2.13539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-06-02,18:40:47.57,2,2,"Sandberg, Ryan",806389,Right,LI,"Briggs, Lamar",811615,Right,STA_YAN,Undefined,1,Top,0,1,0,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.85547,0.133912,-1.508692,2468.164709,132.466598,10:30,5.99287,2.08363,6.76977,-33.76285,6.4978,-5.93788,3.30397,0.18448,77.07278,-6.07073,-2.571784,0.45668,73.18367,7.618192,174.034091,2095.51458,,,,61.42446,38.45706,170.500211,0.603673,2.64461,3.67736,-1.95551,50,5.98368,3.41482,-120.48997,-0.84509,3.95161,19.80991,-26.6793,LI,STA_YAN,CenterIslip,Independent,ATL,20260602-CenterIslip-1,19740e70-5ed4-11f1-a60f-1f1ccf7cbcc9,82.53581,4.55579,,5.78269,,,,1.77565,2.98652,0.13837,a5db70d9-d7ac-41a4-884c-0c7b1ad6c2fb,2026-06-02,22:40:47.57,2026-06-02T18:40:47.5771904-04:00,2026-06-02T22:40:47.5771904Z,LineDrive,v3,1896,586,,"Hernandez, Ronaldo",660613,Right,LI,47343ee5-aaa8-4d02-8c21-6fad3cba28ec,54.72795,-121.2648,9.90495,5.99633,0.19844,-13.33965,-2.08605,3.26026,1.97581,31.867725,1.80963,-106.55687,5.21473,,,,,,,2.99826,13.97375,-31.40745,,,,,,,0.12709,11.30403,8.77523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
9,2026-06-02,18:41:35.24,2,3,"Sandberg, Ryan",806389,Right,LI,"Briggs, Lamar",811615,Right,STA_YAN,Undefined,1,Top,0,1,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.84379,-2.410593,-3.042706,2489.326931,194.084107,12:30,5.98408,2.0439,7.3922,-16.57958,16.91324,3.96024,2.38089,-0.42722,82.6544,-5.590014,-2.326687,0.416531,75.36949,24.104798,147.7691,3884.650108,,,,,59.91461,,,-2.97347,9.88367,-1.82695,50,5.80286,6.84377,-131.73299,-5.99688,-5.19128,29.67248,-14.9184,LI,STA_YAN,CenterIslip,Independent,ATL,20260602-CenterIslip-1,35d78330-5ed4-11f1-a60f-1f1ccf7cbcc9,90.49136,22.96063,,8.18939,,,,0.86066,2.29706,0.43039,a5db70d9-d7ac-41a4-884c-0c7b1ad6c2fb,2026-06-02,22:41:35.24,2026-06-02T18:41:35.2411136-04:00,2026-06-02T22:41:35.2411136Z,,v3,1896,586,,"Hernandez, Ronaldo",660613,Right,LI,070ef1df-9d57-4852-8ad3-8510fc9c0c33,54.1054,-132.6545,14.83624,5.98191,-5.53358,-7.4592,-2.04199,7.00499,-2.59564,280.968499,0.86066,-85.35399,4.94036,0.52946,-0.07633,0.04856,-0.00733,-0.00102,0.00064,2.29706,45.14601,-21.59996,2.04547,-0.37129,0.08608,-0.0142,0.00386,-0.00085,0.43039,53.81459,-14.91307,2.06492,-0.44501,0.08476,-0.01443,0.00453,-0.00099,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-06-02,18:42:02.67,2,4,"Sandberg, Ryan",806389,Right,LI,"Briggs, Lamar",811615,Right,STA_YAN,Undefined,1,Top,0,1,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.38852,-1.049075,-3.401553,2302.183566,151.195032,11:00,5.98421,1.96494,6.88465,-31.89954,8.87115,-4.26516,2.34991,-1.5529,76.59572,-6.917179,-4.164836,0.459563,,,,,,,,,,,,1.37079,5.1539,-1.68775,50,5.88084,7.27306,-119.63622,-3.20562,2.01214,20.31059,-24.60868,LI,STA_YAN,CenterIslip,Independent,ATL,20260602-CenterIslip-1,463ce670-5ed4-11f1-a60f-1f1ccf7cbcc9,82.01795,,,5.7928,,,,,,,a5db70d9-d7ac-41a4-884c-0c7b1ad6c2fb,2026-06-02,22:42:02.67,2026-06-02T18:42:02.6719744-04:00,2026-06-02T22:42:02.6719744Z,,v3,1896,586,,"Hernandez, Ronaldo",660613,Right,LI,ac59b4f3-fbd7-4924-8e2e-2ff3a273c2be,54.615,-120.41716,10.1553,5.98591,-2.25942,-12.30434,-1.96591,7.19569,1.00607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
