Season,season_id,Team,team_id,player_id,Player,stats_url,2B,3B,AB,AVG,BB,CS,DP,E,G,H,HBP,HR,P,R,RBI,SB,SF,SH,SO
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751038,"Liranzo, J",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,1,1.000,0,0,0,0,3,1,0,0,P,1,0,0,0,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1750753,"Cordero, A",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,40,0,490,.339,32,3,19,12,121,166,6,15,IF,83,116,12,12,0,73
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751035,"Garcia, W",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,22,0,350,.334,14,0,14,2,89,117,4,13,1B,35,63,0,5,0,24
ALPB- 2023,34162,Lancaster Barnstormers,3613,1750306,"Mercedes, M",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,30,1,439,.328,90,5,4,7,120,144,6,8,IF,103,57,34,6,6,62
ALPB- 2023,34162,Lancaster Barnstormers,3613,1745309,"Sandoval, A",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,31,1,350,.323,36,3,8,5,96,113,5,12,RF,59,62,23,5,0,47
ALPB- 2023,34162,Lancaster Barnstormers,3613,1745308,"Coca, Y",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,17,3,367,.311,35,1,7,11,100,114,1,5,3B,75,42,37,1,13,85
ALPB- 2023,34162,Lancaster Barnstormers,3613,1745482,"Carpenter, J",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,22,0,337,.297,18,1,8,9,97,100,9,16,1B,56,62,5,4,0,73
ALPB- 2023,34162,Lancaster Barnstormers,3613,1750453,"Peroni, A",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,4,0,80,.275,16,0,4,0,27,22,0,1,C,9,13,0,0,1,15
ALPB- 2023,34162,Lancaster Barnstormers,3613,1747595,"Loehr, T",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,8,0,280,.275,27,6,9,5,90,77,11,4,2B,49,37,8,3,4,45
ALPB- 2023,34162,Lancaster Barnstormers,3613,1746612,"Sedio, C",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,6,1,84,.274,10,2,1,0,29,23,6,2,IF,20,9,1,1,0,23
ALPB- 2023,34162,Lancaster Barnstormers,3613,1750898,"Proctor, C",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,7,3,158,.272,11,5,3,1,62,43,2,4,C,34,25,13,5,1,34
ALPB- 2023,34162,Lancaster Barnstormers,3613,1749702,"Robinson, T",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,20,1,294,.269,67,4,8,5,95,79,3,9,LF,61,52,8,3,3,92
ALPB- 2023,34162,Lancaster Barnstormers,3613,1750750,"Dunston, S",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,9,4,222,.261,33,5,1,0,73,58,2,9,LF,47,36,25,4,1,57
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751042,"Conley, J",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,13,1,300,.237,31,7,4,9,95,71,3,6,C,46,40,29,4,2,66
ALPB- 2023,34162,Lancaster Barnstormers,3613,1745222,"Dugan, K",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,4,0,136,.191,14,0,3,1,38,26,6,8,RF,17,24,0,1,0,34
ALPB- 2023,34162,Lancaster Barnstormers,3613,1744259,"Hoover, J",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,5,3,188,.176,23,1,3,6,67,33,1,0,SS,27,18,10,2,1,65
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751048,"Rich, M",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,19,.158,5,0,0,0,12,3,0,0,C,3,4,1,1,1,5
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751039,"Gómez, O",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,0,.000,0,0,0,0,2,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751041,"Warren, Z",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,0,.000,0,0,0,1,2,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751051,"Adams, M",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,0,.000,0,0,0,0,5,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751047,"Marconi, B",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,2,.000,0,0,0,0,3,0,0,0,P,0,0,0,0,0,1
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751049,"Brierley, C",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,1,.000,0,0,0,0,1,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1750557,"Clarke, B",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,1,.000,0,0,0,1,7,0,0,0,P,0,0,0,0,0,1
ALPB- 2023,34162,Lancaster Barnstormers,3613,1750458,"DiSabatino, D",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,0,.000,0,0,0,1,2,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751052,"Johnston, S",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,1,.000,0,0,0,0,1,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,876318,"Granitz, G",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,0,.000,0,0,0,0,3,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751050,"Felix, J",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,2,.000,1,0,0,0,1,0,0,0,C,0,0,0,0,0,1
ALPB- 2023,34162,Lancaster Barnstormers,3613,1750461,"LaPorte, T",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,1,.000,0,0,0,1,17,0,0,0,P,5,0,1,0,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751043,"Duron, N",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,0,.000,0,0,0,0,1,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751037,"Lee, A",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,0,.000,0,0,0,0,1,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1750892,"Aker, C",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,0,0,0,.000,0,0,0,0,2,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750969,"Hackimer, T",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,1,1.000,0,0,0,1,5,1,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750689,"Varela, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,3,.667,0,0,0,0,3,2,0,0,P,0,0,0,0,0,1
ALPB- 2023,34162,Long Island Ducks,3609,1750416,"Castro, C",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,11,0,181,.354,9,0,3,2,46,64,1,10,C,34,31,2,1,0,44
ALPB- 2023,34162,Long Island Ducks,3609,1749708,"Ford, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,9,0,100,.340,8,0,2,1,28,34,0,1,LF,22,14,1,0,0,18
ALPB- 2023,34162,Long Island Ducks,3609,1750195,"Cepeda, C",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,3,.333,0,0,0,0,5,1,0,0,P,1,0,0,0,0,1
ALPB- 2023,34162,Long Island Ducks,3609,1750956,"Murphy, D",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,9,1,142,.331,15,0,3,4,37,47,5,2,2B,20,19,3,0,0,18
ALPB- 2023,34162,Long Island Ducks,3609,1750959,"Dickerson, A",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,23,2,401,.314,49,0,4,3,107,126,3,26,LF,71,91,0,3,0,77
ALPB- 2023,34162,Long Island Ducks,3609,1694117,"Sisco, C",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,6,0,95,.305,27,0,2,2,31,29,4,11,C,24,33,0,1,0,18
ALPB- 2023,34162,Long Island Ducks,3609,1750668,"Travis, S",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,24,1,456,.303,43,3,10,11,119,138,4,19,1B,82,92,1,5,0,49
ALPB- 2023,34162,Long Island Ducks,3609,1750972,"Wilson, M",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,1,1,33,.303,3,0,0,0,18,10,1,0,OF,6,3,1,0,0,14
ALPB- 2023,34162,Long Island Ducks,3609,1711164,"De Aza, A",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,15,1,295,.298,45,0,5,5,78,88,4,4,CF,54,49,7,4,1,45
ALPB- 2023,34162,Long Island Ducks,3609,1750963,"Hechavarría, A",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,12,1,145,.297,22,0,2,9,38,43,1,7,2B,29,34,2,3,0,24
ALPB- 2023,34162,Long Island Ducks,3609,1750957,"Tejada, R",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,14,0,266,.293,53,0,5,6,71,78,9,6,SS,59,35,3,0,0,35
ALPB- 2023,34162,Long Island Ducks,3609,1750975,"Guerrero, L",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,2,1,28,.286,3,0,0,2,8,8,0,2,OF,7,8,4,0,0,10
ALPB- 2023,34162,Long Island Ducks,3609,1750050,"Powell, H",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,12,0,239,.285,34,5,2,2,66,68,6,6,CF,50,35,18,7,0,44
ALPB- 2023,34162,Long Island Ducks,3609,1750961,"Goodwin, B",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,16,0,220,.277,40,4,2,3,59,61,0,12,CF,50,38,13,1,0,43
ALPB- 2023,34162,Long Island Ducks,3609,1750669,"DeCarlo, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,30,3,383,.274,59,0,13,15,114,105,12,15,C,60,71,2,4,0,64
ALPB- 2023,34162,Long Island Ducks,3609,1750673,"Lin, T",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,6,4,152,.270,28,2,0,1,45,41,0,7,SS,34,23,7,0,1,36
ALPB- 2023,34162,Long Island Ducks,3609,1750646,"Bell, B",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,24,2,302,.262,29,3,7,12,85,79,5,12,3B,53,66,22,4,0,55
ALPB- 2023,34162,Long Island Ducks,3609,1750971,"Guzmán, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,7,0,158,.259,7,4,3,7,47,41,1,1,SS,18,22,5,0,3,41
ALPB- 2023,34162,Long Island Ducks,3609,1750954,"Ramos, W",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,7,1,150,.233,12,0,12,1,39,35,1,3,C,19,24,0,1,0,18
ALPB- 2023,34162,Long Island Ducks,3609,1764620,"Kelly, S",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,4,0,82,.232,8,1,1,2,22,19,7,0,SS,15,6,6,1,4,15
ALPB- 2023,34162,Long Island Ducks,3609,1750683,"Caulfield, P",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,4,0,82,.220,3,1,1,5,27,18,2,0,2B,10,9,4,1,2,16
ALPB- 2023,34162,Long Island Ducks,3609,1750979,"Geraci, E",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,29,.207,3,0,1,0,16,6,1,0,OF,5,4,2,1,0,10
ALPB- 2023,34162,Long Island Ducks,3609,1750688,"Woodcock, D",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,4,0,87,.195,10,1,0,3,30,17,2,6,RF,18,12,1,1,1,30
ALPB- 2023,34162,Long Island Ducks,3609,1750978,"Russo, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,12,.167,1,0,0,1,4,2,1,1,IF,2,3,0,0,0,3
ALPB- 2023,34162,Long Island Ducks,3609,1749710,"Sánchez, H",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,7,.143,2,0,1,1,2,1,0,0,C,1,2,0,0,0,1
ALPB- 2023,34162,Long Island Ducks,3609,1750962,"Salcedo, E",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,1,41,.122,4,0,1,0,18,5,0,0,3B,1,5,2,1,0,13
ALPB- 2023,34162,Long Island Ducks,3609,1750977,"Taylor, T",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,1,1,51,.118,7,3,1,0,35,6,0,0,OF,14,3,8,0,1,24
ALPB- 2023,34162,Long Island Ducks,3609,1750453,"Peroni, A",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,53,.075,9,0,2,3,19,4,2,0,C,4,2,0,0,0,11
ALPB- 2023,34162,Long Island Ducks,3609,1750089,"Sandford, C",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,28,.036,2,1,1,0,20,1,0,0,OF,12,0,7,0,0,9
ALPB- 2023,34162,Long Island Ducks,3609,1743144,"Alintoff, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,3,.000,0,0,0,0,10,0,0,0,P,0,0,0,0,0,3
ALPB- 2023,34162,Long Island Ducks,3609,1750046,"Iorio, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,4,.000,0,0,0,0,11,0,0,0,P,3,0,0,0,0,2
ALPB- 2023,34162,Long Island Ducks,3609,1750968,"Chentouf, Y",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,0,2,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750974,"Kessler, S",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,0,3,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750705,"Mills, M",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,0,1,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750966,"Yacabonis, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,0,1,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1357705,"Jose, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,1,6,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750976,"Courtney, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,0,2,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750943,"Van Gurp, F",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,1,7,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750973,"Anderson, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,1,.000,0,0,0,1,6,0,0,0,P,0,0,0,0,0,1
ALPB- 2023,34162,Long Island Ducks,3609,1750960,"Lobstein, K",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,1,0,0,0,6,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750970,"Hayes, W",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,0,8,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1727610,"Fishman, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,0,5,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750588,"Kuzia, J",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,0,9,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1768953,"Alburquerque, A",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,0,7,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1708137,"Pinto, W",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,1,3,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750958,"Quackenbush, K",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,0,.000,0,0,0,0,9,0,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Long Island Ducks,3609,1750938,"Solter, M",https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,0,0,1,.000,0,0,0,0,1,0,0,0,P,0,0,0,0,0,1
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750999,"Pucheu, J",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,1,0,1,1.000,0,0,0,1,3,1,0,0,P,0,0,0,0,0,0
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750993,"Kerrigan, J",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,11,1,145,.345,18,2,2,0,40,50,9,13,OF,30,43,9,3,0,28
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750077,"Crosby, A",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,17,0,362,.323,36,3,8,11,98,117,4,8,1B,43,66,22,6,0,46
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750712,"Wielansky, M",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,5,2,97,.320,14,0,0,0,25,31,1,8,SS,25,21,3,3,0,16
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750710,"Haug, R",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,15,1,186,.317,19,0,3,2,55,59,13,4,C,28,38,3,3,0,24
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750398,"Lee, B",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,30,6,442,.292,62,3,12,3,118,129,5,11,LF,72,71,12,3,1,114
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750988,"Lee, K",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,15,1,303,.277,56,5,10,6,89,84,11,15,CF,60,66,13,5,0,81
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1716577,"Baca, M",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,13,1,378,.265,33,3,8,14,111,100,11,1,2B,56,37,23,4,0,75
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750683,"Caulfield, P",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,22,3,339,.263,29,7,7,10,91,89,1,3,2B,40,39,11,3,0,46
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750715,"Yetsko, I",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,10,2,213,.258,15,2,3,13,72,55,4,7,2B,36,25,10,2,5,74
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,1750998,"Kueber, G",https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,1,0,33,.242,5,1,1,4,12,8,1,0,SS,1,2,1,0,3,11
