Season,season_id,Team,team_id,player_id,Player,stats_url,2B,3B,BB,CG,ER,ERA,G,GS,H,IP,L,R,SO,SV,W
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751045,"Stashak, C",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162&view=pitching,0,0,0,0,0,0.00,2,0,0,2.0,0,0,4,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751049,"Brierley, C",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162&view=pitching,0,0,2,0,0,0.00,4,0,1,2.2,0,0,5,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1695435,"Long, N",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162&view=pitching,0,0,1,0,0,0.00,1,0,0,1.0,0,0,3,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751038,"Liranzo, J",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162&view=pitching,0,0,3,0,1,0.90,8,0,10,10.0,0,1,18,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751043,"Duron, N",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162&view=pitching,5,0,11,0,5,2.01,23,0,15,22.1,0,6,36,2,2
ALPB- 2023,34162,Lancaster Barnstormers,3613,1695442,"Tedesco, B",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162&view=pitching,0,0,3,0,3,2.25,2,2,13,12.0,1,3,7,0,1
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751044,"Lakins, T",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162&view=pitching,1,0,1,0,1,3.00,3,0,5,3.0,1,1,4,0,0
ALPB- 2023,34162,Lancaster Barnstormers,3613,1750794,"Reitz, M",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162&view=pitching,1,0,2,0,2,3.00,1,1,5,6.0,0,3,3,0,1
ALPB- 2023,34162,Lancaster Barnstormers,3613,1751051,"Adams, M",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162&view=pitching,9,2,19,0,18,3.17,51,0,45,51.0,6,25,42,12,3
ALPB- 2023,34162,Lancaster Barnstormers,3613,1230841,"Lakind, J",https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162&view=pitching,20,2,63,0,44,3.53,23,21,95,112.0,4,51,99,0,9
