Pitcher,RelSpeed,Date,PitchCall,SpinRate,Batter
"Dilone, Julio",101.09588,5/14/2025,StrikeSwinging,2660.830542,"Yetsko, Ian"
"Reed, Michael",98.53066,2025-08-05,StrikeCalled,2671.595406,"Alleyne, Bubba"
"Klobosits, Gabe",98.48836,2025-08-09,StrikeSwinging,2408.372268,"DiGiacomo, Giovanni"
"Green, Max",98.31563,2025-07-04,StrikeSwinging,2367.565186,"Blackwell, Benjamin"
"Maruskin, Jack",97.98301,5/11/2025,StrikeSwinging,2094.823736,"Higgins, Ryan"
"Alvarez, Manuel",97.93554,2025-06-04,InPlay,2287.393773,"Wilson, Cody"
"Edwards, Christian",97.79597,2025-07-05,InPlay,2163.281088,"Howard, Pearce"
"Moreno, Gerson",97.72665,2025-06-10,StrikeSwinging,2389.366844,"Atwood, Andy"
"Vennaro, Zach",97.6651,2025-05-25,StrikeCalled,2140.013536,"Alonso, Alan"
"Rees, Jackson",97.65805,2025-07-13,StrikeSwinging,2456.070872,"Kohlwey, Taylor"
"Alesandro, Ronaldo",97.47395,2025-06-26,InPlay,2287.111812,"Atwood, Andy"
"Branche, Stevie",97.40126,2025-07-12,StrikeCalled,2570.491565,"Scantlin, Nate"
"Llovera, Mauricio",97.1511,2025-06-04,StrikeSwinging,2245.982315,"Contreras, Mark"
"Thompson, Cory",97.11349,2025-07-19,InPlay,2342.179302,"Johnson, Kolby"
"Cellucci, Brendan",97.09869,2025-08-07,StrikeCalled,2516.053191,"Encarnacion, JC"
"Blair, Daniel",96.97651,2025-07-30,InPlay,2220.468501,"Fuentes, Brian"
"Johnson, Kyle",96.93804,5/16/2025,StrikeSwinging,1986.168345,"Kaler, Kole"
"Andrews, Tanner",96.79461,2025-06-07,StrikeSwinging,2332.672031,"Lucky, Nick"
"Henriquez, Jonh",96.76451,5/2/2025,StrikeCalled,2372.344042,"Howard, Pearce"
"Haab, Jonathan",96.68186,4/29/2025,StrikeSwinging,2609.670653,"Abreu, Osvaldo"
