Pitcher,SpinRate,PitchCount
"Mikolajchak, Nick",2756.6692145,20
"McGowin, Kyle",2667.0834092525256,99
"Helvey, Clay",2602.0666838157895,76
"Vallimont, Chris",2595.908560641026,117
"Branche, Stevie",2579.5265757,20
"Richardson, David",2567.6280178461534,13
"Engler, Scott",2563.3203560588236,17
"Alvarez, Manuel",2540.9518686666665,12
"Weisenburger, Jack",2520.1836045660375,53
"Overton, Connor",2519.5796631578946,38
"Mejia, Adalberto",2518.18783293578,109
"Mahoney, Jack",2512.0738980243905,41
"Pace, Foster",2505.655628869565,23
"Scrubb, Andre",2493.131736679012,243
"Stashak, Cody",2473.51652325,40
"Wells, Nick",2472.9440383061224,49
"Saturria, Michael",2470.8989793992246,258
"Ferrer, Ben",2453.6633074,10
"Kickham, Mike",2444.2608138765822,316
"Solter, Matt",2439.8626827894736,38
