Pitcher,SpinRate,PitchCount
"Corona, Reibyn",2657.1177330769233,13
"Blanton, Bryan",2629.1111683927493,331
"Picone, Domenic",2624.1233945588788,535
"Kahaloa, Ian",2583.4405561324375,521
"Helvey, Clay",2565.2079987103825,183
"Gant, John",2554.1326219634147,82
"Rivera, Eduardo",2545.905760288889,45
"Branche, Stevie",2542.5603054642856,280
"Lewis, Justin",2536.8163904328358,67
"Mejia, Adalberto",2533.605162409091,22
"Gilliam, Ryley",2530.8279886551722,116
"Hasler, Kent",2526.075945763713,237
"Bedford, Matt",2513.298312695652,92
"Kelly, John",2509.299608299003,301
"Mikolajchak, Nick",2509.0333485799997,50
"Engler, Scott",2499.71904988806,402
"Reed, Michael",2496.145726219178,73
"Scafidi, Christian",2493.190319164179,134
"Loper, Jimmy",2480.270579959276,442
"Firoved, Graham",2474.7078238928575,28
