Pitcher,SpinRate,PitchCount
"Blanton, Bryan",2583.0479692692306,156
"DeSanti, Michael",2562.5761880612245,49
"Branche, Stevie",2509.102923987805,82
"Kelly, John",2498.3251185,10
"Meza, Carlos",2496.0587051,10
"Gant, John",2491.342757,17
"Snead, Kirby",2485.3903477942586,209
"Bedford, Matt",2484.295126758621,29
"McGowin, Kyle",2472.264758918182,220
"Reed, Michael",2455.12056634375,32
"Lewis, Justin",2440.3241563636366,77
"Tropeano, Nick",2435.8029781875,16
"Williams, Peyton",2434.6211689770994,131
"Vazquez, Rafi",2428.9487666282052,78
"Conklin, MacCallan",2426.6332479677417,31
"Rees, Jackson",2410.1827688088642,361
"Reyes, Carlo",2409.954468892857,28
"Wright, Jarod",2396.70746216129,31
"Brennan, Tim",2384.9595183045685,197
"Martin, Garrett",2381.80413379661,59
