Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle (°),Horizontal Approach Angle (°),Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color
6.24,2025-05-01 23:45:04,86.46,1766,2:15,6.47,13.07,-8.69,-2.34,-0.62,0.32,5.57,2.63,ChangeUp,"hsla(0, 0%, 58%, 1)"
6.12,2025-05-01 22:46:15,87.05,1779,2:30,6.06,16.03,-7.08,-0.57,0.87,1.74,5.63,2.73,ChangeUp,"hsla(0, 0%, 58%, 1)"
6.18,2025-05-01 23:17:38,87.18,1907,2:15,7.2,17.28,-6.55,-0.57,0.7,2.15,5.64,2.67,ChangeUp,"hsla(0, 0%, 58%, 1)"
5.88,2025-05-01 23:27:27,84.99,1660,2:30,5.97,16.36,-7.06,-1.57,-0.16,1.98,5.65,2.66,ChangeUp,"hsla(0, 0%, 58%, 1)"
5.66,2025-05-01 23:28:22,86.59,1782,2:30,5.8,16.36,-8.13,-0.88,0.38,0.86,5.67,2.57,ChangeUp,"hsla(0, 0%, 58%, 1)"
6.02,2025-05-01 22:56:52,94.03,2512,1:15,18.55,12.41,-4.81,-2.3,-0.54,2.45,5.67,2.62,Four-Seam,"hsla(0, 0%, 58%, 1)"
6.05,2025-05-01 22:47:00,85.58,1673,2:15,7.39,15.25,-6.11,-0.46,1.07,2.67,5.69,2.76,ChangeUp,"hsla(0, 0%, 58%, 1)"
11.76,2025-05-01 23:17:58,170.91,4639,2:00,10,13.57,-16.39,-6.59,-2.03,1.93,5.7,2.62,ChangeUp,"hsla(0, 0%, 58%, 1)"
6.16,2025-05-01 23:14:08,86.62,1749,2:30,6.8,19.38,-6.87,-0.07,1.04,2.04,5.7,2.72,ChangeUp,"hsla(0, 0%, 58%, 1)"
5.18,2025-05-01 23:46:05,79.9,2592,8:30,-0.7,-6.35,-8.65,-3.42,0.12,1.57,5.72,2.81,Slider,"hsla(0, 0%, 58%, 1)"
5.25,2025-05-01 23:49:10,80.62,2570,8:45,0.28,-7.17,-7.27,-3.17,0.44,2.75,5.75,2.82,Slider,"hsla(0, 0%, 58%, 1)"
6.1,2025-05-01 23:29:24,91.83,2396,1:15,16.02,10.83,-4.88,-1.75,0.04,2.81,5.76,2.55,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.92,2025-05-01 22:57:08,88.82,1800,2:30,6.74,17.63,-6.82,-0.31,0.82,1.97,5.76,2.58,ChangeUp,"hsla(0, 0%, 58%, 1)"
5.2,2025-05-01 23:17:22,82.18,2771,8:15,-0.98,-5.41,-7.16,-3.25,0.2,2.89,5.77,2.81,Slider,"hsla(0, 0%, 58%, 1)"
6.02,2025-05-01 23:23:44,87.27,1761,2:15,7.66,17.03,-6.46,0.1,1.4,2.32,5.78,2.73,ChangeUp,"hsla(0, 0%, 58%, 1)"
6.35,2025-05-01 23:13:56,88.07,1789,2:15,7.17,14.82,-7.71,-2.42,-1,1.17,5.79,2.46,ChangeUp,"hsla(0, 0%, 58%, 1)"
5.8,2025-05-01 23:28:39,91.69,2383,1:15,16.11,11.89,-4.63,-1.22,0.43,3.1,5.79,2.55,Four-Seam,"hsla(0, 0%, 58%, 1)"
10.39,2025-05-01 22:44:09,160.95,5217,7:45,-3.6999999999999997,-10.66,-15.309999999999999,-5.31,1.61,5.13,5.8,2.86,Slider,"hsla(0, 0%, 58%, 1)"
5.45,2025-05-01 22:42:50,88.15,2565,11:15,5.87,-2.12,-6.43,-3.04,0.04,2.51,5.81,2.71,Slider,"hsla(0, 0%, 58%, 1)"
5.66,2025-05-01 22:46:33,89.03,2416,1:00,10.18,5.57,-7.3,-2.97,-0.48,1.23,5.82,2.75,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.51,2025-05-01 23:46:44,85.84,2504,11:15,2.91,-0.77,-7.63,-2.91,-0.06,1.78,5.83,2.59,Slider,"hsla(0, 0%, 58%, 1)"
6.04,2025-05-01 23:23:26,93.89,2454,1:00,19.17,10.93,-3.32,-1.42,0.33,3.97,5.84,2.56,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.36,2025-05-01 23:22:54,82.76,2717,9:15,2.64,-9.14,-7.48,-3.95,-0.31,2.24,5.84,2.63,Slider,"hsla(0, 0%, 58%, 1)"
5.85,2025-05-01 22:42:32,92.46,2502,1:00,20.57,9.94,-3.77,-1.69,0.27,3.58,5.84,2.66,Four-Seam,"hsla(0, 0%, 58%, 1)"
6.19,2025-05-01 23:27:43,91.77,2427,1:00,17.46,9.06,-4.85,-2.3,-0.5,2.83,5.85,2.38,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.64,2025-05-01 23:48:53,87.24,2440,12:30,7,1.57,-6.55,-0.98,1.66,2.38,5.86,2.71,Slider,"hsla(0, 0%, 58%, 1)"
6,2025-05-01 22:56:34,93.25,2402,1:00,16.43,8.63,-4.58,-1.47,0.33,3.12,5.9,2.41,Four-Seam,"hsla(0, 0%, 58%, 1)"
6.08,2025-05-01 23:22:39,94.14,2488,1:00,17.14,8.9,-3.69,-1.4,0.41,3.82,5.9,2.44,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.87,2025-05-01 23:28:03,91.64,2378,1:00,17.35,8.71,-2.93,-1.35,0.49,4.72,5.9,2.47,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.31,2025-05-01 23:29:04,82.69,2574,9:00,1.28,-8.62,-8.37,-4.79,-1.21,1.59,5.9,2.58,Slider,"hsla(0, 0%, 58%, 1)"
5.85,2025-05-01 23:46:27,92.98,2402,1:15,17,11.6,-5.95,-2.32,-0.67,1.85,5.91,2.45,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.79,2025-05-01 23:14:39,92.89,2430,12:45,20.68,9.08,-4.72,-0.83,0.81,2.69,5.92,2.34,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.75,2025-05-01 23:48:38,92.17,2425,1:00,17.49,10.47,-4.3,0.59,2.07,3.42,5.94,2.39,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.75,2025-05-01 23:14:24,92.75,2418,12:45,20.86,8.17,-4.34,-0.97,0.65,3.14,6,2.23,Four-Seam,"hsla(0, 0%, 58%, 1)"
