Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle (°),Horizontal Approach Angle (°),Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color
5.11,2025-05-02 01:44:37,85.05,2766,9:00,1.15,-2.64,-7.7,-2.19,-0.19,1.72,5.57,1.65,Slider,"hsla(0, 0%, 58%, 1)"
5.3,2025-05-02 01:20:31,85.55,2616,9:15,2.35,-7.77,-9.36,-2.57,-0.2,0.12,5.62,1.56,Slider,"hsla(0, 0%, 58%, 1)"
5.22,2025-05-02 01:14:53,84.89,2740,9:45,7.22,-13.37,-6.6,-2.21,0.81,2.36,5.62,1.77,Slider,"hsla(0, 0%, 58%, 1)"
6.19,2025-05-02 01:49:12,91.57,2429,12:45,9.72,3.12,-6.96,-2.32,-0.99,1.33,5.63,1.42,Four-Seam,"hsla(0, 0%, 58%, 1)"
6.24,2025-05-02 01:51:58,92.51,2435,12:45,11.39,4.35,-8.15,-2.69,-1.52,0.03,5.66,1.32,Four-Seam,"hsla(0, 0%, 58%, 1)"
6.19,2025-05-02 01:18:36,91.61,2344,1:30,5.08,4.47,-8.01,-2.05,-0.92,0.7,5.66,1.35,Sinker,"hsla(0, 0%, 58%, 1)"
5.17,2025-05-02 01:44:57,84.85,2857,9:15,3,-14.09,-7.78,-4.12,-1.21,1.61,5.66,1.5,Slider,"hsla(0, 0%, 58%, 1)"
5.03,2025-05-02 01:45:16,84.95,2784,9:00,1.39,-10.84,-7.08,-3.46,-0.77,2.37,5.67,1.59,Slider,"hsla(0, 0%, 58%, 1)"
5.95,2025-05-02 01:32:48,92.16,2365,12:45,12.8,4.78,-5.35,-1.39,-0.4,2.54,5.69,1.29,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.99,2025-05-02 01:54:21,93.19,2471,1:00,14.78,8.56,-6.46,-0.63,0,1.29,5.69,1.3,Four-Seam,"hsla(0, 0%, 58%, 1)"
6.11,2025-05-02 01:46:04,91.67,2388,12:15,13.18,1.38,-6.73,-1.77,-0.31,1.24,5.69,1.45,Four-Seam,"hsla(0, 0%, 58%, 1)"
