Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle (°),Horizontal Approach Angle (°),Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color
5.26,2025-05-02 00:43:59,80.01,3064,8:00,-9.86,-17.57,-8.07,-0.91,1.91,3.38,6.13,1.29,Curveball,"hsla(0, 0%, 58%, 1)"
5.11,2025-05-02 00:42:27,83.13,2824,9:00,2.37,-13.82,-5.98,-0.72,1.86,4.19,6.29,1.38,Slider,"hsla(0, 0%, 58%, 1)"
5.62,2025-05-02 00:38:13,94.81,2430,1:45,10.28,11.57,-6.06,0.49,0.75,2.58,6.33,1.26,Sinker,"hsla(0, 0%, 58%, 1)"
4.98,2025-05-02 00:39:29,83.88,2662,8:45,-2.04,-16.48,-7.99,-1.62,1.27,2.53,6.34,1.42,Slider,"hsla(0, 0%, 58%, 1)"
5.25,2025-05-02 00:41:43,93.49,2324,2:00,10.83,19.96,-6.66,1.65,1.21,2.06,6.38,1.32,Sinker,"hsla(0, 0%, 58%, 1)"
5.61,2025-05-02 00:38:35,86.9,2412,8:45,0.49,-3.57,-8.37,-1.28,0.07,1.84,6.43,0.97,Slider,"hsla(0, 0%, 58%, 1)"
5.53,2025-05-02 00:39:45,94.2,2293,2:30,4.48,17.23,-8.15,2.64,1.92,1.21,6.46,0.9,Sinker,"hsla(0, 0%, 58%, 1)"
5.59,2025-05-02 00:43:24,95.74,2461,2:30,6.21,21.19,-7.09,2,0.94,2.09,6.47,0.84,Sinker,"hsla(0, 0%, 58%, 1)"
5.5,2025-05-02 00:41:01,94.67,2442,2:30,5.39,14.6,-6.17,1.16,0.85,2.97,6.47,0.98,Sinker,"hsla(0, 0%, 58%, 1)"
5.62,2025-05-02 00:42:51,95.6,2437,2:30,6.37,19.42,-6.21,1.93,0.87,2.93,6.49,0.7,Sinker,"hsla(0, 0%, 58%, 1)"
5.62,2025-05-02 00:40:08,95.15,2390,1:45,9.98,11.22,-5.87,0.11,-0.02,2.85,6.49,0.81,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.51,2025-05-02 00:42:01,94.17,2375,2:30,6.75,19.49,-7.73,2,1.17,1.55,6.56,0.94,Sinker,"hsla(0, 0%, 58%, 1)"
5.53,2025-05-02 00:43:39,95.81,2422,2:15,8.56,19.22,-7.41,1.68,0.56,1.67,6.57,0.6,Sinker,"hsla(0, 0%, 58%, 1)"
5.63,2025-05-02 00:44:22,96.18,2452,2:00,10.84,19.01,-6.61,1.71,0.67,2.24,6.62,0.65,Sinker,"hsla(0, 0%, 58%, 1)"
