Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle (°),Horizontal Approach Angle (°),Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color
5.11,2025-05-01 01:02:50,94.65,2523,12:45,17.85,6.19,-5.29,-2.33,-0.93,2.08,5.66,1.78,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.21,2025-05-01 01:14:43,94.63,2542,12:45,16.94,7.56,-5.56,-1.58,-0.26,1.96,5.75,1.86,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.08,2025-05-01 01:14:20,93.06,2515,12:45,14.64,5.59,-4.83,-1.49,-0.1,2.98,5.8,1.78,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.12,2025-05-01 01:06:32,94.24,2594,1:00,18.15,9.29,-3.19,-1.38,-0.02,4.19,5.82,2.05,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.14,2025-05-01 01:13:40,93.88,2613,12:45,17.6,6.93,-5.13,-2.1,-0.67,2.42,5.83,1.89,Four-Seam,"hsla(0, 0%, 58%, 1)"
5.01,2025-05-01 01:04:30,94.06,2619,12:45,17.86,6.22,-3.2,-1.58,-0.46,4.26,5.88,1.55,Four-Seam,"hsla(0, 0%, 58%, 1)"
4.63,2025-05-01 01:07:21,82.82,2795,6:30,-20.14,-6.63,-10.28,-2.15,0.34,1.59,5.89,1.83,Curveball,"hsla(0, 0%, 58%, 1)"
4.7,2025-05-01 01:04:08,83.55,2754,6:30,-17.69,-5.81,-11.22,-2.94,-0.89,0.45,5.92,1.41,Curveball,"hsla(0, 0%, 58%, 1)"
4.68,2025-05-01 01:03:07,83.07,2807,6:45,-15.46,-6.89,-9.93,-2.94,-0.7,1.57,5.92,1.51,Curveball,"hsla(0, 0%, 58%, 1)"
4.46,2025-05-01 01:05:08,81.7,2660,6:45,-18.65,-8.61,-8.29,-2.56,0.04,3.53,5.92,1.76,Curveball,"hsla(0, 0%, 58%, 1)"
4.51,2025-05-01 01:13:59,82.94,2659,6:45,-18.46,-9.15,-8.81,-0.89,1.58,2.86,5.93,1.67,Curveball,"hsla(0, 0%, 58%, 1)"
5.11,2025-05-01 01:03:24,94.9,2500,1:00,16.34,7.63,-3.98,-1.86,-0.82,3.68,5.94,1.56,Four-Seam,"hsla(0, 0%, 58%, 1)"
4.59,2025-05-01 01:05:42,82.85,2802,6:45,-15.73,-7.77,-10.38,-3.22,-0.73,1.16,5.95,1.68,Curveball,"hsla(0, 0%, 58%, 1)"
5.23,2025-05-01 01:06:08,94.21,2636,12:45,20.34,7.95,-4.58,-3.52,-2.08,2.85,5.96,1.89,Four-Seam,"hsla(0, 0%, 58%, 1)"
4.58,2025-05-01 01:06:57,82.31,2835,6:45,-16.1,-8.66,-9.57,-2.56,0.18,2.09,5.99,1.89,Curveball,"hsla(0, 0%, 58%, 1)"
4.65,2025-05-01 01:03:41,83.4,2788,6:45,-14.33,-6.99,-9.44,-2.22,-0.13,1.95,6,1.4,Curveball,"hsla(0, 0%, 58%, 1)"
4.71,2025-05-01 01:15:17,83.18,2667,7:00,-14.22,-8.35,-9.85,-2.79,-0.19,1.62,6,1.77,Curveball,"hsla(0, 0%, 58%, 1)"
4.5,2025-05-01 01:02:38,82.84,2738,6:30,-15,-4.98,-8.89,-1.9,0.06,2.65,6.02,1.45,Curveball,"hsla(0, 0%, 58%, 1)"
4.55,2025-05-01 01:13:20,82.14,2752,7:00,-16.83,-9.9,-8.66,-1.03,1.59,3.04,6.03,1.75,Curveball,"hsla(0, 0%, 58%, 1)"
4.56,2025-05-01 01:02:25,82.4,2788,6:45,-14.68,-6.39,-8.43,-2.01,0.21,3.2,6.11,1.59,Curveball,"hsla(0, 0%, 58%, 1)"
