Batter,PitcherHand,PA,AB,H,BB,HBP,AVG,OBP,SLG,K%,BIP%,Ground Out %,Fly Out %,Avg Exit Velo,Avg LA,Avg Distance
"Acal, Justin",Left,7,4,0,1,0,0.0,0.143,0.0,28.6,57.1,25.0,75.0,,,
"Acal, Justin",Right,10,6,1,0,0,0.167,0.1,0.167,30.0,60.0,60.0,0.0,84.8,-14.6,9.3
"Alleyne, Bubba",Left,61,45,14,7,3,0.311,0.393,0.511,8.2,72.1,28.6,46.4,91.7,13.0,228.2
"Alleyne, Bubba",Right,203,145,47,18,2,0.324,0.33,0.49,16.3,70.0,41.5,30.9,89.4,8.2,189.7
"Arocho, Jeremy",Left,91,72,19,8,0,0.264,0.297,0.347,11.0,78.0,54.0,26.0,73.1,14.8,167.7
"Arocho, Jeremy",Right,236,168,55,38,1,0.327,0.398,0.446,11.4,68.2,50.0,25.5,85.1,8.7,160.7
"Berglund, Michael",Left,16,9,2,1,0,0.222,0.188,0.222,37.5,50.0,33.3,50.0,95.8,8.7,147.6
"Berglund, Michael",Right,87,47,12,12,4,0.255,0.322,0.34,25.3,51.7,36.4,27.3,88.3,2.9,175.5
"Connell, Justin",Left,22,14,8,4,2,0.571,0.636,1.071,9.1,63.6,50.0,16.7,93.3,6.6,207.6
"Connell, Justin",Right,82,48,18,17,1,0.375,0.439,0.75,18.3,56.1,50.0,25.0,92.1,9.0,186.8
"Costes, Marty",Left,69,53,15,9,1,0.283,0.362,0.566,7.2,73.9,52.8,30.6,98.1,9.4,231.8
"Costes, Marty",Right,185,135,55,20,7,0.407,0.443,0.63,9.2,70.3,44.0,38.7,95.6,7.2,202.0
"Davis, Jaylin",Left,51,34,9,8,0,0.265,0.333,0.559,17.6,66.7,52.0,36.0,97.4,12.8,210.2
"Davis, Jaylin",Right,198,112,41,28,4,0.366,0.369,0.795,27.3,53.5,49.2,36.1,98.1,12.3,232.1
"Fontana, Shayne",Left,74,53,23,4,3,0.434,0.405,0.66,20.3,71.6,20.0,46.7,90.6,11.2,180.6
"Fontana, Shayne",Right,173,109,48,26,4,0.44,0.451,0.725,18.5,60.7,56.6,24.5,95.6,7.0,189.1
"Higgins, Ryan",Left,94,60,22,11,0,0.367,0.351,0.883,22.3,59.6,37.5,34.4,95.5,20.2,258.5
"Higgins, Ryan",Right,250,155,62,32,3,0.4,0.388,0.716,22.0,60.0,34.5,33.3,97.4,12.6,224.4
"Lewis, Brandon",Left,102,70,27,11,2,0.386,0.392,0.629,18.6,66.7,41.5,29.3,93.8,12.5,193.9
"Lewis, Brandon",Right,312,197,70,25,10,0.355,0.337,0.609,24.7,62.2,36.7,31.7,93.9,15.3,222.4
"Martin, Kyle",Left,4,3,1,0,0,0.333,0.25,0.333,25.0,75.0,50.0,0.0,104.3,-0.1,46.0
"Martin, Kyle",Right,28,19,6,3,1,0.316,0.357,0.684,17.9,67.9,27.3,18.2,102.0,20.7,311.8
"McNeely, Caleb",Left,30,17,7,3,0,0.412,0.333,1.0,30.0,56.7,33.3,33.3,98.1,21.9,276.3
"McNeely, Caleb",Right,81,48,20,12,0,0.417,0.395,0.688,25.9,58.0,45.8,20.8,97.9,15.2,210.0
"McRae, Blake",Left,4,1,0,2,0,0.0,0.5,0.0,25.0,0.0,0.0,0.0,,,
"McRae, Blake",Right,29,11,2,7,1,0.182,0.345,0.182,31.0,37.9,66.7,0.0,62.0,-11.4,122.5
"Miller, Jalen",Left,132,102,35,14,1,0.343,0.379,0.706,9.1,73.5,35.0,41.7,94.9,11.0,227.9
"Miller, Jalen",Right,381,299,101,22,3,0.338,0.331,0.522,14.4,76.1,34.6,35.1,90.8,2.9,160.5
"Olmeda, Alexis",Left,10,6,1,3,0,0.167,0.4,0.333,10.0,60.0,60.0,20.0,102.9,36.1,371.8
"Olmeda, Alexis",Right,38,22,9,3,1,0.409,0.342,0.682,31.6,57.9,53.8,46.2,95.8,9.7,200.0
"Otosaka, Tomo",Left,9,4,1,1,0,0.25,0.222,0.5,44.4,44.4,33.3,0.0,93.1,30.6,344.4
"Otosaka, Tomo",Right,24,14,7,4,0,0.5,0.458,0.714,25.0,58.3,50.0,16.7,80.2,12.6,133.3
"Peralta, Elvis",Left,7,5,2,0,0,0.4,0.286,0.6,28.6,71.4,33.3,33.3,99.1,12.2,203.8
"Peralta, Elvis",Right,23,16,6,1,1,0.375,0.348,0.562,21.7,65.2,42.9,42.9,95.0,20.1,256.8
"Richards, Jairus",Left,6,5,1,0,0,0.2,0.167,0.2,16.7,83.3,33.3,0.0,57.6,36.1,176.1
"Richards, Jairus",Right,23,11,3,2,0,0.273,0.217,0.545,43.5,43.5,57.1,28.6,61.0,-22.2,144.7
"Simington, Miles",Left,9,6,2,0,1,0.333,0.333,1.333,22.2,66.7,50.0,0.0,100.3,29.9,373.3
"Simington, Miles",Right,34,25,6,2,0,0.24,0.235,0.28,20.6,70.6,58.8,41.2,92.0,-3.2,76.5
"Simoneit, Will",Left,93,66,20,10,3,0.303,0.355,0.47,15.1,66.7,41.5,36.6,93.5,15.6,212.0
"Simoneit, Will",Right,231,157,59,26,7,0.376,0.398,0.739,17.3,64.9,44.3,37.5,97.4,16.5,246.7
"Soularie, Alerick",Left,18,12,5,3,0,0.417,0.444,0.5,11.1,66.7,42.9,14.3,97.7,4.9,103.6
"Soularie, Alerick",Right,61,41,9,5,0,0.22,0.23,0.463,19.7,63.9,41.4,34.5,100.7,10.4,229.6
"Tostado, Frankie",Left,99,79,27,2,2,0.342,0.313,0.532,13.1,77.8,40.8,34.7,95.2,9.3,183.6
"Tostado, Frankie",Right,274,224,89,17,3,0.397,0.398,0.701,9.9,80.3,39.4,40.2,98.2,12.9,227.6
"Tostado, Franky",Right,1,1,1,0,0,1.0,1.0,2.0,0.0,100.0,0.0,0.0,103.0,29.6,388.3
"Tovalin, Osvaldo",Left,11,9,3,1,0,0.333,0.364,0.333,0.0,81.8,50.0,16.7,93.2,6.1,148.2
"Tovalin, Osvaldo",Right,32,25,8,1,0,0.32,0.281,0.68,18.8,75.0,43.8,31.2,93.3,19.4,239.4
"Veloz, Omar",Right,3,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,
"Walker, Mason",Left,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
"Walker, Mason",Right,15,6,0,5,0,0.0,0.333,0.0,26.7,40.0,66.7,16.7,,,
"Wehler, Jeffrey",Left,81,60,25,10,0,0.417,0.432,0.75,13.6,72.8,55.9,35.3,93.8,12.6,212.9
"Wehler, Jeffrey",Right,314,210,75,33,1,0.357,0.347,0.59,21.0,64.6,41.9,37.9,93.2,12.3,209.6
"Williams, Chris",Left,24,16,5,2,0,0.312,0.292,0.562,25.0,62.5,20.0,40.0,102.6,15.7,287.3
"Williams, Chris",Right,95,56,18,7,2,0.321,0.284,0.804,30.5,58.9,32.4,37.8,102.1,16.3,277.0
"Zaremba, Matt",Left,2,0,0,1,0,0.0,0.5,0.0,50.0,0.0,0.0,0.0,,,
"Zaremba, Matt",Right,2,1,0,1,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,,
