Batter,PA,AB,H,BB,HBP,AVG,OBP,SLG,Avg Exit Velo,Avg LA,Avg Distance
"Tovalin, Osvaldo",1,1,1,0,0,1.0,1.0,2.0,91.5,34.3,318.1
"Soularie, Alerick",1,1,1,0,0,1.0,1.0,1.0,104.8,7.1,186.9
"Olmeda, Alexis",4,4,3,0,0,0.75,0.75,2.25,96.1,14.3,271.6
"Simoneit, Will",4,3,2,0,1,0.667,0.75,1.667,101.2,17.9,214.5
"Costes, Marty",7,7,3,0,0,0.429,0.429,0.571,92.2,2.4,159.2
"Tostado, Frankie",8,8,2,0,0,0.25,0.25,0.75,104.1,23.1,325.4
"Alleyne, Bubba",4,4,1,0,0,0.25,0.25,0.5,66.2,46.3,197.1
"Wehler, Jeffrey",5,5,1,0,0,0.2,0.2,0.2,87.9,16.3,233.3
"Davis, Jaylin",5,5,1,0,0,0.2,0.2,0.2,92.2,-1.4,32.1
"Arocho, Jeremy",5,5,1,0,0,0.2,0.2,0.8,94.1,27.8,352.7
"Lewis, Brandon",7,7,1,0,0,0.143,0.143,0.143,111.3,10.7,252.2
"Miller, Jalen",8,8,1,0,0,0.125,0.125,0.25,78.2,22.0,234.4
"Richards, Jairus",1,1,0,0,0,0.0,0.0,0.0,,,
"Otosaka, Tomo",1,1,0,0,0,0.0,0.0,0.0,,,
"Connell, Justin",3,2,0,1,0,0.0,0.333,0.0,,,
"Higgins, Ryan",4,2,0,2,0,0.0,0.5,0.0,,,
"Berglund, Michael",1,1,0,0,0,0.0,0.0,0.0,,,
