gameid,date,start_time,duration,end_time
624171,05/14/2025,10:40 AM,1:44,12:24 PM
624172,05/14/2025,01:06 PM,2:26,03:32 PM
624173,05/15/2025,06:37 PM,2:51,09:28 PM
624297,05/13/2025,06:33 PM,3:06,09:39 PM
624298,05/14/2025,06:34 PM,3:06,09:40 PM
624299,05/15/2025,06:36 PM,2:27,09:03 PM
624420,05/13/2025,06:38 PM,2:45,09:23 PM
624421,05/14/2025,06:41 PM,2:46,09:31 PM
624422,05/15/2025,06:40 PM,3:15,10:03 PM
624547,05/14/2025,02:20 PM,2:41,05:01 PM
624548,05/15/2025,06:39 PM,3:43,10:23 PM
624612,05/13/2025,06:47 PM,2:26,09:13 PM
624613,05/14/2025,10:31 AM,2:42,01:13 PM
624614,05/15/2025,06:50 PM,3:14,10:04 PM
628819,05/14/2025,11:05 AM,2:31,01:36 PM
