gameid,date,start_time,duration,end_time
624105,05/16/2025,07:08 PM,2:38,09:46 PM
624106,05/17/2025,06:52 PM,2:20,09:19 PM
624107,05/18/2025,02:01 PM,2:43,04:44 PM
624231,05/16/2025,06:38 PM,2:40,09:18 PM
624232,05/17/2025,06:37 PM,2:28,09:05 PM
624233,05/18/2025,04:08 PM,2:35,06:43 PM
624357,05/16/2025,07:06 PM,2:42,09:48 PM
624358,05/17/2025,01:03 PM,2:30,03:33 PM
624359,05/18/2025,01:37 PM,3:03,04:40 PM
624423,05/16/2025,06:39 PM,2:55,09:33 PM
624424,05/17/2025,06:39 PM,3:29,10:08 PM
624425,05/18/2025,03:08 PM,2:54,06:21 PM
624486,05/16/2025,07:18 PM,3:07,10:25 PM
624487,05/17/2025,06:36 PM,3:07,09:43 PM
624488,05/18/2025,01:04 PM,3:20,04:24 PM
