gameid,date,start_time,duration,end_time
624117,06/06/2025,06:50 PM,2:54,09:44 PM
624118,06/07/2025,06:52 PM,3:05,09:57 PM
624119,06/08/2025,03:24 PM,3:00,06:24 PM
624240,06/06/2025,06:38 PM,2:30,09:41 PM
624241,06/07/2025,06:40 PM,2:41,09:21 PM
624242,06/08/2025,04:06 PM,2:36,06:42 PM
624555,06/06/2025,06:33 PM,3:23,09:56 PM
624556,06/07/2025,06:01 PM,2:32,08:33 PM
624557,06/08/2025,02:06 PM,2:32,04:38 PM
624621,06/06/2025,07:05 PM,2:55,10:00 PM
624622,06/07/2025,07:00 PM,2:23,10:17 PM
624623,06/08/2025,02:03 PM,3:24,05:27 PM
624687,06/06/2025,07:01 PM,2:55,09:56 PM
624688,06/07/2025,07:03 PM,3:05,10:08 PM
624689,06/08/2025,04:02 PM,3:53,07:55 PM
