gameid,date,start_time,duration,end_time
624126,07/04/2025,06:48 PM,3:19,10:25 PM
624127,07/05/2025,06:50 PM,2:56,09:46 PM
624128,07/06/2025,02:01 PM,3:02,05:03 PM
624129,07/08/2025,06:45 PM,2:32,09:17 PM
624131,07/10/2025,07:58 PM,2:11,10:09 PM
624186,06/27/2025,06:35 PM,3:22,09:57 PM
624187,06/28/2025,06:37 PM,3:13,09:50 PM
624188,06/29/2025,02:10 PM,3:12,05:22 PM
624190,07/02/2025,07:31 PM,2:05,09:36 PM
624191,07/03/2025,06:41 PM,3:21,10:02 PM
624246,06/27/2025,06:37 PM,2:42,09:19 PM
624247,06/28/2025,06:36 PM,2:44,09:20 PM
624248,06/29/2025,04:06 PM,3:02,07:08 PM
624249,07/01/2025,06:36 PM,1:26,08:02 PM
624250,07/02/2025,06:36 PM,2:54,09:30 PM
624251,07/03/2025,06:38 PM,3:13,09:51 PM
624252,07/08/2025,06:36 PM,2:55,09:31 PM
624253,07/09/2025,12:08 PM,3:10,03:18 PM
624254,07/10/2025,07:04 PM,3:28,10:32 PM
624315,06/27/2025,06:36 PM,2:36,09:12 PM
624316,06/28/2025,06:34 PM,3:34,10:08 PM
624317,06/29/2025,01:35 PM,2:27,04:02 PM
624318,07/01/2025,06:35 PM,2:49,06:28 PM
624319,07/02/2025,07:02 PM,2:21,09:23 PM
624320,07/03/2025,07:17 PM,2:45,10:02 PM
624378,07/04/2025,07:03 PM,3:35,10:38 PM
624379,07/05/2025,02:04 PM,2:13,04:17 PM
624380,07/06/2025,01:31 PM,3:12,04:43 PM
624381,07/08/2025,06:32 PM,2:49,09:21 PM
624382,07/09/2025,06:31 PM,2:58,09:29 PM
624383,07/10/2025,06:31 PM,2:42,09:13 PM
624441,06/27/2025,06:40 PM,2:47,09:49 PM
624442,06/28/2025,06:40 PM,3:22,10:01 PM
624443,06/29/2025,03:10 PM,3:18,06:33 PM
624444,07/01/2025,08:20 PM,2:37,10:57 PM
624445,07/02/2025,06:38 PM,2:58,09:47 PM
624446,07/03/2025,06:46 PM,3:18,10:11 PM
624504,06/27/2025,06:34 PM,2:58,09:32 PM
624505,06/28/2025,06:35 PM,3:09,09:44 PM
624507,07/01/2025,07:19 PM,2:43,10:02 PM
624508,07/03/2025,06:32 PM,3:14,09:46 PM
624567,07/04/2025,06:34 PM,2:52,09:26 PM
624568,07/05/2025,06:03 PM,2:53,08:56 PM
624569,07/06/2025,05:05 PM,2:32,07:37 PM
624570,07/08/2025,06:35 PM,2:32,09:07 PM
624571,07/10/2025,04:02 PM,2:01,06:03 PM
624572,07/10/2025,06:47 PM,2:48,09:35 PM
624633,07/04/2025,07:04 PM,2:45,09:49 PM
624634,07/05/2025,07:02 PM,2:51,09:53 PM
624635,07/06/2025,02:06 PM,2:25,04:31 PM
624699,07/04/2025,04:01 PM,3:34,07:35 PM
624700,07/05/2025,07:00 PM,3:03,10:03 PM
624701,07/06/2025,04:01 PM,3:17,07:18 PM
624702,07/08/2025,06:32 PM,2:38,09:10 PM
624703,07/09/2025,12:33 PM,2:36,03:09 PM
624704,07/10/2025,06:31 PM,3:03,09:34 PM
631036,07/02/2025,05:04 PM,1:46,06:50 PM
631043,07/02/2025,06:32 PM,3:10,10:04 PM
631197,07/10/2025,04:59 PM,2:18,07:17 PM
