gameid,date,start_time,duration,end_time
624131,07/10/2025,07:58 PM,2:11,10:09 PM
624192,07/11/2025,06:39 PM,3:03,09:42 PM
624193,07/12/2025,06:38 PM,2:35,09:13 PM
624254,07/10/2025,07:04 PM,3:28,10:32 PM
624255,07/11/2025,06:37 PM,3:16,09:53 PM
624256,07/12/2025,06:39 PM,3:17,09:56 PM
624257,07/13/2025,04:08 PM,2:44,06:52 PM
624321,07/11/2025,06:36 PM,2:36,09:12 PM
624322,07/12/2025,06:35 PM,2:38,09:13 PM
624323,07/13/2025,05:05 PM,2:26,07:31 PM
624383,07/10/2025,06:31 PM,2:42,09:13 PM
624384,07/15/2025,06:32 PM,3:02,09:34 PM
624385,07/16/2025,06:32 PM,2:35,09:07 PM
624386,07/17/2025,10:40 AM,2:56,01:36 PM
624447,07/11/2025,06:39 PM,2:55,09:34 PM
624448,07/12/2025,06:39 PM,2:30,09:10 PM
624449,07/13/2025,03:10 PM,3:06,06:16 PM
624450,07/15/2025,06:38 PM,3:10,09:56 PM
624451,07/16/2025,12:11 PM,2:40,02:55 PM
624510,07/11/2025,06:35 PM,3:43,10:18 PM
624511,07/12/2025,06:35 PM,2:30,12:22 PM
624512,07/13/2025,02:17 PM,2:37,04:54 PM
624513,07/15/2025,06:35 PM,2:33,09:08 PM
624515,07/17/2025,03:03 PM,2:13,05:16 PM
624571,07/10/2025,04:02 PM,2:01,06:03 PM
624572,07/10/2025,06:47 PM,2:48,09:35 PM
624573,07/15/2025,06:34 PM,2:38,09:12 PM
624574,07/16/2025,07:29 PM,2:56,10:25 PM
624575,07/17/2025,06:36 PM,3:12,10:04 PM
624636,07/15/2025,06:51 PM,2:55,09:46 PM
624637,07/16/2025,11:02 AM,3:50,02:52 PM
624638,07/17/2025,07:32 PM,3:03,10:35 PM
624704,07/10/2025,06:31 PM,3:03,09:34 PM
631197,07/10/2025,04:59 PM,2:18,07:17 PM
631460,07/17/2025,11:07 AM,3:09,02:16 PM
